seed,update,parameter_id,parameter_name,shape,rank,spectral_gap_at_k,condition_proxy,fraction_of_exact_gain,update_cosine
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0.06492334604263306,3.083082437515259,1.0,0.6784349083900452
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0.04453239589929581,4.494795799255371,1.000081568212935,0.7126885652542114
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0.016646608710289,12.024312973022461,0.999829969394491,0.7493885159492493
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0.001498933881521225,133.53759765625,0.9997589482302639,0.7975564002990723
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0.0006821788847446442,293.418701171875,1.0023157094293527,0.853201687335968
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0.1625978946685791,4.083277702331543,1.0,0.633239209651947
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0.2171524167060852,3.057448387145996,1.000099555702326,0.6762399673461914
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0.0555381178855896,11.954534530639648,1.000034989823793,0.7211400866508484
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0.015282735228538513,43.44329071044922,0.9994891124926083,0.7683485746383667
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0.00393214076757431,168.84754943847656,0.9978548541238716,0.8271069526672363
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",1,0.052001483738422394,2.953279495239258,1.0,0.9314944744110107
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",2,0.020414918661117554,7.522680759429932,0.999995714830543,0.9420982003211975
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",4,0.005697228014469147,26.95607566833496,1.0000614168392374,0.9521308541297913
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",8,0.0015815012156963348,97.10704803466797,0.9999588428672117,0.9606204628944397
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",16,0.0011875983327627182,129.31553649902344,0.9990926668986385,0.9683604836463928
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",1,0.04841439425945282,2.974141836166382,0.9999926247976428,0.9306764602661133
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",2,0.014815941452980042,9.718671798706055,1.0000067943244744,0.9408313632011414
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",4,0.0019748620688915253,72.91207122802734,0.999907349312597,0.9511792659759521
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",8,0.001347225159406662,106.87989044189453,1.0002085397007456,0.9602536559104919
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",16,0.00014321506023406982,1005.419921875,0.9969872013934056,0.9684193134307861
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",1,0.074435293674469,5.22470235824585,0.9999732126115025,0.8616863489151001
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",2,0.027933388948440552,13.922487258911133,1.0000943221819363,0.8754853010177612
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",4,0.034488946199417114,11.276142120361328,0.9998418160878729,0.896253764629364
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",8,0.01158103346824646,33.580963134765625,0.9986558127502956,0.9165985584259033
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",16,0.003313206136226654,117.37943267822266,1.0026392402212385,0.944718062877655
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",1,0.052251122891902924,3.032409906387329,0.9995923130699387,0.6113976836204529
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",2,0.021245338022708893,7.4579572677612305,1.0000089921588375,0.6417845487594604
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",4,0.010173499584197998,15.57446575164795,0.9997117060588894,0.6813095808029175
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",8,0.002775665372610092,57.084266662597656,0.9991505332192883,0.7311691641807556
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",16,0.0017304979264736176,91.5614013671875,1.0022863310567172,0.8066496253013611
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",1,0.28296905755996704,2.110325813293457,1.0000010260598686,0.5966463088989258
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",2,0.035552024841308594,16.79670524597168,0.9997276241799438,0.6199389100074768
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",4,0.01261080801486969,47.352787017822266,0.9999842004020998,0.6592748761177063
