seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_residual_norm,exact_residual_norm,approx_block_absmax_mean,exact_block_absmax_mean,direct_block_absmax_mean,approx_to_exact_block_absmax,approx_to_direct_block_absmax
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,0,canonical,0.33518344163894653,0.2730292081832886,0.0013476297026500106,0.0011306388769298792,0.0013477398315444589,1.1919187307357788,0.9999182820320129
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,0,canonical,0.33378246426582336,0.23718129098415375,0.0013476297026500106,0.0009768345626071095,0.0013477398315444589,1.3795884847640991,0.9999182820320129
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,0,canonical,0.33292362093925476,0.20303212106227875,0.0013476297026500106,0.0008541261195205152,0.0013477398315444589,1.5777877569198608,0.9999182820320129
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,0,canonical,0.332038938999176,0.16853594779968262,0.0013476297026500106,0.0006951104733161628,0.0013477398315444589,1.9387273788452148,0.9999182820320129
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,0,canonical,0.33132442831993103,0.1313798725605011,0.0013476297026500106,0.0005563689628615975,0.0013477398315444589,2.422187089920044,0.9999182820320129
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,0,canonical,0.2730291187763214,0.2730292081832886,0.0011306323576718569,0.0011306388769298792,0.0013477398315444589,0.9999942183494568,0.838909924030304
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,0,canonical,0.2371814101934433,0.23718129098415375,0.0009767648298293352,0.0009768345626071095,0.0013477398315444589,0.9999285936355591,0.7247428894042969
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,0,canonical,0.20304684340953827,0.20303212106227875,0.0008536097011528909,0.0008541261195205152,0.0013477398315444589,0.9993953704833984,0.6333638429641724
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,0,canonical,0.16877064108848572,0.16853594779968262,0.0006958629819564521,0.0006951104733161628,0.0013477398315444589,1.0010825395584106,0.5163185000419617
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,canonical,0.13528867065906525,0.1313798725605011,0.0005678171874023974,0.0005563689628615975,0.0013477398315444589,1.0205767154693604,0.421310693025589
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,0,canonical,0.2730291783809662,0.2730292081832886,0.0011306388769298792,0.0011306388769298792,0.0013477398315444589,1.0,0.8389148116111755
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,0,canonical,0.23718130588531494,0.23718129098415375,0.000976834329776466,0.0009768345626071095,0.0013477398315444589,0.9999997615814209,0.7247944474220276
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,0,canonical,0.2030322551727295,0.20303212106227875,0.0008541197748854756,0.0008541261195205152,0.0013477398315444589,0.9999925494194031,0.6337423324584961
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,0,canonical,0.16853933036327362,0.16853594779968262,0.0006950177485123277,0.0006951104733161628,0.0013477398315444589,0.9998666048049927,0.515691339969635
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,0,canonical,0.13255049288272858,0.1313798725605011,0.0005634894478134811,0.0005563689628615975,0.0013477398315444589,1.0127981901168823,0.418099582195282
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,8,canonical,0.334096223115921,0.2730292081832886,0.0013474463485181332,0.0011306388769298792,0.0013477398315444589,1.1917566061019897,0.9997822642326355
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,8,canonical,0.3323183059692383,0.23718129098415375,0.0013473669532686472,0.0009768345626071095,0.0013477398315444589,1.3793195486068726,0.9997233152389526
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,8,canonical,0.3309101164340973,0.20303212106227875,0.0013473669532686472,0.0008541261195205152,0.0013477398315444589,1.5774800777435303,0.9997233152389526
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,8,canonical,0.32939019799232483,0.16853594779968262,0.0013473669532686472,0.0006951104733161628,0.0013477398315444589,1.9383493661880493,0.9997233152389526
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,8,canonical,0.32828831672668457,0.1313798725605011,0.0013473669532686472,0.0005563689628615975,0.0013477398315444589,2.4217147827148438,0.9997233152389526
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,8,canonical,0.2730292081832886,0.2730292081832886,0.0011306395754218102,0.0011306388769298792,0.0013477398315444589,1.0000005960464478,0.8389152884483337
