k,lambda_danger,lambda_local,a1,a2,calibration_weighted_error,search_stage,selected,calibration_seed
4,1,1,0.3333333333333333,0.6666666666666666,0.031309419063230357,coarse,False,0
4,1,1,0.2,0.6,0.023295992705971002,coarse,True,0
4,1,1,0.2,0.8,0.03759105491141478,coarse,False,0
4,1,1,0.35,0.75,0.03558331417540709,coarse,False,0
4,1,1,0.1,0.55,0.036585540417581795,coarse,False,0
4,1,1,0.4,0.85,0.0455709083005786,coarse,False,0
4,1,4,0.3333333333333333,0.6666666666666666,0.050861930040021736,coarse,False,0
4,1,4,0.2,0.6,0.038139699461559456,coarse,True,0
4,1,4,0.2,0.8,0.06418821526070435,coarse,False,0
4,1,4,0.35,0.75,0.057753492953876655,coarse,False,0
4,1,4,0.1,0.55,0.05995173566043377,coarse,False,0
4,1,4,0.4,0.85,0.07398142938812574,coarse,False,0
4,4,1,0.3333333333333333,0.6666666666666666,0.05873423839608828,coarse,False,0
4,4,1,0.2,0.6,0.04333452126011252,coarse,False,0
4,4,1,0.2,0.8,0.06709969708075127,coarse,False,0
4,4,1,0.35,0.75,0.06681323194255431,coarse,False,0
4,4,1,0.1,0.55,0.06790495797370871,coarse,False,0
4,4,1,0.4,0.85,0.08550699638823668,coarse,False,0
4,4,1,0.15,0.55,0.04706189992527167,fine,False,0
4,4,1,0.15,0.6,0.05554534234106541,fine,False,0
4,4,1,0.15,0.65,0.06441591534142693,fine,False,0
4,4,1,0.2,0.55,0.03773925366501014,fine,True,0
4,4,1,0.2,0.6,0.04333452126011252,fine,False,0
4,4,1,0.2,0.65,0.04951254564026992,fine,False,0
4,4,1,0.25,0.55,0.03804509959494074,fine,False,0
4,4,1,0.25,0.6,0.04147211213906606,fine,False,0
4,4,1,0.25,0.65,0.04555471756805976,fine,False,0
4,4,4,0.3333333333333333,0.6666666666666666,0.07828675049046675,coarse,False,0
4,4,4,0.2,0.6,0.05817822876075904,coarse,True,0
4,4,4,0.2,0.8,0.09369685625036557,coarse,False,0
4,4,4,0.35,0.75,0.08898340947926045,coarse,False,0
4,4,4,0.1,0.55,0.09127115470667681,coarse,False,0
4,4,4,0.4,0.85,0.11391751517852147,coarse,False,0
4,16,1,0.3333333333333333,0.6666666666666666,0.16843352001160383,coarse,False,0
4,16,1,0.2,0.6,0.12348863075797757,coarse,True,0
4,16,1,0.2,0.8,0.18513426383336384,coarse,False,0
4,16,1,0.35,0.75,0.19173291083425284,coarse,False,0
4,16,1,0.1,0.55,0.19318262385204435,coarse,False,0
4,16,1,0.4,0.85,0.245251356686155,coarse,False,0
4,16,4,0.3333333333333333,0.6666666666666666,0.1879860319197178,coarse,False,0
4,16,4,0.2,0.6,0.13833233894159397,coarse,True,0
4,16,4,0.2,0.8,0.21173142318924268,coarse,False,0
4,16,4,0.35,0.75,0.21390309010942776,coarse,False,0
4,16,4,0.1,0.55,0.21654882033665976,coarse,False,0
4,16,4,0.4,0.85,0.27366187845667206,coarse,False,0
8,1,1,0.3333333333333333,0.6666666666666666,0.020212922835101683,coarse,False,0
8,1,1,0.2,0.6,0.015501350878427427,coarse,True,0
8,1,1,0.2,0.8,0.02562645695482691,coarse,False,0
8,1,1,0.35,0.75,0.023038203020890553,coarse,False,0
8,1,1,0.1,0.55,0.024403980001807213,coarse,False,0
8,1,1,0.4,0.85,0.029540612921118738,coarse,False,0
8,1,4,0.3333333333333333,0.6666666666666666,0.033189248045285544,coarse,False,0
8,1,4,0.2,0.6,0.025608224732180437,coarse,True,0
8,1,4,0.2,0.8,0.04405282245328029,coarse,False,0
8,1,4,0.35,0.75,0.03781037162989378,coarse,False,0
8,1,4,0.1,0.55,0.04032914818574985,coarse,False,0
8,1,4,0.4,0.85,0.0484904894605279,coarse,False,0
8,4,1,0.3333333333333333,0.6666666666666666,0.037481281782190005,coarse,False,0
8,4,1,0.2,0.6,0.028598380864908297,coarse,False,0
8,4,1,0.2,0.8,0.04543938993786772,coarse,False,0
8,4,1,0.35,0.75,0.042720658890903,coarse,False,0
8,4,1,0.1,0.55,0.04493478468308846,coarse,False,0
8,4,1,0.4,0.85,0.05475334463020166,coarse,False,0
8,4,1,0.15,0.55,0.031129986451317867,fine,False,0
8,4,1,0.15,0.6,0.036961428138116995,fine,False,0
8,4,1,0.15,0.65,0.043164574448019265,fine,False,0
8,4,1,0.2,0.55,0.02472192992766698,fine,False,0
8,4,1,0.2,0.6,0.028598380864908297,fine,False,0
8,4,1,0.2,0.65,0.03288618354126811,fine,False,0
8,4,1,0.25,0.55,0.0245316116604954,fine,True,0
8,4,1,0.25,0.6,0.026855936211844286,fine,False,0
8,4,1,0.25,0.65,0.029701892441759508,fine,False,0
8,4,4,0.3333333333333333,0.6666666666666666,0.05045760714759429,coarse,False,0
8,4,4,0.2,0.6,0.038705254967014,coarse,True,0
8,4,4,0.2,0.8,0.06386575674017271,coarse,False,0
8,4,4,0.35,0.75,0.05749282923837503,coarse,False,0
8,4,4,0.1,0.55,0.060859951997796695,coarse,False,0
8,4,4,0.4,0.85,0.0737032201141119,coarse,False,0
8,16,1,0.3333333333333333,0.6666666666666666,0.10655472129583358,coarse,False,0
8,16,1,0.2,0.6,0.08098650251825651,coarse,True,0
8,16,1,0.2,0.8,0.12469112286344171,coarse,False,0
8,16,1,0.35,0.75,0.12145048367480436,coarse,False,0
8,16,1,0.1,0.55,0.12705800092468658,coarse,False,0
8,16,1,0.4,0.85,0.155604271342357,coarse,False,0
8,16,4,0.3333333333333333,0.6666666666666666,0.11953104728211959,coarse,False,0
8,16,4,0.2,0.6,0.09109337814152241,coarse,True,0
8,16,4,0.2,0.8,0.14311749494324127,coarse,False,0
8,16,4,0.35,0.75,0.13622265557448068,coarse,False,0
8,16,4,0.1,0.55,0.1429831707229217,coarse,False,0
8,16,4,0.4,0.85,0.17455414570868016,coarse,False,0
