k,a1,a2,calibration_mean_update_cosine,calibration_count,selected,seed,update,parameter_id,parameter_name,shape,quantizer,raw_residual_relative_l2,raw_residual_cosine,full_state_raw_relative_l2,full_state_raw_cosine,update_cosine,update_relative_l2,update_norm_ratio,exact_polar_cosine,exact_polar_relative_l2,residual_block_absmax_mean,residual_block_absmax_max,effective_condition_number,danger_zone_mode_count,active_mode_count,residual_relative_l2,residual_cosine,mae,median_ae,zero_fraction,small_005_mae,small_001_mae,middle_mae,large_mae,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy,codebook_levels,calibrated_parameter,calibration_role
4,0.3333333333333333,0.6666666666666666,0.6317636251449585,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.2,0.6,0.6646570007006327,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.2,0.8,0.6068232814470927,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.35,0.75,0.6157834430535635,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.1,0.55,0.6100212315718333,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.4,0.85,0.5832826236883799,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.3333333333333333,0.6666666666666666,0.6719885110855103,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.2,0.6,0.703034512201945,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.2,0.8,0.6409377892812093,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.35,0.75,0.6552432099978129,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.1,0.55,0.6490165988604227,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.4,0.85,0.6244832158088685,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",muon_global_codebook,0.3285199701786041,0.9464905858039856,0.19703876972198486,0.9806409478187561,0.5894085764884949,0.9033969640731812,0.993788480758667,0.6206319332122803,0.8710564374923706,0.0008541261195205152,0.002744528464972973,465.30328369140625,170,384,0.3285199701786041,0.9464905858039856,5.6675471569178626e-05,1.8758040823740885e-05,0.36167624592781067,1.9796321794274263e-05,3.974378159909975e-06,6.580397894140333e-05,5.7718272728379816e-05,0.0008689307724125683,0.5950442552566528,0.5959132313728333,0.47591066360473633,0.45091116428375244,0.043810002505779266,2.842544517989154e-06,0.0019465760560706258,"-1,-0.6,-0.2,0,0.2,0.6,1",,
