k,family,parameter,cosine,calibration_seed,selected,a1,a2,calibration_mean_update_cosine,calibration_count
4,mulaw,1,0.6756625334421794,0,False,,,,
4,mulaw,5,0.7023210724194845,0,True,,,,
4,mulaw,20,0.6728657841682434,0,False,,,,
4,mulaw,100,0.5922069569428762,0,False,,,,
4,mulaw,500,0.5402850091457367,0,False,,,,
4,mulaw,2000,0.5434652090072631,0,False,,,,
4,power,0.25,0.5743622481822968,0,False,,,,
4,power,0.5,0.6727073391278585,0,False,,,,
4,power,0.75,0.6791169325510661,0,True,,,,
4,power,1.0,0.6317636251449585,0,False,,,,
4,power,1.5,0.4768451968828837,0,False,,,,
4,power,2.0,0.36201310555140176,0,False,,,,
8,mulaw,1,0.715421470006307,0,False,,,,
8,mulaw,5,0.740190879503886,0,True,,,,
8,mulaw,20,0.705427078406016,0,False,,,,
8,mulaw,100,0.6241426765918732,0,False,,,,
8,mulaw,500,0.5781516869862874,0,False,,,,
8,mulaw,2000,0.5843944549560547,0,False,,,,
8,power,0.25,0.6082526187102,0,False,,,,
8,power,0.5,0.7101402759552002,0,False,,,,
8,power,0.75,0.7175248463948568,0,True,,,,
8,power,1.0,0.6719885110855103,0,False,,,,
8,power,1.5,0.520889033873876,0,False,,,,
8,power,2.0,0.4030721922715505,0,False,,,,
4,,,,,False,0.3333333333333333,0.6666666666666666,0.6317636251449585,15
4,,,,,True,0.2,0.6,0.6646570007006327,15
4,,,,,False,0.2,0.8,0.6068232814470927,15
4,,,,,False,0.35,0.75,0.6157834430535635,15
4,,,,,False,0.1,0.55,0.6100212315718333,15
4,,,,,False,0.4,0.85,0.5832826236883799,15
8,,,,,False,0.3333333333333333,0.6666666666666666,0.6719885110855103,15
8,,,,,True,0.2,0.6,0.703034512201945,15
8,,,,,False,0.2,0.8,0.6409377892812093,15
8,,,,,False,0.35,0.75,0.6552432099978129,15
8,,,,,False,0.1,0.55,0.6490165988604227,15
8,,,,,False,0.4,0.85,0.6244832158088685,15
