k,quantizer,seed,n,mean,weighted_mean,median,p10,p25,p75,p90,win_rate_vs_uniform
4,calibrated_mulaw_5,0,150,0.7342152611414592,0.7531522512987808,0.7971665263175964,0.5430735349655151,0.5863580107688904,0.856513261795044,0.883482038974762,1.0
4,calibrated_mulaw_5,1,150,0.7326412947972616,0.7521929777882718,0.7926762402057648,0.5398690700531006,0.5831405520439148,0.8560026288032532,0.8846656084060669,1.0
4,danger_weighted_codebook_D4_L1,0,150,0.6939037877321244,0.7123573465203797,0.7557195723056793,0.5032009482383728,0.544009268283844,0.8159074187278748,0.8494947552680969,1.0
4,danger_weighted_codebook_D4_L1,1,150,0.6921753193934759,0.7114481788818483,0.7494087517261505,0.5035818219184875,0.540626049041748,0.8163056373596191,0.8509767055511475,1.0
4,danger_zone_codebook,0,150,0.6939037877321244,0.7123573465203797,0.7557195723056793,0.5032009482383728,0.544009268283844,0.8159074187278748,0.8494947552680969,1.0
4,danger_zone_codebook,1,150,0.6921753193934759,0.7114481788818483,0.7494087517261505,0.5035818219184875,0.540626049041748,0.8163056373596191,0.8509767055511475,1.0
4,geometry_codebook,0,150,0.6939037877321244,0.7123573465203797,0.7557195723056793,0.5032009482383728,0.544009268283844,0.8159074187278748,0.8494947552680969,1.0
4,geometry_codebook,1,150,0.6921753193934759,0.7114481788818483,0.7494087517261505,0.5035818219184875,0.540626049041748,0.8163056373596191,0.8509767055511475,1.0
4,geometry_mulaw_5,0,150,0.7342152611414592,0.7531522512987808,0.7971665263175964,0.5430735349655151,0.5863580107688904,0.856513261795044,0.883482038974762,1.0
4,geometry_mulaw_5,1,150,0.7326412947972616,0.7521929777882718,0.7926762402057648,0.5398690700531006,0.5831405520439148,0.8560026288032532,0.8846656084060669,1.0
4,geometry_power_0.75,0,150,0.7059712129831314,0.7242269147049498,0.7662739753723145,0.5216435194015503,0.5574727654457092,0.8238961696624756,0.8561468124389648,1.0
4,geometry_power_0.75,1,150,0.7039704902966817,0.7230257394137206,0.7600409090518951,0.5195387601852417,0.5576938390731812,0.8247531652450562,0.8581376671791077,1.0
4,lloyd_global,0,150,0.7344170014063517,0.7530263110443398,0.7958633899688721,0.5447308421134949,0.5866374969482422,0.8553667068481445,0.8848026394844055,1.0
4,lloyd_global,1,150,0.7324344392617543,0.7518686282965872,0.790847510099411,0.5442419648170471,0.5810918211936951,0.854112982749939,0.8844970464706421,1.0
