seed,update,bin_label,tensor_count,diagonal_energy,left_associated_energy,right_associated_energy,cross_mode_energy,total_energy,residual_fraction,aggregation
0,128,"[-0.5,0)",30,0.0028412426511295052,0.007618846611876506,0.008214962864258268,0.004777604060109297,0.24686143349390477,0.030862846836967033,group
0,128,"[-1,-0.5)",30,0.0015747829827432724,0.01725758378051978,0.01906178498211375,0.01568280140963907,0.24686143349390477,0.06990797848115828,group
0,128,"[-1.5,-1)",30,0.0009013507652753106,0.054135875157953706,0.05477811751916306,0.05323452519951388,0.24686143349390477,0.21929660859435288,group
0,128,"[-2,-1.5)",30,0.0003279706901935242,0.0674650755681796,0.06354124451172538,0.06713710601616185,0.24686143349390477,0.2732912736239352,group
0,128,"[-2.5,-2)",23,0.00011403229477480181,0.042789615858055186,0.04262848981306888,0.042675584050812176,0.19693596998695284,0.21727679235484523,group
0,128,"[-3,-2.5)",12,7.746473842473733e-05,0.030047022402868606,0.030802648951066658,0.029969557028380223,0.1729222807334736,0.17376027123526266,group
0,128,"[-3.5,-3)",10,4.4934839793953074e-05,0.016791919689239876,0.017077409000194166,0.016746984902056283,0.16827445139642805,0.0997888838732908,group
0,128,"[-4,-3.5)",6,1.641315475353622e-05,0.0070367048610933125,0.0070760034723207355,0.007020292163360864,0.16232884116470814,0.043348457431255046,group
0,128,"[-4.5,-4)",6,4.796895986203253e-06,0.0024151300312951207,0.002363873165450059,0.0024103331816149876,0.16232884116470814,0.014878009440383989,group
0,128,"[-5,-4.5)",6,2.1100777624072364e-06,0.0008707699853403028,0.0009091935899050441,0.0008686599030625075,0.16232884116470814,0.005364234593757555,group
0,128,"[-5.5,-5)",4,4.0886991865222294e-07,0.00027960745501331985,0.0002621246167109348,0.000279198578937212,0.08455882593989372,0.003306661982417672,group
0,128,"[-6,-5.5)",2,1.686881887508207e-07,0.00015327946312027052,0.00014557913527823985,0.0001531107773189433,0.056548550724983215,0.0027105816356943605,group
0,512,"[-0.5,0)",30,0.00170419761411722,0.005594607617240399,0.006052983390873123,0.0038904099837964168,0.17939390722312964,0.031186162918464346,group
