row_bin_label,col_bin_label,energy,energy_fraction
"[-0.5,0)","[-1,-0.5)",0.0066916795948372965,0.004486499569231853
"[-0.5,0)","[-1.5,-1)",0.014387560087925522,0.00964627508265281
"[-0.5,0)","[-2,-1.5)",0.009877506704043526,0.0066224673409297505
"[-0.5,0)","[-2.5,-2)",0.004918781981057663,0.0032978436768231396
"[-0.5,0)","[-3,-2.5)",0.0037135149946152524,0.0024897610812883593
"[-0.5,0)","[-3.5,-3)",0.0015319272959359864,0.0010270950746975255
"[-0.5,0)","[-4,-3.5)",0.0005878619714252409,0.00039413759194357524
"[-0.5,0)","[-4.5,-4)",0.00020396805819444808,0.00013675230444871574
"[-0.5,0)","[-5,-4.5)",5.3435760949405164e-05,3.582650888814883e-05
"[-0.5,0)","[-5.5,-5)",2.096252254740749e-05,1.4054520549895431e-05
"[-0.5,0)","[-6,-5.5)",7.81000156635514e-06,5.236289061147794e-06
"[-1,-0.5)","[-0.5,0)",0.0063520265791510155,0.004258776007909451
"[-1,-0.5)","[-1.5,-1)",0.07382556772449789,0.04949704675785663
"[-1,-0.5)","[-2,-1.5)",0.04108822675243573,0.027547988365660202
"[-1,-0.5)","[-2.5,-2)",0.015562970486428185,0.010434340047780755
"[-1,-0.5)","[-3,-2.5)",0.011187731155587244,0.007500919656845044
"[-1,-0.5)","[-3.5,-3)",0.004659726166295286,0.0031241572674745653
"[-1,-0.5)","[-4,-3.5)",0.0016891821868512125,0.0011325280964601162
"[-1,-0.5)","[-4.5,-4)",0.0005777487867817399,0.0003873571121098374
"[-1,-0.5)","[-5,-4.5)",0.00018727339283941546,0.0001255592089242961
"[-1,-0.5)","[-5.5,-5)",7.861427636157714e-05,5.2707681536905e-05
"[-1,-0.5)","[-6,-5.5)",2.9759411972918315e-05,1.995247786521339e-05
"[-1.5,-1)","[-0.5,0)",0.015134083862847092,0.010146788974141422
"[-1.5,-1)","[-1,-0.5)",0.08405150559087815,0.056353123051154155
"[-1.5,-1)","[-2,-1.5)",0.13273168753926257,0.08899120923657995
"[-1.5,-1)","[-2.5,-2)",0.048896577729749424,0.032783170773849124
"[-1.5,-1)","[-3,-2.5)",0.0350597406977613,0.023506133147684138
"[-1.5,-1)","[-3.5,-3)",0.015072918944611047,0.0101057803790004
"[-1.5,-1)","[-4,-3.5)",0.005241610318307721,0.003514286974127101
"[-1.5,-1)","[-4.5,-4)",0.001791547963875928,0.001201160195175631
"[-1.5,-1)","[-5,-4.5)",0.0005740276749293116,0.0003848622576437235
"[-1.5,-1)","[-5.5,-5)",0.0002456560523569351,0.00016470241251970532
"[-1.5,-1)","[-6,-5.5)",9.690304511877912e-05,6.496955869167376e-05
"[-2,-1.5)","[-0.5,0)",0.010290479229865923,0.006899348657936654
"[-2,-1.5)","[-1,-0.5)",0.04961761294907774,0.03326659562333135
"[-2,-1.5)","[-1.5,-1)",0.14403753273029452,0.09657131956022737
"[-2,-1.5)","[-2.5,-2)",0.0772479050439756,0.05179158502616357
"[-2,-1.5)","[-3,-2.5)",0.05515326905515394,0.03697802836354915
"[-2,-1.5)","[-3.5,-3)",0.024805877856465486,0.016631334292113
"[-2,-1.5)","[-4,-3.5)",0.009044821199950093,0.006064185507127809
"[-2,-1.5)","[-4.5,-4)",0.0030071867295191623,0.0020161966476991058
"[-2,-1.5)","[-5,-4.5)",0.0009270824084524065,0.0006215711268323633
"[-2,-1.5)","[-5.5,-5)",0.000412319871429645,0.0002764437387262284
"[-2,-1.5)","[-6,-5.5)",0.00014274426848714938,9.570423837566944e-05
"[-2.5,-2)","[-0.5,0)",0.0039315127364254465,0.0026359197191704728
"[-2.5,-2)","[-1,-0.5)",0.014716397486154165,0.009866747211449645
"[-2.5,-2)","[-1.5,-1)",0.04638929282333493,0.031102138008734542
"[-2.5,-2)","[-2,-1.5)",0.07442849858102818,0.04990128742565351
"[-2.5,-2)","[-3,-2.5)",0.056952516810270026,0.03818435095623539
"[-2.5,-2)","[-3.5,-3)",0.02690585282999791,0.018039282278956202
