seed,update,parameter_id,shape,selection_reason,kind,band,epsilon,actual_relative_frobenius,target_relative_frobenius,theta,invalid_construction,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,singular_value_max_abs_error
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,head,0.0025,0.002499935682862997,0.0025,,False,0.002499936381354928,0.9999974966049194,1.0010532140731812,0.002523376839235425,0.9999968409538269,0.999878466129303,0.00027943961322307587
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,tail,0.0025,0.0024999978486448526,0.0025,,False,0.0025000027380883694,0.9999968409538269,1.0002273321151733,0.034381527453660965,0.9995025992393494,1.013202428817749,7.731447112746537e-05
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,head,0.005,0.004999930504709482,0.005,,False,0.004999934229999781,0.9999898672103882,1.002111554145813,0.004954256117343903,0.9999878406524658,0.9997334480285645,0.0005588885396718979
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,tail,0.005,0.004999991040676832,0.005,,False,0.005000000353902578,0.9999876022338867,1.0004609823226929,0.06574855744838715,0.998202383518219,1.025234580039978,0.00015463007730431855
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,head,0.01,0.00999993272125721,0.01,,False,0.00999993272125721,0.9999592304229736,1.0042436122894287,0.009525123052299023,0.9999547600746155,0.9993702173233032,0.0011177752166986465
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,tail,0.01,0.009999982081353664,0.01,,False,0.009999997913837433,0.9999505281448364,1.0009467601776123,0.1190786063671112,0.9941760301589966,1.0448282957077026,0.0003092590195592493
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,head,0.02,0.019999917596578598,0.02,,False,0.019999923184514046,0.9998381733894348,1.008568525314331,0.01766556315124035,0.9998451471328735,0.9983531832695007,0.0022355616092681885
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,tail,0.02,0.01999995857477188,0.02,,False,0.019999990239739418,0.9998023509979248,1.0019924640655518,0.187927708029747,0.9851768612861633,1.0619269609451294,0.0006185179809108377
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,head,0.05,0.04999988526105881,0.05,,False,0.0499999076128006,0.999014139175415,1.022020697593689,0.03984985128045082,0.9992210268974304,0.9936978816986084,0.005588894709944725
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,singular_value_only,tail,0.05,0.04999986290931702,0.05,,False,0.04999997094273567,0.9987732768058777,1.0057196617126465,0.20385967195034027,0.9791794419288635,0.9604430198669434,0.0015462955925613642
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,head,0.0025,0.0025000288151204586,0.0025,,False,0.00250002508983016,0.9999972581863403,1.0009958744049072,0.003673429135233164,0.9999939799308777,0.9989446997642517,0.00026234425604343414
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,tail,0.0025,0.0024999913293868303,0.0025,,False,0.0024999913293868303,0.9999969005584717,1.0004702806472778,0.01215759851038456,0.9999275207519531,0.9982998371124268,0.00014389795251190662
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,head,0.005,0.005000024102628231,0.005,,False,0.005000017117708921,0.9999895095825195,1.0019968748092651,0.007409817073494196,0.9999747276306152,0.9978827834129333,0.0005246885120868683
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,tail,0.005,0.0049999854527413845,0.005,,False,0.004999983590096235,0.9999879598617554,1.0009466409683228,0.023658260703086853,0.9997235536575317,0.9971001148223877,0.00028779380954802036
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,head,0.01,0.010000013746321201,0.01,,False,0.00999999325722456,0.9999582767486572,1.0040146112442017,0.015033422037959099,0.9998953938484192,0.9957597851753235,0.0010493714362382889
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,tail,0.01,0.009999966248869896,0.01,,False,0.009999963454902172,0.9999517202377319,1.0019172430038452,0.0444142147898674,0.9990172386169434,0.9961574673652649,0.0005755862221121788
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,head,0.02,0.020000005140900612,0.02,,False,0.01999996230006218,0.9998342394828796,1.0081124305725098,0.030555959790945053,0.9995640516281128,0.9916765093803406,0.0020987503230571747
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,tail,0.02,0.019999943673610687,0.02,,False,0.019999930635094643,0.9998084306716919,1.0039300918579102,0.07635734975337982,0.9970828890800476,0.9992917776107788,0.0011511743068695068
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,head,0.05,0.04999985918402672,0.05,,False,0.04999985918402672,0.9989894032478333,1.0208948850631714,0.07061243057250977,0.9976029396057129,0.9835436344146729,0.005246872082352638
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,singular_value_only,tail,0.05,0.04999988153576851,0.05,,False,0.049999821931123734,0.9988179802894592,1.010538935661316,0.12442176043987274,0.9926902055740356,1.0229341983795166,0.0028779348358511925
