seed,update,parameter_id,parameter_name,shape,production_interaction_cosine,production_interaction_l2,polar_interaction_cosine
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4.231929779052734e-06,0.0008628964424133301,6.747245788574219e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.0016963481903076172,0.0071239173412323,0.0009307265281677246
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0,0,0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0,0,0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",0,0,0
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",0.002031266689300537,0.0034796595573425293,0.001654207706451416
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",0.006740152835845947,0.01339864730834961,0.009076595306396484
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",0,0,0
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",0,0,0
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",0,0,0
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",0.004158496856689453,0.007157504558563232,0.005084097385406494
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",0.0035529732704162598,0.008147895336151123,-0.005293935537338257
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",-0.0002834200859069824,-0.0003522634506225586,-7.283687591552734e-05
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",-0.0002518296241760254,-0.0002986788749694824,-5.5670738220214844e-05
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",0,0,0
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",0.0007938146591186523,0.00392991304397583,0.0030605196952819824
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",0.0033376216888427734,0.009311139583587646,0.006340533494949341
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",-0.0005156397819519043,-0.0003077983856201172,-0.00014531612396240234
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",-0.0007022619247436523,-0.0004221796989440918,-0.0002550482749938965
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",-7.635354995727539e-05,-3.981590270996094e-05,2.2411346435546875e-05
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",0.001988619565963745,0.003926277160644531,0.003082096576690674
0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",0.00434914231300354,0.01015615463256836,0.004561126232147217
0,128,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",-0.0003948211669921875,-0.00014764070510864258,-0.0001475811004638672
0,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",-0.0002644062042236328,-2.5331974029541016e-05,-6.830692291259766e-05
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",-0.0003370046615600586,-9.810924530029297e-05,2.8789043426513672e-05
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",0.0009322762489318848,0.0030281543731689453,0.0018047094345092773
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",0.0012369155883789062,0.0054985880851745605,-0.0027777552604675293
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",-0.0006681680679321289,-2.4259090423583984e-05,-0.00025600194931030273
0,128,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",-0.0002263188362121582,0.00011670589447021484,-0.00010311603546142578
0,128,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",-0.0005890727043151855,-0.00024753808975219727,-8.469820022583008e-05
0,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.0017296671867370605,0.0023960471153259277,0.0013255476951599121
0,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.005487680435180664,0.01443183422088623,0.010849416255950928
