band,correction_type,budget,metric,mean,median,count
tail,diagonal,0,update_cosine_gain,0.0,0.0,300
tail,diagonal,0,update_l2_reduction_fraction,0.0,0.0,300
tail,diagonal,0,residual_energy_fraction_captured,0.0,0.0,300
tail,diagonal,0,update_cosine,0.7410320005814235,0.8375340700149536,300
tail,diagonal,0,update_relative_l2,0.6906314886609713,0.5651208162307739,300
tail,diagonal,1,update_cosine_gain,1.6484856605529785e-05,7.867813110351562e-06,300
tail,diagonal,1,update_l2_reduction_fraction,6.577124120297403e-05,1.6030598999350332e-05,300
tail,diagonal,1,residual_energy_fraction_captured,3.387379881366707e-06,1.6342740991603932e-06,300
tail,diagonal,1,update_cosine,0.7410484854380289,0.8378444314002991,300
tail,diagonal,1,update_relative_l2,0.6905993477503458,0.5650976896286011,300
tail,diagonal,2,update_cosine_gain,4.234770933787028e-05,2.8192996978759766e-05,300
tail,diagonal,2,update_l2_reduction_fraction,0.00016170146162832423,8.039120439207181e-05,300
tail,diagonal,2,residual_energy_fraction_captured,7.0153999688571386e-06,4.586281193041941e-06,300
tail,diagonal,2,update_cosine,0.7410743482907614,0.8378857374191284,300
tail,diagonal,2,update_relative_l2,0.6905506015817324,0.5647328495979309,300
tail,diagonal,4,update_cosine_gain,8.169939120610555e-05,5.155801773071289e-05,300
tail,diagonal,4,update_l2_reduction_fraction,0.0003166660807984658,0.00019171870371792465,300
tail,diagonal,4,residual_energy_fraction_captured,1.4625816455312209e-05,1.1575334610824939e-05,300
tail,diagonal,4,update_cosine,0.7411136999726295,0.8379640579223633,300
tail,diagonal,4,update_relative_l2,0.6904732595880826,0.5644161701202393,300
tail,diagonal,8,update_cosine_gain,0.00015367935101191202,0.00010454654693603516,300
tail,diagonal,8,update_l2_reduction_fraction,0.0005979570864308489,0.0004184559511486441,300
tail,diagonal,8,residual_energy_fraction_captured,3.071576614805357e-05,2.615396078908816e-05,300
tail,diagonal,8,update_cosine,0.7411856799324353,0.8382437229156494,300
tail,diagonal,8,update_relative_l2,0.6903334448734919,0.5641976594924927,300
tail,diagonal,16,update_cosine_gain,0.0003036832809448242,0.00022989511489868164,300
tail,diagonal,16,update_l2_reduction_fraction,0.0011492427260068909,0.0009978839661926031,300
tail,diagonal,16,residual_energy_fraction_captured,6.426584911726726e-05,5.819258149131201e-05,300
tail,diagonal,16,update_cosine,0.7413356838623683,0.8382217288017273,300
