seed,update,parameter_id,parameter_name,shape,selection,paired_diagonal_budget,paired_cross_budget,raw_l2_improvement,correction_budget,update_cosine_gain,update_l2_reduction
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.001,0.001,2.644956111907959e-07,0.001,4.190206527709961e-05,5.21540641784668e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.001,0.001,4.544854164123535e-07,0.001,6.496906280517578e-06,7.510185241699219e-06
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.0025,0.001,5.550682544708252e-07,0.0025,0.00010222196578979492,0.0001290440559387207
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.0025,0.001,4.544854164123535e-07,0.001,6.496906280517578e-06,7.510185241699219e-06
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.005,0.0025,8.791685104370117e-07,0.005,0.0001958608627319336,0.00024837255477905273
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.005,0.0025,1.0915100574493408e-06,0.0025,1.4781951904296875e-05,1.6748905181884766e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.01,0.005,2.3208558559417725e-06,0.01,0.00026792287826538086,0.0003288388252258301
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.01,0.005,2.0042061805725098e-06,0.005,2.390146255493164e-05,2.968311309814453e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.02,0.02,8.814036846160889e-06,0.02,0.0005449652671813965,0.0006589889526367188
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.02,0.02,8.851289749145508e-06,0.02,8.654594421386719e-05,0.00012570619583129883
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.05,0.02,1.788884401321411e-05,0.05,0.0017603039741516113,0.002086818218231201
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.05,0.02,8.851289749145508e-06,0.02,8.654594421386719e-05,0.00012570619583129883
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",diagonal,0.001,0.001,1.4007091522216797e-06,0.001,3.7789344787597656e-05,4.661083221435547e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",cross,0.001,0.001,2.5779008865356445e-06,0.001,9.238719940185547e-06,8.344650268554688e-06
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",diagonal,0.0025,0.001,3.084540367126465e-06,0.0025,9.590387344360352e-05,0.00011718273162841797
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",cross,0.0025,0.001,2.5779008865356445e-06,0.001,9.238719940185547e-06,8.344650268554688e-06
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",diagonal,0.005,0.0025,4.738569259643555e-06,0.005,0.00019282102584838867,0.00023609399795532227
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",cross,0.005,0.0025,6.154179573059082e-06,0.0025,1.9848346710205078e-05,1.8537044525146484e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",diagonal,0.01,0.005,1.2829899787902832e-05,0.01,0.0005913376808166504,0.0006995201110839844
