seed,update,parameter_id,parameter_name,shape,distance_group,distance_thresholds,component,removed_energy,removed_energy_fraction,coefficient_count,budget_fraction,baseline_update_cosine,baseline_update_relative_l2,baseline_update_norm_ratio,restored_update_cosine,restored_update_relative_l2,restored_update_norm_ratio,polar_baseline_cosine,polar_baseline_relative_l2,polar_restored_cosine,polar_restored_relative_l2,polar_restored_norm_ratio,update_cosine_gain,update_l2_reduction,recovered_cosine_error_fraction,recovered_l2_error_fraction,polar_update_cosine_gain,polar_update_l2_reduction
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",local,"<0.5,0.5-1.5,>=1.5 decades",local,0.02505202777683735,0.4863764944742802,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.7043115496635437,0.7788954973220825,1.0248219966888428,0.6566484570503235,0.8286778926849365,0.7221935391426086,0.7453977465629578,0.9999997019767761,0.08004897832870483,0.08735835552215576,0.21304499424793952,0.10084613792518823,0.06554508209228516,0.08328014612197876
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",medium,"<0.5,0.5-1.5,>=1.5 decades",medium,0.029726292937994003,0.5771257433406184,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.647570788860321,0.838356614112854,0.9971193671226501,0.6566484570503235,0.8286778926849365,0.68365877866745,0.7954151630401611,1.000001072883606,0.023308217525482178,0.027897238731384277,0.06203325979071764,0.03220446135943536,0.027010321617126465,0.03326272964477539
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",distant,"<0.5,0.5-1.5,>=1.5 decades",distant,0.0102799441665411,0.19958157685488537,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6243590116500854,0.8661428689956665,0.9985530376434326,0.6566484570503235,0.8286778926849365,0.65677809715271,0.8285216689109802,1.0000004768371582,9.644031524658203e-05,0.00011098384857177734,0.00025666943958496327,0.00012811931307130754,0.0001296401023864746,0.00015622377395629883
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",local,"<0.5,0.5-1.5,>=1.5 decades",local,0.09125134348869324,0.4227531899403395,,,0.5780423283576965,0.9399250745773315,1.0445083379745483,0.6623161435127258,0.8438847661018372,1.0506486892700195,0.5500991940498352,0.9485799074172974,0.6157640814781189,0.8766268491744995,0.9999998807907104,0.0842738151550293,0.09604030847549438,0.19972101662952774,0.10217868537945123,0.06566488742828369,0.07195305824279785
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",medium,"<0.5,0.5-1.5,>=1.5 decades",medium,0.12811683118343353,0.593545223523811,,,0.5780423283576965,0.9399250745773315,1.0445083379745483,0.6308495402336121,0.8808948397636414,1.047917127609253,0.5500991940498352,0.9485799074172974,0.6000396609306335,0.8943842053413391,1.0,0.05280721187591553,0.059030234813690186,0.12514812604398048,0.06280312804745111,0.04994046688079834,0.05419570207595825
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",distant,"<0.5,0.5-1.5,>=1.5 decades",distant,0.0558953583240509,0.25895444528198935,,,0.5780423283576965,0.9399250745773315,1.0445083379745483,0.5814231038093567,0.935923159122467,1.0440295934677124,0.5500991940498352,0.9485799074172974,0.5515841245651245,0.9470124244689941,1.0000003576278687,0.0033807754516601562,0.004001915454864502,0.008012119885157732,0.0042576962388880795,0.0014849305152893066,0.0015674829483032227
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",local,"<0.5,0.5-1.5,>=1.5 decades",local,0.0,0.0,,,0.9142792820930481,0.4166063070297241,1.011518120765686,0.9142792820930481,0.4166063070297241,1.011518120765686,0.9121736884117126,0.4191253185272217,0.9121736884117126,0.4191253185272217,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",medium,"<0.5,0.5-1.5,>=1.5 decades",medium,0.0,0.0,,,0.9142792820930481,0.4166063070297241,1.011518120765686,0.9142792820930481,0.4166063070297241,1.011518120765686,0.9121736884117126,0.4191253185272217,0.9121736884117126,0.4191253185272217,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",distant,"<0.5,0.5-1.5,>=1.5 decades",distant,0.0,0.0,,,0.9142792820930481,0.4166063070297241,1.011518120765686,0.9142792820930481,0.4166063070297241,1.011518120765686,0.9121736884117126,0.4191253185272217,0.9121736884117126,0.4191253185272217,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",local,"<0.5,0.5-1.5,>=1.5 decades",local,0.0,0.0,,,0.9145130515098572,0.4161347448825836,1.0119388103485107,0.9145130515098572,0.4161347448825836,1.0119388103485107,0.9118812084197998,0.4198223948478699,0.9118812084197998,0.4198223948478699,0.9999978542327881,0.0,0.0,0.0,0.0,0.0,0.0
