t,predictor,n,pearson,spearman
0.05,s_perp,1200,0.9634334616906636,0.9999957152748022
0.05,s_full,1200,0.9634328038450848,0.9999956874970053
0.05,tail_angle_prior,1200,0.6534422647119298,0.9817006331254395
0.05,state_error_relative_l2,1200,0.14415324292531795,-0.15343560655250454
0.05,gram_fro_prior,1200,-0.07609506828668913,-0.2761192750828299
0.1,s_perp,1200,0.9682074547209183,0.999988555547608
0.1,s_full,1200,0.9682068432978915,0.9999885208253616
0.1,tail_angle_prior,1200,0.6642056314276583,0.981766008170839
0.1,state_error_relative_l2,1200,0.13706997183845027,-0.15339841208223062
0.1,gram_fro_prior,1200,-0.08239637354079095,-0.275985476378803
0.2,s_perp,1200,0.9803740819583643,0.9999609374728733
0.2,s_full,1200,0.9803736220719461,0.999960881917279
0.2,tail_angle_prior,1200,0.6976748581323688,0.9818887929783285
0.2,state_error_relative_l2,1200,0.11095185726602218,-0.15350753715801194
0.2,gram_fro_prior,1200,-0.10340367408299775,-0.2760183722349807
0.4,s_perp,1200,0.9963047475981247,0.9998118193137634
0.4,s_full,1200,0.9963046862110705,0.9998119095916039
0.4,tail_angle_prior,1200,0.777315316733161,0.9822322446057254
0.4,state_error_relative_l2,1200,0.030696317445790995,-0.1544919197860554
0.4,gram_fro_prior,1200,-0.16130279245506562,-0.2770297548817742
0.6,s_perp,1200,0.9932813171888365,0.9994942704821324
0.6,s_full,1200,0.9932816259559843,0.999494548260103
0.6,tail_angle_prior,1200,0.842263850413252,0.9826687796310969
0.6,state_error_relative_l2,1200,-0.0525992568103271,-0.15550223298766178
0.6,gram_fro_prior,1200,-0.21647657441683602,-0.27845095031316
0.8,s_perp,1200,0.9801661541736068,0.9989220061958376
0.8,s_full,1200,0.9801667340758288,0.9989225061961848
0.8,tail_angle_prior,1200,0.885545641587475,0.9832456480872556
0.8,state_error_relative_l2,1200,-0.11610588738758525,-0.15638701137986902
0.8,gram_fro_prior,1200,-0.2557191898068677,-0.2802374862760321
1.0,s_perp,1200,0.9659279438938702,0.9980778319984945
1.0,s_full,1200,0.9659287004044268,0.9980785958879138
1.0,tail_angle_prior,1200,0.9130790643678056,0.9838023845849893
1.0,state_error_relative_l2,1200,-0.15603201288065202,-0.155417857929068
1.0,gram_fro_prior,1200,-0.27844568292220145,-0.2805234378634985
1.25,s_perp,1200,0.9511594799227274,0.9966467060046569
1.25,s_full,1200,0.9511603700710125,0.996647567116366
1.25,tail_angle_prior,1200,0.9348002128625622,0.9845124892447842
1.25,state_error_relative_l2,1200,-0.18054698858612814,-0.15180279986305545
1.25,gram_fro_prior,1200,-0.2900324290158289,-0.2792014994454857
1.5,s_perp,1200,0.9402270883629227,0.995031177104984
1.5,s_full,1200,0.940228055973881,0.9950319896055484
1.5,tail_angle_prior,1200,0.9485124672813882,0.9848430936410372
1.5,state_error_relative_l2,1200,-0.18647517472548156,-0.14585462212126538
1.5,gram_fro_prior,1200,-0.2897711317628075,-0.2753964065252823
