direction,method,model,calibration_seed,evaluation_seed,parameters,heldout_r2,heldout_spearman,n_train,n_test
0_to_1,direct_scalar_int4,polar_inspired,0,1,0.548811636,0.9527417610948964,0.9996522284328642,1350,1350
0_to_1,structural_scalar_int3_p98_k8,polar_inspired,0,1,0.778800783,0.973569091860451,0.9996032309970477,1350,1350
0_to_1,structural_int4_k8,polar_inspired,0,1,0.778800783,0.9838862402437226,0.9998380880074862,1350,1350
0_to_1,structural_vq64_int3_k8,polar_inspired,0,1,0.818730753,0.9838140127771631,0.999752125454603,1350,1350
0_to_1,direct_scalar_int4,rational,0,1,0.438234992;0.740818221,0.9951169064279647,0.9996522284328642,1350,1350
0_to_1,structural_scalar_int3_p98_k8,rational,0,1,0.522045777;0.927743486,0.9974084614639486,0.9996032309970477,1350,1350
0_to_1,structural_int4_k8,rational,0,1,0.496585304;0.904837418,0.9982213234207399,0.9998380880074862,1350,1350
0_to_1,structural_vq64_int3_k8,rational,0,1,0.522045777;0.951229425,0.9980753299519518,0.999752125454603,1350,1350
0_to_1,direct_scalar_int4,exponential,0,1,0.110803158,0.7524977631925772,0.9996522284328642,1350,1350
0_to_1,structural_scalar_int3_p98_k8,exponential,0,1,0.201896518,0.8362719389354096,0.9996032309970477,1350,1350
0_to_1,structural_int4_k8,exponential,0,1,0.246596964,0.9008535856729079,0.9998380880074862,1350,1350
0_to_1,structural_vq64_int3_k8,exponential,0,1,0.259240261,0.9006059200113501,0.999752125454603,1350,1350
1_to_0,direct_scalar_int4,polar_inspired,1,0,0.57694981,0.9515457104153633,0.9996249350174921,1350,1350
1_to_0,structural_scalar_int3_p98_k8,polar_inspired,1,0,0.778800783,0.9694317828395613,0.9995815025900638,1350,1350
1_to_0,structural_int4_k8,polar_inspired,1,0,0.778800783,0.9820115517290593,0.9998372978835959,1350,1350
1_to_0,structural_vq64_int3_k8,polar_inspired,1,0,0.860707976,0.9811789324903762,0.9997531838304314,1350,1350
1_to_0,direct_scalar_int4,rational,1,0,0.438234992;0.740818221,0.9949414295758962,0.9996249350174921,1350,1350
1_to_0,structural_scalar_int3_p98_k8,rational,1,0,0.509156421;0.882496903,0.996908014425043,0.9995815025900638,1350,1350
1_to_0,structural_int4_k8,rational,1,0,0.496585304;0.904837418,0.9981180802717872,0.9998372978835959,1350,1350
1_to_0,structural_vq64_int3_k8,rational,1,0,0.522045777;0.927743486,0.9977107416389747,0.9997531838304314,1350,1350
1_to_0,direct_scalar_int4,exponential,1,0,0.110803158,0.7530334473885674,0.9996249350174921,1350,1350
1_to_0,structural_scalar_int3_p98_k8,exponential,1,0,0.201896518,0.8241933451322676,0.9995815025900638,1350,1350
1_to_0,structural_int4_k8,exponential,1,0,0.246596964,0.894117749453295,0.9998372978835959,1350,1350
1_to_0,structural_vq64_int3_k8,exponential,1,0,0.259240261,0.8934050156211868,0.9997531838304314,1350,1350
