t,separation_bucket,n_pairs,ordering_accuracy,median_relative_sensitivity_separation
0.05,all,250000,0.999484,0.4623512559699608
0.05,near_tie_lt_0.1,28403,0.9954582262437066,0.050162051095017965
0.05,medium_0.1_to_0.5,106570,1.0,0.28873204713948675
0.05,large_ge_0.5,115027,1.0,0.6754754886346676
0.1,all,250000,0.998912,0.45943104532472
0.1,near_tie_lt_0.1,28358,0.9904083503773186,0.05061340489854574
0.1,medium_0.1_to_0.5,107171,1.0,0.2889101493013856
0.1,large_ge_0.5,114471,1.0,0.6759508824600278
0.2,all,250000,0.997712,0.46028268273231343
0.2,near_tie_lt_0.1,28081,0.9796659663117411,0.050659821743841774
0.2,medium_0.1_to_0.5,107313,0.999990681464501,0.2893812056424631
0.2,large_ge_0.5,114606,1.0,0.6749976809196907
0.4,all,250000,0.994404,0.46008461804945977
0.4,near_tie_lt_0.1,28099,0.9509591088650842,0.050015029075612664
0.4,medium_0.1_to_0.5,107357,0.9998043909572734,0.28972743092121606
0.4,large_ge_0.5,114544,1.0,0.6753120981528298
0.6,all,250000,0.991036,0.4594281719247579
0.6,near_tie_lt_0.1,28042,0.9207973753655232,0.050324032331717415
0.6,medium_0.1_to_0.5,107481,0.99981392059992,0.2892797226184567
0.6,large_ge_0.5,114477,1.0,0.6748832787760979
0.8,all,250000,0.986356,0.46129000935799414
0.8,near_tie_lt_0.1,28417,0.8814793961361157,0.05091847960904531
0.8,medium_0.1_to_0.5,106776,0.9995972877800254,0.28980706362694086
0.8,large_ge_0.5,114807,1.0,0.6757569191290645
1.0,all,250000,0.981516,0.46194374978862285
1.0,near_tie_lt_0.1,28156,0.840566841880949,0.050417733301211215
1.0,medium_0.1_to_0.5,106770,0.9987636976678842,0.28970986873350946
1.0,large_ge_0.5,115074,1.0,0.6757021128133586
1.25,all,250000,0.975984,0.46144977185378533
1.25,near_tie_lt_0.1,28185,0.7993968422919993,0.05073527464080215
1.25,medium_0.1_to_0.5,106947,0.9967273509308349,0.29030234412758094
1.25,large_ge_0.5,114868,1.0,0.6745892527956754
1.5,all,250000,0.970364,0.4603730854528333
1.5,near_tie_lt_0.1,28306,0.7619939235497775,0.05061686722154152
1.5,medium_0.1_to_0.5,107192,0.9937308754384656,0.2896554759471133
1.5,large_ge_0.5,114502,1.0,0.6753643926160582
