t,predictor,n,pearson,spearman
0.05,s_perp,24,0.9634484599946948,0.9999999999999999
0.05,s_full,24,0.9634484599946946,0.9999999999999999
0.1,s_perp,24,0.9711462435445962,0.9999999999999999
0.1,s_full,24,0.9711462435445967,0.9999999999999999
0.2,s_perp,24,0.987122964132261,0.9999999999999999
0.2,s_full,24,0.987122964132261,0.9999999999999999
0.4,s_perp,24,0.9979384939640147,0.9991304347826085
0.4,s_full,24,0.9979384939640141,0.9991304347826085
0.6,s_perp,24,0.992561961276741,0.997391304347826
0.6,s_full,24,0.9925619612767407,0.997391304347826
0.8,s_perp,24,0.982313185889846,0.997391304347826
0.8,s_full,24,0.9823131858898457,0.997391304347826
1.0,s_perp,24,0.9713369770541582,0.9930434782608695
1.0,s_full,24,0.9713369770541578,0.9930434782608695
1.25,s_perp,24,0.9585674957019321,0.988695652173913
1.25,s_full,24,0.9585674957019319,0.988695652173913
1.5,s_perp,24,0.9472936254434017,0.9852173913043477
1.5,s_full,24,0.9472936254434011,0.9852173913043477
