seed,update,parameter_id,parameter_name,shape,method,t,finite_cosine_distortion,finite_update_relative_l2,t_s_perp,t_s_full,s_perp,s_full,tail_angle_prior,state_error_relative_l2,gram_fro_prior,first_order_cosine_prediction,finite_vector_mismatch,remainder_radial_fraction,remainder_tangent_fraction,remainder_other_fraction,stable
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.05,0.0032026961623311534,0.08007238805294037,0.08028243024099516,0.08028304442065692,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.003222634302700127,0.07108986569968757,0.4686092344954858,0.07059068242753148,0.8805806839239287,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.01256585837622759,0.15876427292823792,0.1605648604819903,0.16056608884131385,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.012890537210800508,0.14281411871172806,0.4654832350918083,0.14781374263833089,0.8726261830449906,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.2,0.04666954776755128,0.30683812499046326,0.3211297209639806,0.3211321776826277,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.05156214884320203,0.29019628340301384,0.4526072922514042,0.2938301902437983,0.8419088182826563,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.4,0.14553269079437425,0.5438525676727295,0.6422594419279612,0.6422643553652554,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.20624859537280812,0.6046338752662032,0.41027557151705846,0.5307423655625626,0.7416107448071212,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6,0.24113789293179333,0.6987259984016418,0.9633891628919418,0.9633965330478829,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.4640593395888182,0.9267072627417541,0.3641363726811601,0.6872404868879718,0.6285739537019982,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.8,0.3166271571282936,0.79767906665802,1.2845188838559225,1.2845287107305108,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.8249943814912325,1.2267099884041097,0.3253875557999022,0.782871044846935,0.5303167597491184,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.3757391092763802,0.8662538528442383,1.605648604819903,1.6056608884131383,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,1.2890537210800506,1.5002236791558639,0.29465121245505627,0.841496838717652,0.4528396332333811,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.25,0.4343409431772446,0.9286865592002869,2.0070607560248788,2.0070761105164228,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,2.014146439187579,1.8236023223965725,0.26351563131640204,0.8865691472405272,0.3802034445045209,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.5,0.4814001253495801,0.9763518571853638,2.4084729072298545,2.4084913326197075,1.605648604819903,1.6056608884131383,0.9103423469397569,0.17813079059123993,0.04082731530070305,2.9003708724301136,2.135531175207619,0.23789254213101968,0.9145810367763428,0.3270300682927003,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.05,0.001473894353392069,0.054294124245643616,0.05425745857202078,0.0542579710689696,1.0851491714404156,1.085159421379392,0.8767981639414376,0.12345220893621445,0.023187581449747086,0.0014719359053472756,0.04773642966167416,0.4696383934200161,0.011976099898254695,0.8827776347739262,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.005866815757894828,0.10835277289152145,0.10851491714404156,0.1085159421379392,1.0851491714404156,1.085159421379392,0.8767981639414376,0.12345220893621445,0.023187581449747086,0.0058877436213891025,0.09550883890540059,0.46911970990331386,0.06548552088300504,0.8807033236765205,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.2,0.022821423456886203,0.21396619081497192,0.21702983428808312,0.2170318842758784,1.0851491714404156,1.085159421379392,0.8767981639414376,0.12345220893621445,0.023187581449747086,0.02355097448555641,0.19201499983022646,0.4645592338420552,0.17077043389404356,0.868920121276794,True
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.4,0.08108411276345362,0.40468940138816833,0.43405966857616624,0.4340637685517568,1.0851491714404156,1.085159421379392,0.8767981639414376,0.12345220893621445,0.023187581449747086,0.09420389794222564,0.3933719889689313,0.4434768349093656,0.36358448945406335,0.8192280609983789,True
