seed,update,parameter_id,shape,method,magnitude_only,symmetric_only,skew_only,out_of_subspace_only,orientation_plus_outside,all_channels
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.0010780096054077148,0.04545015096664429,0.1384257674217224,0.2398749589920044,0.3062719702720642,0.32406526803970337
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.00040161609649658203,0.025242626667022705,0.0843701958656311,0.15996462106704712,0.21186411380767822,0.22553396224975586
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0007257461547851562,0.02469736337661743,0.08125901222229004,0.1538151502609253,0.20477372407913208,0.2180933952331543
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.0012725591659545898,0.09214544296264648,0.24647420644760132,0.37994587421417236,0.4546329975128174,0.46895575523376465
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.004494369029998779,0.2045365571975708,0.27970612049102783,0.0,0.27970612049102783,0.37330907583236694
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0017896294593811035,0.13131225109100342,0.1820375919342041,0.0,0.1820375919342041,0.2586557865142822
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.002300083637237549,0.12486380338668823,0.18051260709762573,0.0,0.18051260709762573,0.2554423213005066
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.008062899112701416,0.36820346117019653,0.4560093283653259,0.0,0.4560093283653259,0.5506508052349091
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0008429288864135742,0.005998730659484863,0.012288689613342285,0.04467058181762695,0.055409014225006104,0.06162291765213013
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.00014549493789672852,0.003558814525604248,0.007376492023468018,0.028548240661621094,0.035319745540618896,0.038770079612731934
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0006451010704040527,0.003724515438079834,0.007457911968231201,0.02699899673461914,0.033879876136779785,0.0379524827003479
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.0001264810562133789,0.00860506296157837,0.01770728826522827,0.06435889005661011,0.0789143443107605,0.08590924739837646
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0007660388946533203,0.0059923529624938965,0.012624144554138184,0.045168519020080566,0.05618160963058472,0.06237262487411499
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.00012010335922241211,0.0035524368286132812,0.007498323917388916,0.02874743938446045,0.03562653064727783,0.03908735513687134
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.0005963444709777832,0.0038262009620666504,0.007531166076660156,0.02731764316558838,0.034255802631378174,0.03838604688644409
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.00011879205703735352,0.008447885513305664,0.017675936222076416,0.06384849548339844,0.07840293645858765,0.08524447679519653
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.0009022951126098633,0.008969902992248535,0.021909356117248535,0.08669757843017578,0.10348361730575562,0.11073845624923706
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.00032836198806762695,0.006599247455596924,0.01578575372695923,0.0686454176902771,0.08144372701644897,0.08678203821182251
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0006358027458190918,0.005711257457733154,0.013500571250915527,0.05555438995361328,0.06695789098739624,0.0723792314529419
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.00030934810638427734,0.015098154544830322,0.0363309383392334,0.13737976551055908,0.16103124618530273,0.17009496688842773
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.002073526382446289,0.11200261116027832,0.21284031867980957,0.304396390914917,0.38922011852264404,0.4203343987464905
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.0008487701416015625,0.06802088022232056,0.13863277435302734,0.20942580699920654,0.28347712755203247,0.31098413467407227
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0012363791465759277,0.06433922052383423,0.13365042209625244,0.2009263038635254,0.27423083782196045,0.3011995553970337
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.0029096007347106934,0.20786023139953613,0.3505083918571472,0.447759211063385,0.5362405478954315,0.5637653768062592
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.006086766719818115,0.27311229705810547,0.3353824019432068,0.0,0.3353824019432068,0.44003838300704956
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.002826094627380371,0.1799004077911377,0.23487699031829834,0.0,0.23487699031829834,0.325514554977417
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.002795279026031494,0.17244362831115723,0.2253912091255188,0.0,0.2253912091255188,0.3157946467399597
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.014870524406433105,0.44255775213241577,0.5088996589183807,0.0,0.5088996589183807,0.606794536113739
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0010094046592712402,0.007545173168182373,0.018270909786224365,0.06743818521499634,0.08231323957443237,0.08902066946029663
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.0002269148826599121,0.004527091979980469,0.011216342449188232,0.044714510440826416,0.054513514041900635,0.05867034196853638
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0007583498954772949,0.004720330238342285,0.01153409481048584,0.04234731197357178,0.052497923374176025,0.05706411600112915
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.0002791285514831543,0.012190818786621094,0.02880072593688965,0.10266512632369995,0.12365388870239258,0.13188624382019043
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0009650588035583496,0.007847368717193604,0.019136130809783936,0.07061707973480225,0.08604311943054199,0.09292936325073242
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.00023663043975830078,0.004796087741851807,0.011518776416778564,0.04678589105606079,0.056782305240631104,0.060934364795684814
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.000807344913482666,0.0051531195640563965,0.012209892272949219,0.04408937692642212,0.05477762222290039,0.06001019477844238
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.00023603439331054688,0.011975586414337158,0.02943652868270874,0.10519897937774658,0.12647885084152222,0.13427817821502686
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.0009847283363342285,0.012485265731811523,0.028496861457824707,0.1161462664604187,0.1360100507736206,0.1449143886566162
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.00046634674072265625,0.009207487106323242,0.02067047357559204,0.09425979852676392,0.10970884561538696,0.11598974466323853
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0008282661437988281,0.008322298526763916,0.018451392650604248,0.07766079902648926,0.09220266342163086,0.09941774606704712
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.0006388425827026367,0.023456811904907227,0.05345809459686279,0.190595805644989,0.219740092754364,0.23158013820648193
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.002656877040863037,0.15914922952651978,0.25299882888793945,0.30436789989471436,0.4085436463356018,0.45039474964141846
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.0010265707969665527,0.09739124774932861,0.16630035638809204,0.20736366510391235,0.2982085943222046,0.3359406590461731
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.001762092113494873,0.09401386976242065,0.16004925966262817,0.19860213994979858,0.2883340120315552,0.3266674280166626
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.00555574893951416,0.2985120415687561,0.417324960231781,0.4721410870552063,0.5749242007732391,0.6150532364845276
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.006131410598754883,0.30410265922546387,0.3612082600593567,5.960464477539063e-08,0.3612082600593567,0.4709430932998657
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.002507925033569336,0.20586931705474854,0.2536471486091614,5.960464477539063e-08,0.2536471486091614,0.3520394563674927
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.003186464309692383,0.19843173027038574,0.2472834587097168,5.960464477539063e-08,0.2472834587097168,0.34400343894958496
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.016374528408050537,0.4862745404243469,0.5483491718769073,5.960464477539063e-08,0.5483491718769073,0.6428722739219666
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.001037895679473877,0.012176811695098877,0.027804195880889893,0.11335015296936035,0.13290882110595703,0.14088183641433716
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.00023865699768066406,0.007287502288818359,0.016735613346099854,0.07512927055358887,0.08842134475708008,0.09381872415542603
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0008395910263061523,0.007610619068145752,0.01749640703201294,0.07389324903488159,0.08784651756286621,0.09422796964645386
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.00028628110885620117,0.02144300937652588,0.04872077703475952,0.17941629886627197,0.20698940753936768,0.21727198362350464
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0010506510734558105,0.011659324169158936,0.027880489826202393,0.11353778839111328,0.13313686847686768,0.14081329107284546
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.00025594234466552734,0.007359027862548828,0.017029941082000732,0.07773011922836304,0.09114432334899902,0.09642058610916138
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.0008704066276550293,0.007678329944610596,0.017912447452545166,0.07480859756469727,0.08905267715454102,0.09562444686889648
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.0003554821014404297,0.02170640230178833,0.04945182800292969,0.18541258573532104,0.21281898021697998,0.2227117419242859
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.0010568499565124512,0.014033019542694092,0.03142315149307251,0.12968480587005615,0.1506410837173462,0.1597312092781067
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.00041669607162475586,0.009869217872619629,0.022817552089691162,0.10348576307296753,0.12004119157791138,0.12653499841690063
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0008502602577209473,0.009161889553070068,0.020374298095703125,0.08981400728225708,0.10526174306869507,0.11253225803375244
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.0005226731300354004,0.02748948335647583,0.06128871440887451,0.22073644399642944,0.2508077621459961,0.2618240714073181
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.003133118152618408,0.1790471076965332,0.25874173641204834,0.2731536626815796,0.39285749197006226,0.4461449384689331
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.001376330852508545,0.11374199390411377,0.1721210479736328,0.18422359228134155,0.2860225439071655,0.33151906728744507
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0017476081848144531,0.10818159580230713,0.16699272394180298,0.17656183242797852,0.2775503993034363,0.3252667784690857
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.008380115032196045,0.3874747157096863,0.4908914566040039,0.49952322244644165,0.6179351508617401,0.6570497453212738
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.005629897117614746,0.3015369772911072,0.3523638844490051,0.0,0.3523638844490051,0.46362215280532837
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0029627084732055664,0.2043057084083557,0.25035369396209717,0.0,0.25035369396209717,0.3499601483345032
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0034360289573669434,0.19407474994659424,0.23994863033294678,0.0,0.23994863033294678,0.34006041288375854
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.016984641551971436,0.5157988667488098,0.5677928328514099,0.0,0.5677928328514099,0.6613232493400574
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0009688138961791992,0.013416290283203125,0.033072471618652344,0.13970565795898438,0.161038339138031,0.16842055320739746
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.0002110004425048828,0.007969319820404053,0.020051956176757812,0.09553861618041992,0.11046004295349121,0.11550074815750122
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0008009672164916992,0.008465349674224854,0.020525753498077393,0.09132075309753418,0.10680550336837769,0.11282962560653687
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.0003508329391479492,0.026382923126220703,0.0630994439125061,0.23767387866973877,0.2667631506919861,0.2763604521751404
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0009058713912963867,0.013370633125305176,0.03532671928405762,0.14886385202407837,0.17096984386444092,0.1781383752822876
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.0001965165138244629,0.008206427097320557,0.021777868270874023,0.10249060392379761,0.1183394193649292,0.12337625026702881
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.0007944107055664062,0.008737742900848389,0.022664010524749756,0.09955012798309326,0.11621135473251343,0.12237375974655151
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.0003529191017150879,0.02582693099975586,0.06603610515594482,0.242828369140625,0.27274012565612793,0.2819421887397766
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.0010895729064941406,0.013654232025146484,0.031407177448272705,0.1308249831199646,0.15168911218643188,0.15978318452835083
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.0003247857093811035,0.009707510471343994,0.022219479084014893,0.1026238203048706,0.11878716945648193,0.12501823902130127
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0008590221405029297,0.00876307487487793,0.01963728666305542,0.08818143606185913,0.10314714908599854,0.10994195938110352
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.0005092620849609375,0.031386494636535645,0.06775599718093872,0.24160611629486084,0.27247053384780884,0.28369975090026855
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.0022597908973693848,0.1752224564552307,0.24112218618392944,0.24045264720916748,0.3636891841888428,0.4182502031326294
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.0010872483253479004,0.1106574535369873,0.16052722930908203,0.1603989601135254,0.2623090147972107,0.3116031289100647
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0016848444938659668,0.1031879186630249,0.1507861614227295,0.15118032693862915,0.24932599067687988,0.29722875356674194
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.008122920989990234,0.41316932439804077,0.5016370713710785,0.49908244609832764,0.6223507523536682,0.6655424535274506
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.004805326461791992,0.2818388342857361,0.33307188749313354,0.0,0.33307188749313354,0.44261789321899414
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.002700507640838623,0.19508278369903564,0.23779654502868652,0.0,0.23779654502868652,0.3351401090621948
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0026813745498657227,0.1806533932685852,0.22323286533355713,0.0,0.22323286533355713,0.31776201725006104
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.013153672218322754,0.5333637595176697,0.5854284167289734,0.0,0.5854284167289734,0.6741373240947723
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0009948015213012695,0.013426542282104492,0.03857046365737915,0.16470330953598022,0.1875821352005005,0.19381433725357056
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.00020682811737060547,0.007986903190612793,0.023526906967163086,0.11334174871444702,0.12987041473388672,0.13462954759597778
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0007821917533874512,0.008427560329437256,0.024328172206878662,0.10975193977355957,0.12705057859420776,0.1325429081916809
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.0003371238708496094,0.02992469072341919,0.08278733491897583,0.2928003668785095,0.32397758960723877,0.33348172903060913
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0009337663650512695,0.013693094253540039,0.0387343168258667,0.1661168932914734,0.188981831073761,0.19505912065505981
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.00023865699768066406,0.008538603782653809,0.024356305599212646,0.1148499846458435,0.13187897205352783,0.13712430000305176
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.0007917284965515137,0.008813560009002686,0.025275468826293945,0.11105722188949585,0.1289581060409546,0.1347370743751526
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.0003667473793029785,0.02986067533493042,0.07949978113174438,0.2898046374320984,0.3200341463088989,0.3289613723754883
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.0012433528900146484,0.01438826322555542,0.033040642738342285,0.13872605562210083,0.16010993719100952,0.16797125339508057
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.00033152103424072266,0.010045349597930908,0.023476064205169678,0.11193323135375977,0.1285027265548706,0.13441723585128784
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0009723305702209473,0.0091325044631958,0.02090829610824585,0.09380847215652466,0.10945874452590942,0.11649942398071289
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.0005387067794799805,0.03351622819900513,0.07555562257766724,0.2660980820655823,0.29758018255233765,0.30850470066070557
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.0027834177017211914,0.16876226663589478,0.22798192501068115,0.20933061838150024,0.33735817670822144,0.3972848653793335
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.0009922981262207031,0.10608190298080444,0.1507158875465393,0.1360464096069336,0.23886847496032715,0.28914952278137207
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0016189217567443848,0.10183548927307129,0.14286118745803833,0.12973320484161377,0.2288263440132141,0.2802855372428894
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.00957942008972168,0.46485596895217896,0.5390186607837677,0.5093080103397369,0.6432890594005585,0.6889716386795044
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.004101455211639404,0.2422884702682495,0.2817010283470154,0.0,0.2817010283470154,0.39217352867126465
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0018631219863891602,0.16148996353149414,0.19588863849639893,0.0,0.19588863849639893,0.2885018587112427
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0025554895401000977,0.15201127529144287,0.18527472019195557,0.0,0.18527472019195557,0.2774118185043335
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.016743063926696777,0.5800512135028839,0.6206982135772705,0.0,0.6206982135772705,0.7064251005649567
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0008945465087890625,0.012463033199310303,0.040880024433135986,0.17293620109558105,0.19651734828948975,0.20204442739486694
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.0001696944236755371,0.0072934627532958984,0.024111807346343994,0.1189960241317749,0.13562053442001343,0.13985013961791992
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0007529258728027344,0.007614314556121826,0.025081396102905273,0.1132042407989502,0.1308407187461853,0.1354008913040161
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.00042372941970825195,0.033185482025146484,0.0989120602607727,0.3307884931564331,0.3630082607269287,0.37048250436782837
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0010243654251098633,0.012509942054748535,0.04190593957901001,0.17625337839126587,0.20015692710876465,0.2051597237586975
