seed,update,parameter_id,shape,method,epsilon,direction_cosine,relative_l2_mismatch,finite_difference_norm_ratio
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999572038650513,0.00955921970307827,1.0003594160079956
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9995920658111572,0.02867240086197853,1.0007411241531372
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9954493045806885,0.09536518901586533,0.998496413230896
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9599215388298035,0.28029733896255493,0.9631980061531067
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.6939516067504883,0.7200254797935486,0.6948636770248413
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999770522117615,0.007073340471833944,1.0001535415649414
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9997768402099609,0.02120666205883026,1.000266194343567
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9975076913833618,0.07060204446315765,0.9986514449119568
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9778250455856323,0.20943285524845123,0.9774883985519409
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.7978258728981018,0.6029936075210571,0.7866594791412354
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999778866767883,0.007036014460027218,1.000406265258789
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9997807145118713,0.021104201674461365,1.0010372400283813
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9975339770317078,0.07032658904790878,1.0013210773468018
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.977923572063446,0.20912519097328186,0.9859112501144409
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.7940705418586731,0.607969343662262,0.8071523904800415
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9999011754989624,0.014195503666996956,0.9999640583992004
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9990947246551514,0.04257557913661003,0.9991563558578491
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9899827241897583,0.14121145009994507,0.9887779951095581
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.9154338836669922,0.40259048342704773,0.9057667851448059
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.5894179344177246,0.8093709945678711,0.5394997596740723
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.999983549118042,0.005906655918806791,1.0002011060714722
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9998445510864258,0.01769963838160038,1.0003111362457275
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9982576370239258,0.05902930721640587,0.9976116418838501
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9841006398200989,0.17866885662078857,0.9647511839866638
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.8272784948348999,0.5769783854484558,0.6957727074623108
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.999992311000824,0.0043909731321036816,1.000004768371582
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9999154210090637,0.013148926198482513,0.9998401403427124
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9990389943122864,0.04389550909399986,0.997521698474884
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9912368059158325,0.13292883336544037,0.9764942526817322
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.8991314172744751,0.4508974850177765,0.790769100189209
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999924898147583,0.004375593736767769,1.0002269744873047
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.999916672706604,0.01308540441095829,1.0005136728286743
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9990504384040833,0.04361425340175629,0.9998024702072144
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9913372993469238,0.13159587979316711,0.9833685159683228
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.8994147777557373,0.44661617279052734,0.8077171444892883
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9998921155929565,0.01479944959282875,0.9997267127037048
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9990136027336121,0.04446769505739212,0.9972839951515198
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9888538718223572,0.15010416507720947,0.9698764085769653
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.8985220789909363,0.4519210457801819,0.7909514307975769
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.6055351495742798,0.8327610492706299,0.36025673151016235
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999597072601318,0.009254918433725834,1.0001869201660156
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9996157288551331,0.027776705101132393,0.9999697208404541
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9957002401351929,0.09269700199365616,0.9930017590522766
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9608931541442871,0.27910158038139343,0.9261115193367004
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.6930166482925415,0.7329722046852112,0.5606586337089539
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999789595603943,0.006825915537774563,1.0000405311584473
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9997925758361816,0.020475879311561584,0.999795138835907
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9976711273193359,0.06828185170888901,0.9955455660820007
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9789154529571533,0.2055216133594513,0.956332266330719
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.7927528619766235,0.620945394039154,0.6743174195289612
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999780058860779,0.006782419979572296,1.0002332925796509
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9997943639755249,0.02035738155245781,1.000381588935852
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9976920485496521,0.06792359799146652,0.9975252747535706
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.978918731212616,0.20494742691516876,0.9621113538742065
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.7886723279953003,0.6227923631668091,0.6893078088760376
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9999049305915833,0.013928934000432491,0.9998762011528015
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9991268515586853,0.041827231645584106,0.9982558488845825
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9902096390724182,0.14007864892482758,0.9786600470542908
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.9117549657821655,0.41753095388412476,0.8367414474487305
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.6062076091766357,0.8190693855285645,0.4103465676307678
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999700784683228,0.008068458177149296,1.0002590417861938
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9997104406356812,0.02418736182153225,1.0003427267074585
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.99675053358078,0.08059395849704742,0.9961469173431396
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9706243872642517,0.24160413444042206,0.9487365484237671
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.7418159246444702,0.6799628734588623,0.629395604133606
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999830722808838,0.00599314458668232,1.0001426935195923
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9998401999473572,0.01795242726802826,1.000180959701538
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9982136487960815,0.05977703630924225,0.997812807559967
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.983927309513092,0.17908646166324615,0.970486044883728
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.8350637555122375,0.5586551427841187,0.7379807233810425
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999843835830688,0.005960286129266024,1.0004167556762695
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.999842643737793,0.01785319857299328,1.0010159015655518
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9982376098632812,0.0594177171587944,1.0006438493728638
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9840837121009827,0.17778772115707397,0.9789519906044006
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.8351333737373352,0.5556816458702087,0.7562142610549927
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.999889612197876,0.015224532224237919,0.9999558329582214
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9989607930183411,0.04570505768060684,0.998145341873169
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9882848858833313,0.1532614827156067,0.9746504426002502
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.8960148096084595,0.45162543654441833,0.8135459423065186
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.6003769040107727,0.8270634412765503,0.38946741819381714
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999857544898987,0.006553601007908583,1.0003314018249512
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9998147487640381,0.01964382268488407,1.0008058547973633
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9978662133216858,0.06546343863010406,1.0006190538406372
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9809233546257019,0.19446836411952972,0.9845374822616577
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.825232982635498,0.5650892853736877,0.8071489334106445
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999944567680359,0.0049481382593512535,1.0000925064086914
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9998970031738281,0.014814574271440506,1.000173568725586
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9987897276878357,0.04933981969952583,0.9993980526924133
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9891565442085266,0.14691826701164246,0.9882992506027222
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.8930701017379761,0.450543612241745,0.8695293664932251
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999952912330627,0.004908828064799309,1.000356912612915
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9998994469642639,0.014716062694787979,1.0009766817092896
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9988079071044922,0.04905858263373375,1.0021432638168335
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9892556667327881,0.14644789695739746,0.9969424605369568
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.8927155137062073,0.4506378173828125,0.895092248916626
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9998730421066284,0.016345128417015076,1.000156044960022
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9988048076629639,0.04901368170976639,0.9990308880805969
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9867243766784668,0.1625521332025528,0.9807196259498596
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.8918635249137878,0.4544283449649811,0.8480809330940247
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.5897063612937927,0.8182903528213501,0.45799520611763
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999755620956421,0.007344924379140139,1.0002602338790894
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.999760091304779,0.022020729258656502,1.0004905462265015
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.997310996055603,0.07332099974155426,0.9982207417488098
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9758990406990051,0.21842393279075623,0.9667405486106873
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.776802659034729,0.633355438709259,0.7092767357826233
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999872446060181,0.0054098088294267654,1.0000396966934204
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9998706579208374,0.016186954453587532,0.9999535083770752
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9985468983650208,0.05392424017190933,0.9979461431503296
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9869481325149536,0.1612945944070816,0.9780940413475037
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.8652073740959167,0.505686342716217,0.799640953540802
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999881982803345,0.005354414228349924,1.0002684593200684
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9998735189437866,0.016059886664152145,1.0006616115570068
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9985703229904175,0.05352979525923729,1.00037682056427
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9870741367340088,0.1602848321199417,0.9857557415962219
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.8645486831665039,0.5044251084327698,0.8211252093315125
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9998770356178284,0.015795307233929634,1.0000118017196655
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9988789558410645,0.04737792909145355,0.9986502528190613
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9875524640083313,0.15748810768127441,0.9798516631126404
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.894752025604248,0.449710488319397,0.8416668772697449
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.5801218152046204,0.8282272815704346,0.430119127035141
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999582767486572,0.009404035285115242,1.0003595352172852
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9996044039726257,0.028208734467625618,1.0007359981536865
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9955893754959106,0.0938844308257103,0.9984503388404846
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.96101313829422,0.2765147089958191,0.9629293084144592
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.7000815272331238,0.7140986919403076,0.6930581331253052
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999772310256958,0.0070506371557712555,1.0000516176223755
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9997788071632385,0.02113306149840355,0.9999642968177795
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9975224733352661,0.07038753479719162,0.997674822807312
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9779193997383118,0.2090117484331131,0.9749450087547302
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.7984596490859985,0.6022570729255676,0.7827131748199463
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.99997878074646,0.0069692088291049,1.0003926753997803
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9997850656509399,0.020894313231110573,1.0009911060333252
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9975825548171997,0.06962883472442627,1.0011311769485474
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9783510565757751,0.2070738971233368,0.9850621819496155
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.7987284660339355,0.6017115712165833,0.8033754825592041
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9999042749404907,0.013962767086923122,1.000058650970459
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9991251230239868,0.0418679416179657,0.9994370937347412
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9903250336647034,0.13878093659877777,0.9896113872528076
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.9184907674789429,0.39561471343040466,0.9069379568099976
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.59727543592453,0.8042468428611755,0.5376993417739868
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999862313270569,0.005561634432524443,1.0001864433288574
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9998626112937927,0.01667608506977558,1.000279426574707
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.998454213142395,0.05563271418213844,0.9976915717124939
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9858401417732239,0.16880668699741364,0.9665191769599915
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.8415648937225342,0.5566926002502441,0.7068963646888733
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999920129776001,0.004148148465901613,1.0000661611557007
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9999234080314636,0.012417060323059559,1.0000468492507935
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.9991434812545776,0.04140007495880127,0.9984099864959717
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9922413229942322,0.124871626496315,0.9806337356567383
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.9116563200950623,0.42352086305618286,0.8092525601387024
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999924302101135,0.004158791154623032,1.000252604484558
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9999247789382935,0.012427574023604393,1.0006077289581299
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9991449117660522,0.04138314723968506,1.0002775192260742
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9922433495521545,0.12446963042020798,0.9859957098960876
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.9103550910949707,0.4233611226081848,0.8210316300392151
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9998837113380432,0.015310870483517647,0.9998292922973633
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9989456534385681,0.04598379507660866,0.9972586035728455
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9880647659301758,0.15559051930904388,0.9662310481071472
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.8897668719291687,0.47238898277282715,0.7679736614227295
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.604819118976593,0.8388803005218506,0.3411429822444916
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999676942825317,0.008214449509978294,1.0002140998840332
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9996982216835022,0.02464643307030201,1.0001192092895508
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9966157674789429,0.08225247263908386,0.9943382143974304
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.3,0.9690294861793518,0.24918214976787567,0.9357447624206543
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1.0,0.7258902192115784,0.7023150324821472,0.5838959217071533
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01,0.9999833106994629,0.005992438644170761,1.0000195503234863
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9998400807380676,0.017992256209254265,0.9997727274894714
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.998199462890625,0.06005304306745529,0.9960014224052429
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9836040735244751,0.18166884779930115,0.9617828130722046
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.82675701379776,0.5760737061500549,0.7027192711830139
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999841451644897,0.006033445242792368,1.0003025531768799
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9998396039009094,0.018102731555700302,1.0006252527236938
