seed,update,parameter_id,shape,method,channel,delta_norm_sq,fraction_of_total_derivative_energy
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,magnitude,0.729005767042594,0.0018416954954765098
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,symmetric,32.775062059238024,0.08280000911835715
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,skew,116.69475364875706,0.2948072729417789
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,out_of_subspace,245.63644320797943,0.6205541182701992
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,magnitude,0.27348969922987676,0.0012268000736328339
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,symmetric,17.638134402721697,0.0791198522099254
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,skew,64.80425874378925,0.2906942002659414
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,out_of_subspace,140.2138140362781,0.6289608634929353
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,magnitude,0.4896786762861356,0.002297439568313025
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,symmetric,17.241903444833707,0.08089433566440796
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,skew,62.09430903155764,0.29132966054008363
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,out_of_subspace,133.31577108124628,0.6254814481307821
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,magnitude,0.8835422706543031,0.0010195150235254376
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,symmetric,71.70218300478761,0.08273679168605746
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,skew,255.87076408080551,0.2952479997002661
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,out_of_subspace,538.1761601619464,0.6209987895451964
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,magnitude,2.503328517113727,0.005914469985158627
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,symmetric,161.95222709412505,0.38263519135801877
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,skew,258.80014572998806,0.6114521860037414
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,magnitude,1.0084457556891362,0.004388864565765591
