seed,update,parameter_id,shape,method,gap_skew_score,sigma_sum_skew_score,finite_k_skew_score,actual_update_distortion
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,420.68930748943313,0.38616316928287003,0.34715664979101857,0.28275102376937866
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,190.045384188061,0.21515856478467485,0.19278697531856828,0.20240181684494019
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,218.3187907740722,0.2051792582404287,0.18472511884714438,0.20371484756469727
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,2142.323746344855,0.8434779234392384,0.7611930810055787,0.37573742866516113
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,637.4595303795954,10.608748588150295,0.9274451905803857,0.3206844925880432
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,302.91825860487836,5.731275300830978,0.49463365899396167,0.23155415058135986
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,302.8790176188862,5.194590357353318,0.4890754904362672,0.23434454202651978
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,1235.0020935525838,28.07413270263188,2.3792363774356886,0.42195767164230347
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,38.475936592680014,0.03422012272348227,0.025053179948439672,0.0655057430267334
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,22.03857909637592,0.02048166756951042,0.014928710200742318,0.03937762975692749
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,21.32892295486216,0.02056167692757894,0.015097089708211527,0.04092693328857422
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,75.97087348221517,0.04988810378269591,0.0363898629542378,0.0857207179069519
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,95.65876289782507,0.03516725654748221,0.025747482893358847,0.06668615341186523
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,39.13819765376279,0.020851340804845457,0.015178044439189284,0.03975588083267212
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,34.69136358379347,0.020785745114594877,0.01524349224053729,0.041512250900268555
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,132.766355171553,0.049737100431408686,0.03632457843941521,0.08548694849014282
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,83.23328972971072,0.06457007739006565,0.045316759452610836,0.11123085021972656
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,52.31315688370255,0.04632146410726452,0.03234788717375461,0.08330357074737549
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,35.11553801143941,0.039110656682084265,0.027568606840146656,0.07477301359176636
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,124.97407804412043,0.10994222901931348,0.07683659761927654,0.15611398220062256
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,447.9217064224373,0.9510024478679491,0.6139029519904217,0.351229190826416
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,223.8836972699043,0.5337605052061627,0.3478019849647351,0.26869285106658936
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,314.3355320862938,0.5140386414275765,0.332344643909458,0.26879405975341797
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1008.4916503781478,2.106583098091251,1.3705879557665281,0.4311297535896301
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,40140.17345435065,30.441041013264613,1.2639039777414518,0.3697046637535095
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,24291.34081268637,17.46494611566069,0.708199822753571,0.28338873386383057
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,1798.2133839420744,22.32210889399949,0.6666195958682631,0.28280913829803467
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,8526.220811799149,84.69582677638532,3.1463044197416785,0.46144455671310425
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,191.54319744468697,0.0535842591086416,0.0375819371313492,0.09081202745437622
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,411.56485630845754,0.03268984887739634,0.022830344323991808,0.057750046253204346
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,242.91908591341084,0.03331756027111524,0.023487085130678417,0.05983889102935791
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,397.052546887626,0.08577107020899416,0.060200505189191476,0.12389451265335083
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,78.62558656895825,0.05567841964494741,0.03941134642246252,0.0938151478767395
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,45.635050357264284,0.03327728236106144,0.023453752934272376,0.05974858999252319
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,42.399801353420756,0.035137064900823,0.024887682493352797,0.06269466876983643
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,103.73909974815714,0.08720981092729475,0.061593002295696996,0.1249961256980896
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,627.6371980626292,0.07970673146323913,0.05953877305163241,0.13591408729553223
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,135.22594272263632,0.05726643240615055,0.04267271860772787,0.10670697689056396
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,146.44695827904565,0.050730606067898115,0.0379640305818951,0.09789508581161499
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,267.51001415034096,0.15550518704103727,0.11615943250020007,0.199479877948761
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,618.6393941414095,1.6388054589923233,0.7920902046222644,0.37394440174102783
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,348.47492348409475,0.9086565716314398,0.43874502683163896,0.2888765335083008
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,264.3793214310718,0.8590394739518754,0.4174055641223179,0.29007959365844727
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1445.7021274634978,3.9606595443846957,1.9454387385246041,0.46922802925109863
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,7716.756205155961,80.06135892553263,1.450652465099421,0.3907061219215393
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,5193.3744255059155,43.79553605654422,0.795195637102817,0.3063497543334961
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,7365.274676705558,29.422243953792023,0.764970410893509,0.3026784658432007
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,54126.11498092609,196.45146650175255,3.902239285196676,0.4919874668121338
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,112.5769463075814,0.07439923273433181,0.05802925570256642,0.13243156671524048
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,50.07918658226353,0.04392552272353445,0.03434155457753595,0.08785021305084229
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,110.04139153027549,0.046270040119227696,0.03594553954172192,0.09296512603759766
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,384.3362969300252,0.1345524350591947,0.10506892232044869,0.1823522448539734
