validation,held_out_group,model,features,train_n,test_n,r2
pooled_in_sample,all,raw,raw_relative_l2,1200,1200,0.03630407010357839
held_out_seed,1,raw,raw_relative_l2,600,600,0.03637937859119689
held_out_seed,0,raw,raw_relative_l2,600,600,0.03590648885891512
leave_one_method_out,structural_scalar_int3_p98_k8,raw,raw_relative_l2,900,300,0.061993374479841545
leave_one_method_out,structural_int4_k8,raw,raw_relative_l2,900,300,-0.31068338528660755
leave_one_method_out,structural_vq64_int3_k8,raw,raw_relative_l2,900,300,-0.19622998517375767
leave_one_method_out,direct_scalar_int4,raw,raw_relative_l2,900,300,-1.3070386458547394
pooled_in_sample,all,gram,right_gram_relative_fro,1200,1200,0.07753255713862406
held_out_seed,1,gram,right_gram_relative_fro,600,600,0.07858726265296345
held_out_seed,0,gram,right_gram_relative_fro,600,600,0.07618761681346786
leave_one_method_out,structural_scalar_int3_p98_k8,gram,right_gram_relative_fro,900,300,0.18424405158689994
leave_one_method_out,structural_int4_k8,gram,right_gram_relative_fro,900,300,-0.48871378874393057
leave_one_method_out,structural_vq64_int3_k8,gram,right_gram_relative_fro,900,300,-0.06834002511284876
leave_one_method_out,direct_scalar_int4,gram,right_gram_relative_fro,900,300,-0.8191139493245061
pooled_in_sample,all,tail_angle,tail_angle,1200,1200,0.7886776896912674
held_out_seed,1,tail_angle,tail_angle,600,600,0.7870943095757368
held_out_seed,0,tail_angle,tail_angle,600,600,0.790242562980799
leave_one_method_out,structural_scalar_int3_p98_k8,tail_angle,tail_angle,900,300,0.8227395704633895
leave_one_method_out,structural_int4_k8,tail_angle,tail_angle,900,300,0.6605850617985332
leave_one_method_out,structural_vq64_int3_k8,tail_angle,tail_angle,900,300,0.6559329864363092
leave_one_method_out,direct_scalar_int4,tail_angle,tail_angle,900,300,0.5985695666017735
pooled_in_sample,all,prior_gap,prior_gap_proxy,1200,1200,0.6688374309871238
held_out_seed,1,prior_gap,prior_gap_proxy,600,600,0.6834071282289289
held_out_seed,0,prior_gap,prior_gap_proxy,600,600,0.6514428186333472
leave_one_method_out,structural_scalar_int3_p98_k8,prior_gap,prior_gap_proxy,900,300,0.7637436894743779
leave_one_method_out,structural_int4_k8,prior_gap,prior_gap_proxy,900,300,0.42117322006033653
leave_one_method_out,structural_vq64_int3_k8,prior_gap,prior_gap_proxy,900,300,0.38596711119613514
leave_one_method_out,direct_scalar_int4,prior_gap,prior_gap_proxy,900,300,0.41231085671397405
pooled_in_sample,all,sigma_sum,sigma_sum_skew_score,1200,1200,0.8064384796053277
held_out_seed,1,sigma_sum,sigma_sum_skew_score,600,600,0.8081028798878159
held_out_seed,0,sigma_sum,sigma_sum_skew_score,600,600,0.8047326678734452
leave_one_method_out,structural_scalar_int3_p98_k8,sigma_sum,sigma_sum_skew_score,900,300,0.8235011561904828
leave_one_method_out,structural_int4_k8,sigma_sum,sigma_sum_skew_score,900,300,0.679576918409269
leave_one_method_out,structural_vq64_int3_k8,sigma_sum,sigma_sum_skew_score,900,300,0.6738187002612023
leave_one_method_out,direct_scalar_int4,sigma_sum,sigma_sum_skew_score,900,300,0.7023398936300516
pooled_in_sample,all,frechet_relative_l2,frechet_relative_l2,1200,1200,0.9818228050829625
held_out_seed,1,frechet_relative_l2,frechet_relative_l2,600,600,0.9815880157389025
held_out_seed,0,frechet_relative_l2,frechet_relative_l2,600,600,0.9819949810290018
leave_one_method_out,structural_scalar_int3_p98_k8,frechet_relative_l2,frechet_relative_l2,900,300,0.9798964433872976
leave_one_method_out,structural_int4_k8,frechet_relative_l2,frechet_relative_l2,900,300,0.9671991403465378
leave_one_method_out,structural_vq64_int3_k8,frechet_relative_l2,frechet_relative_l2,900,300,0.9547330615901265
leave_one_method_out,direct_scalar_int4,frechet_relative_l2,frechet_relative_l2,900,300,0.9815194218929011
pooled_in_sample,all,frechet_cosine_pred,frechet_distortion_pred,1200,1200,0.93081360263322
held_out_seed,1,frechet_cosine_pred,frechet_distortion_pred,600,600,0.9296965607603207
held_out_seed,0,frechet_cosine_pred,frechet_distortion_pred,600,600,0.9318997948382288
leave_one_method_out,structural_scalar_int3_p98_k8,frechet_cosine_pred,frechet_distortion_pred,900,300,0.9607129184525098
leave_one_method_out,structural_int4_k8,frechet_cosine_pred,frechet_distortion_pred,900,300,0.8781092145393417
leave_one_method_out,structural_vq64_int3_k8,frechet_cosine_pred,frechet_distortion_pred,900,300,0.8456988631794575
leave_one_method_out,direct_scalar_int4,frechet_cosine_pred,frechet_distortion_pred,900,300,0.8594067725794537
