seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,245.63644320797943,0.6205541182701992,1.0851596593856812
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,140.2138140362781,0.6289608634929353,0.814367949962616
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,133.31577108124628,0.6254814481307821,0.7962888479232788
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,538.1761601619464,0.6209987895451964,1.6056612730026245
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.2315808534622192
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,0.9074277877807617
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,0.8940899968147278
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,1.974997639656067
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,29.09846476443704,0.711171020075976,0.36687248945236206
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,18.133175878329286,0.7269928075769826,0.2864435315132141
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,17.10933636189092,0.7019073092544308,0.2831677794456482
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,43.26303838788482,0.7245684295109472,0.4431858956813812
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,29.538105580400885,0.7108395239241624,0.36913806200027466
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,18.322694516407473,0.7267909175306994,0.28752341866493225
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,17.37282354350597,0.7022354489434974,0.2848243713378906
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,43.02067713918178,0.7243141512773896,0.4413248896598816
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,58.31320068990283,0.7527320007405457,0.5140149593353271
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,44.819202173011334,0.7672858641516092,0.4463401734828949
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,35.51330472923285,0.7499543348471808,0.40187469124794006
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,100.83409901541178,0.7603797178270486,0.6725134253501892
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,325.36040013157003,0.5462087403034785,1.3974754810333252
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,183.00530742408358,0.5450504580334896,1.0491912364959717
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,172.67794940573407,0.5426815538085898,1.0213793516159058
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,695.1349050443893,0.5363536118385142,2.061342239379883
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.472661018371582
