seed,update,parameter_id,shape,reference_method,raw_error_ratio_vq_over_reference,skew_channel_ratio_vq_over_reference,out_of_subspace_ratio_vq_over_reference,frechet_ratio_vq_over_reference,actual_distortion_ratio_vq_over_reference,polar_distortion_ratio_vq_over_reference,delta_actual_distortion,delta_frechet
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7492652603658233,0.5321088317171234,0.542736123924284,0.7337987926809454,0.72047430580076,0.7124992623749873,-0.0790361762046814,-0.28887081146240234
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7442462408254573,0.5273362669847536,0.0,0.7259693866637035,0.7307635618276147,0.8026354521624618,-0.08633995056152344,-0.33749085664749146
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8085973569005962,0.6026017406213243,0.5879807233954575,0.7718425000150282,0.62478389523605,0.6203626473414464,-0.02457880973815918,-0.08370471000671387
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8094680135959078,0.5920381649025911,0.588149551304779,0.7715930722356089,0.622501805492989,0.6165100615762277,-0.02517390251159668,-0.08431369066238403
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8553687607187929,0.6083534492089339,0.6090096977884139,0.7818346216374797,0.6722326894387571,0.6649879091619866,-0.036457836627960205,-0.11214026808738708
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7544428873619646,0.5413634832714526,0.5307282304051327,0.7308746131707975,0.7652953307239801,0.7709191409262974,-0.08243513107299805,-0.37609612941741943
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7441094365310736,0.5274289729849577,0.0,0.7225982177144497,0.7649596178386052,0.8347648135649739,-0.08689552545547485,-0.40851879119873047
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8372114581832778,0.6249567386295721,0.6032396450492253,0.7811779398309691,0.6589313409990857,0.6509700018641771,-0.03097313642501831,-0.09901770949363708
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8433031789758667,0.6314852137487302,0.5983121279948032,0.7814642071017947,0.6682787395081314,0.6582668102623189,-0.031120479106903076,-0.10133177042007446
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8884473829383912,0.6376354331879823,0.6265658880655776,0.7949973447902502,0.7202718111092594,0.7032246843733847,-0.038019001483917236,-0.1242063045501709
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7453484383165312,0.5269672156295023,0.5223091438490232,0.724627368298679,0.7757292054858453,0.7946508977876413,-0.08386480808258057,-0.4156496524810791
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7468504126683942,0.5273285154282025,0.0,0.7247517002250472,0.7746959898007021,0.8458249285523779,-0.08802765607833862,-0.43762242794036865
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.842751443707398,0.6194382350365852,0.6100418297786777,0.7832319359697246,0.701986152874676,0.6802065290414657,-0.03946644067764282,-0.12951725721359253
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8477711178121633,0.6327269345215196,0.617303671494494,0.7896388046446717,0.704203404866377,0.6820891455737268,-0.03951019048690796,-0.12562930583953857
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8840238798834854,0.6374393477294948,0.6467233324741442,0.8038310506780216,0.7323517331178053,0.7096559767595276,-0.039733171463012695,-0.1266767978668213
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7511041829579748,0.5379920401914743,0.531806572368832,0.7308966310564725,0.7640164484351675,0.8027389255549403,-0.09008729457855225,-0.3994060754776001
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7432755076153703,0.5281651669425097,0.0,0.7228157253428072,0.7732533072741229,0.8510351611309946,-0.08949524164199829,-0.43344080448150635
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8323492104234912,0.6086963499195887,0.6011582371055855,0.7777068244460288,0.702000986573805,0.6756218460511787,-0.04727810621261597,-0.14914166927337646
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8519044960434429,0.629166210334731,0.6134309350654219,0.7866769836430011,0.7241210066194973,0.6981306934077499,-0.04616749286651611,-0.14843493700027466
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8583208140029013,0.6140527797400166,0.6264527124023088,0.7912247459936528,0.7150861629630335,0.693359626840996,-0.04281961917877197,-0.13525748252868652
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7498139211157699,0.5250340778172697,0.5289804125853701,0.7247600350308332,0.7467114778323368,0.8048380519640609,-0.09321528673171997,-0.38379621505737305
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7512359872767624,0.5266395901915174,0.0,0.7242764232376532,0.7535154413512535,0.8463215744358891,-0.09481072425842285,-0.40866339206695557
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8348513303917152,0.6169728679118179,0.6042093354171698,0.7795752328182927,0.712605039300336,0.6878866506838478,-0.052991628646850586,-0.1626644730567932
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8452055890585592,0.6390336817253464,0.605969670437253,0.7831813442168003,0.7228375839793408,0.6972432031309994,-0.05062758922576904,-0.16083556413650513
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.872352154825396,0.6210905321876982,0.6255966575583635,0.7911847773833296,0.7210744742901227,0.6976914185463201,-0.04452240467071533,-0.14001494646072388
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.751395899195246,0.5327767233989189,0.5343131020386745,0.7309119741432327,0.7326963991757388,0.8083531207862054,-0.09571182727813721,-0.35395681858062744
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7523914639897104,0.5399180339565215,0.0,0.7310912912550872,0.7305497844024786,0.8637614579781467,-0.09735476970672607,-0.34938836097717285
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8212717849723867,0.5986479626165262,0.588016355841893,0.7689306843561076,0.7034918838055203,0.6814465889633894,-0.05720263719558716,-0.17540884017944336
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.823299633855282,0.5910432758982643,0.5957494651288253,0.7726192278248095,0.7088032826468922,0.6849155799700193,-0.05714625120162964,-0.17476952075958252
