seed,update,parameter_id,method,i,j,sigma_i,sigma_j,sigma_sum,spectral_gap,skew_error_abs,gap_proxy,sigma_sum_proxy,finite_k_orientation_proxy
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0,1,0.2001640349626541,0.13524068892002106,0.33540472388267517,0.06492334604263306,4.1052207568358076e-05,15.402779754194006,5.962945234783281,5.323696549037858
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0,148,0.2001640349626541,0.0037491614930331707,0.20391319692134857,0.19641487300395966,4.385805736091986e-05,5.091264130537792,9.808094987293396,7.2159716856801985
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0,295,0.2001640349626541,0.0009759071399457753,0.20113994181156158,0.19918812811374664,7.360666438888184e-05,5.020379532308629,9.943325920715518,8.900058482901343
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1,60,0.13524068892002106,0.010082688182592392,0.14532338082790375,0.12515799701213837,3.4482007096841547e-06,7.989900718356143,13.762410700019664,15.166060257918513
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1,207,0.13524068892002106,0.0021260997746139765,0.13736678659915924,0.13311459124088287,9.832908151924734e-05,7.512324580047757,14.559559985390498,15.003531241305977
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1,354,0.13524068892002106,0.0005914474604651332,0.13583213090896606,0.13464924693107605,9.714328261345212e-05,7.426703553323516,14.724056127614013,13.675810379138433
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,2,120,0.09070829302072525,0.0049456702545285225,0.0956539660692215,0.085762619972229,3.153892269498324e-05,11.660091164960841,20.908699770701624,17.190167236753023
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,2,267,0.09070829302072525,0.0012276677880436182,0.09193596243858337,0.08948062360286713,4.4999827456283404e-05,11.17560362815573,21.75427310930153,20.53440222290535
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,3,34,0.08249188214540482,0.015996119007468224,0.09848800301551819,0.06649576127529144,5.498268050240748e-05,15.038552124375704,20.307042244624306,15.225388513976233
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,3,181,0.08249188214540482,0.002722253557294607,0.08521413803100586,0.07976962625980377,7.781659508621006e-06,12.53609948672936,23.470284401847707,17.32936902063705
