method,outcome,predictor,sample_count,pearson,spearman,scope
direct_scalar_int4,update_distortion,raw_relative_fro,300,-0.2837012282673441,-0.18829853665040722,per_method
direct_scalar_int4,update_distortion,raw_relative_spectral,300,-0.4482198006550891,-0.5437038189313214,per_method
direct_scalar_int4,update_distortion,right_gram_relative_fro,300,-0.4850711565420005,-0.4450445004944499,per_method
direct_scalar_int4,update_distortion,right_gram_relative_spectral,300,-0.37693879544102277,-0.2715003500038889,per_method
direct_scalar_int4,update_distortion,left_gram_relative_fro,300,-0.6740684240463337,-0.6769804108934543,per_method
direct_scalar_int4,update_distortion,left_gram_relative_spectral,300,-0.4178285471184288,-0.42029222546917183,per_method
direct_scalar_int4,update_distortion,right_gram_linear_relative_fro,300,-0.48763830364722904,-0.4513734597051078,per_method
direct_scalar_int4,update_distortion,spectrum_relative_l2,300,0.9797597416748668,0.988904321159124,per_method
direct_scalar_int4,update_distortion,tail_subspace_mean_sin,300,0.9436821283650815,0.9613800153335036,per_method
direct_scalar_int4,update_distortion,tail_gap_proxy,300,0.14477372396342195,0.8948126090289892,per_method
direct_scalar_int4,exact_polar_distortion,raw_relative_fro,300,-0.2818958890627834,-0.1954301714463494,per_method
direct_scalar_int4,exact_polar_distortion,raw_relative_spectral,300,-0.4481103326717961,-0.5546590517672418,per_method
direct_scalar_int4,exact_polar_distortion,right_gram_relative_fro,300,-0.4799237455047759,-0.44789786553183913,per_method
direct_scalar_int4,exact_polar_distortion,right_gram_relative_spectral,300,-0.3736074741950443,-0.27556128401426677,per_method
direct_scalar_int4,exact_polar_distortion,left_gram_relative_fro,300,-0.6664274546576183,-0.6803111145679396,per_method
direct_scalar_int4,exact_polar_distortion,left_gram_relative_spectral,300,-0.41644244096300476,-0.42423493594373274,per_method
direct_scalar_int4,exact_polar_distortion,right_gram_linear_relative_fro,300,-0.48245399496983826,-0.4543134923721375,per_method
direct_scalar_int4,exact_polar_distortion,spectrum_relative_l2,300,0.9755846386307191,0.9813820153557261,per_method
direct_scalar_int4,exact_polar_distortion,tail_subspace_mean_sin,300,0.9240858181555902,0.9403220035778176,per_method
direct_scalar_int4,exact_polar_distortion,tail_gap_proxy,300,0.1588450236239371,0.9046278291981021,per_method
structural_int4_k8,update_distortion,raw_relative_fro,300,-0.7969103504442968,-0.7295761064011821,per_method
structural_int4_k8,update_distortion,raw_relative_spectral,300,-0.6254941249671897,-0.6287136523739152,per_method
structural_int4_k8,update_distortion,right_gram_relative_fro,300,-0.5418742682945911,-0.5670725230280337,per_method
structural_int4_k8,update_distortion,right_gram_relative_spectral,300,-0.5144427801398076,-0.4937761530683674,per_method
structural_int4_k8,update_distortion,left_gram_relative_fro,300,-0.6168212789583838,-0.6481587573195258,per_method
