shape,outcome,predictor,sample_count,pearson,spearman,scope
"(1024, 384)",update_distortion,raw_relative_fro,480,0.22720429783903215,0.3493568765489434,per_shape
"(1024, 384)",update_distortion,raw_relative_spectral,480,0.15083246198051992,0.27889150994578965,per_shape
"(1024, 384)",update_distortion,right_gram_relative_fro,480,0.1231583713730798,0.2545198763883524,per_shape
"(1024, 384)",update_distortion,right_gram_relative_spectral,480,0.23458217615671795,0.36340348699430114,per_shape
"(1024, 384)",update_distortion,left_gram_relative_fro,480,-0.025451185203688696,0.12642763206437527,per_shape
"(1024, 384)",update_distortion,left_gram_relative_spectral,480,0.23145972348619026,0.2549172305435354,per_shape
"(1024, 384)",update_distortion,right_gram_linear_relative_fro,480,0.10987291158270142,0.2452093976102327,per_shape
"(1024, 384)",update_distortion,spectrum_relative_l2,480,0.422800985507316,0.3343226316086441,per_shape
"(1024, 384)",update_distortion,tail_subspace_mean_sin,480,0.9112340845606228,0.9866312353786257,per_shape
"(1024, 384)",update_distortion,tail_gap_proxy,480,0.4582410595734285,0.6518671956041475,per_shape
"(1024, 384)",exact_polar_distortion,raw_relative_fro,480,0.3705606064797472,0.4434355183833263,per_shape
"(1024, 384)",exact_polar_distortion,raw_relative_spectral,480,0.23602989062515564,0.34933636864743334,per_shape
"(1024, 384)",exact_polar_distortion,right_gram_relative_fro,480,0.22059244866815986,0.3351763679529859,per_shape
"(1024, 384)",exact_polar_distortion,right_gram_relative_spectral,480,0.31378147603716827,0.43815370292405775,per_shape
"(1024, 384)",exact_polar_distortion,left_gram_relative_fro,480,0.08222551963140562,0.21114989648392568,per_shape
"(1024, 384)",exact_polar_distortion,left_gram_relative_spectral,480,0.336422131912359,0.339329163755051,per_shape
"(1024, 384)",exact_polar_distortion,right_gram_linear_relative_fro,480,0.20720035701670067,0.3252516286963051,per_shape
"(1024, 384)",exact_polar_distortion,spectrum_relative_l2,480,0.46340954844464965,0.3581096272119236,per_shape
"(1024, 384)",exact_polar_distortion,tail_subspace_mean_sin,480,0.9436849452231855,0.9978097778202163,per_shape
"(1024, 384)",exact_polar_distortion,tail_gap_proxy,480,0.45414940303667556,0.6340559203815989,per_shape
"(1152, 384)",update_distortion,raw_relative_fro,240,0.8785859521113294,0.8493914824910154,per_shape
"(1152, 384)",update_distortion,raw_relative_spectral,240,0.7703485731092748,0.7671869303286515,per_shape
"(1152, 384)",update_distortion,right_gram_relative_fro,240,0.8083054890342899,0.8027101164950778,per_shape
"(1152, 384)",update_distortion,right_gram_relative_spectral,240,0.7885549804659735,0.7814172121043766,per_shape
"(1152, 384)",update_distortion,left_gram_relative_fro,240,0.8229146829579866,0.8248094584975432,per_shape
"(1152, 384)",update_distortion,left_gram_relative_spectral,240,0.8061156223549524,0.8048438340943418,per_shape
"(1152, 384)",update_distortion,right_gram_linear_relative_fro,240,0.8065384834438011,0.8030929356412436,per_shape
"(1152, 384)",update_distortion,spectrum_relative_l2,240,0.9441913116059353,0.953712738068369,per_shape
