validation,held_out_group,model,features,train_n,test_n,r2
pooled_in_sample,all,raw_loglinear,raw_relative_fro,1200,1200,0.03630407010357839
held_out_seed,1,raw_loglinear,raw_relative_fro,600,600,0.036379378591196776
held_out_seed,0,raw_loglinear,raw_relative_fro,600,600,0.03590648885891501
leave_one_method_out,direct_scalar_int4,raw_loglinear,raw_relative_fro,900,300,-1.3070386458547394
leave_one_method_out,structural_int4_k8,raw_loglinear,raw_relative_fro,900,300,-0.310683385286606
leave_one_method_out,structural_scalar_int3_p98_k8,raw_loglinear,raw_relative_fro,900,300,0.061993374479841545
leave_one_method_out,structural_vq64_int3_k8,raw_loglinear,raw_relative_fro,900,300,-0.19622998517375656
pooled_in_sample,all,gram_fro_loglinear,right_gram_relative_fro,1200,1200,0.07753255713862406
held_out_seed,1,gram_fro_loglinear,right_gram_relative_fro,600,600,0.07858726265296334
held_out_seed,0,gram_fro_loglinear,right_gram_relative_fro,600,600,0.07618761681346786
leave_one_method_out,direct_scalar_int4,gram_fro_loglinear,right_gram_relative_fro,900,300,-0.8191139493245061
leave_one_method_out,structural_int4_k8,gram_fro_loglinear,right_gram_relative_fro,900,300,-0.4887137887439299
leave_one_method_out,structural_scalar_int3_p98_k8,gram_fro_loglinear,right_gram_relative_fro,900,300,0.18424405158689994
leave_one_method_out,structural_vq64_int3_k8,gram_fro_loglinear,right_gram_relative_fro,900,300,-0.06834002511284765
pooled_in_sample,all,gram_spectral_loglinear,right_gram_relative_spectral,1200,1200,0.0029939898327359105
held_out_seed,1,gram_spectral_loglinear,right_gram_relative_spectral,600,600,0.0012025616610025214
held_out_seed,0,gram_spectral_loglinear,right_gram_relative_spectral,600,600,0.0037578542640693824
leave_one_method_out,direct_scalar_int4,gram_spectral_loglinear,right_gram_relative_spectral,900,300,-1.8038591309392125
leave_one_method_out,structural_int4_k8,gram_spectral_loglinear,right_gram_relative_spectral,900,300,-0.3129012253395771
leave_one_method_out,structural_scalar_int3_p98_k8,gram_spectral_loglinear,right_gram_relative_spectral,900,300,-0.05867477796053122
leave_one_method_out,structural_vq64_int3_k8,gram_spectral_loglinear,right_gram_relative_spectral,900,300,-0.2849705843131616
pooled_in_sample,all,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,1200,1200,0.7814834604026145
held_out_seed,1,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,600,600,0.793868502905182
held_out_seed,0,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,600,600,0.7683149769958146
leave_one_method_out,direct_scalar_int4,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,900,300,0.6639786520135389
leave_one_method_out,structural_int4_k8,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,900,300,0.6851533732076277
leave_one_method_out,structural_scalar_int3_p98_k8,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,900,300,0.7212724445030496
leave_one_method_out,structural_vq64_int3_k8,gram_plus_tail_gap,right_gram_relative_spectral;tail_gap_proxy,900,300,0.6242555400338663
