seed,update,parameter_id,shape,reference_method,vq_method,raw_ratio_vq_over_reference,gram_ratio_vq_over_reference,gram_spectral_ratio_vq_over_reference,tail_subspace_ratio_vq_over_reference,update_distortion_ratio_vq_over_reference,exact_polar_distortion_ratio_vq_over_reference,raw_error_delta_vq_minus_reference,gram_error_delta_vq_minus_reference,update_distortion_delta_vq_minus_reference
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7492652603658233,0.8160270543086375,0.7671209664193046,0.9486864733957493,0.72047430580076,0.7124992623749873,-0.03095375746488571,-0.004265887662768364,-0.0790361762046814
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7442462408254573,0.787453102259094,0.7363066790942279,0.9568158265960326,0.7307635618276147,0.8026354521624618,-0.030851393938064575,-0.0049175359308719635,-0.08633995056152344
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8085973569005962,0.9156154398605131,0.9028870986741341,0.8377920575572102,0.62478389523605,0.6203626473414464,-0.030542343854904175,-0.0025494378060102463,-0.02457880973815918
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8094680135959078,0.9371140587610987,0.9633565853806355,0.8364977004041807,0.622501805492989,0.6165100615762277,-0.030794814229011536,-0.0020587723702192307,-0.02517390251159668
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8553687607187929,0.9873078515455432,1.0815299813909942,0.8863228598560186,0.6722326894387571,0.6649879091619866,-0.026432499289512634,-0.0009421706199645996,-0.036457836627960205
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7544428873619646,0.8004529217608822,0.7622572262177502,0.9729175517664223,0.7652953307239801,0.7709191409262974,-0.031006455421447754,-0.005366981029510498,-0.08243513107299805
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7441094365310736,0.8023711530540261,0.7022504382280977,0.9737305934571769,0.7649596178386052,0.8347648135649739,-0.030886121094226837,-0.004288768395781517,-0.08689552545547485
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8372114581832778,0.9916693679879851,1.1354586327758012,0.8558157930498164,0.6589313409990857,0.6509700018641771,-0.025225073099136353,-0.0002938173711299896,-0.03097313642501831
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8433031789758667,0.9935366976855831,1.2024571064198346,0.8577678449284453,0.6682787395081314,0.6582668102623189,-0.024797379970550537,-0.0002504698932170868,-0.031120479106903076
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8884473829383912,1.0237804781978344,1.1217443939494804,0.8918152237149213,0.7202718111092594,0.7032246843733847,-0.020239725708961487,0.001788027584552765,-0.038019001483917236
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7453484383165312,0.8092058923512176,0.7344106549939349,0.9796444148313805,0.7757292054858453,0.7946508977876413,-0.031154558062553406,-0.004224544391036034,-0.08386480808258057
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7468504126683942,0.8214355713387181,0.8674359324118015,0.9758781847372515,0.7746959898007021,0.8458249285523779,-0.0302230566740036,-0.0038470346480607986,-0.08802765607833862
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.842751443707398,0.9687342391380309,0.9071170031890692,0.8806023635968454,0.701986152874676,0.6802065290414657,-0.02321384847164154,-0.0009375009685754776,-0.03946644067764282
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8477711178121633,0.9913197670758814,0.9012606803300305,0.8910434075173201,0.704203404866377,0.6820891455737268,-0.022390693426132202,-0.0002578757703304291,-0.03951019048690796
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8840238798834854,1.0142042598026098,1.1150368815063008,0.8904979041595934,0.7323517331178053,0.7096559767595276,-0.020128026604652405,0.0009325295686721802,-0.039733171463012695
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7511041829579748,0.8179767954961096,0.8328861926316138,0.9815352115906457,0.7640164484351675,0.8027389255549403,-0.027105458080768585,-0.003139762207865715,-0.09008729457855225
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7432755076153703,0.81168184581955,0.8218170309732574,0.9746279846079111,0.7732533072741229,0.8510351611309946,-0.028529807925224304,-0.0032479222863912582,-0.08949524164199829
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8323492104234912,0.9816383662772882,0.9933640203251377,0.8967690706911486,0.702000986573805,0.6756218460511787,-0.022735610604286194,-0.0004513449966907501,-0.04727810621261597
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8519044960434429,0.9883725110188406,0.9506055496589974,0.8999056156865594,0.7241210066194973,0.6981306934077499,-0.019767165184020996,-0.0002903975546360016,-0.04616749286651611
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8583208140029013,0.9859715074908544,1.1397699434619062,0.9005635945928566,0.7150861629630335,0.693359626840996,-0.022460639476776123,-0.0006182081997394562,-0.04281961917877197
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7498139211157699,0.783017890934653,0.7565107123513853,0.9777052642314185,0.7467114778323368,0.8048380519640609,-0.023693718016147614,-0.0026401337236166,-0.09321528673171997
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7512359872767624,0.8284252713584538,0.8175458573313031,0.973338223276859,0.7535154413512535,0.8463215744358891,-0.024909555912017822,-0.002605796791613102,-0.09481072425842285
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8348513303917152,0.9595269316258083,0.9137961090284419,0.9098031577927703,0.712605039300336,0.6878866506838478,-0.021069057285785675,-0.0008178669959306717,-0.052991628646850586
