seed,update,parameter_id,parameter_name,shape,quantizer,diagonal_error_energy,off_diagonal_error_energy,total_error_energy,projected_error_energy,unresolved_error_energy,top_relative_mode_perturbation_mean,top_relative_mode_perturbation_max,top_error_energy_fraction,top_diagonal_error_energy_fraction,middle_relative_mode_perturbation_mean,middle_relative_mode_perturbation_max,middle_error_energy_fraction,middle_diagonal_error_energy_fraction,tail_relative_mode_perturbation_mean,tail_relative_mode_perturbation_max,tail_error_energy_fraction,tail_diagonal_error_energy_fraction
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,1.5961479249426702e-08,6.156701601867098e-06,8.528302714694291e-06,6.172663233883213e-06,2.355639480811078e-06,0.00028412012034095824,0.0007817025762051344,0.09659423679113388,0.00034982478246092796,0.002421135315671563,0.006665127817541361,0.08526545763015747,0.00024177685554604977,0.005820375867187977,0.014712367206811905,0.027513807639479637,6.232743908185512e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,5.690641046385281e-06,0.0020278224255889654,0.0028092816937714815,0.0020335130393505096,0.0007757686544209719,0.0036461418494582176,0.01348631177097559,0.09809939563274384,0.00018443992303218693,0.03940718248486519,0.10731454193592072,0.08541470766067505,0.0001962243695743382,0.09991724044084549,0.3426035940647125,0.02716182731091976,6.605351518373936e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,2.480590410414152e-05,0.0026282239705324173,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.013871257193386555,0.02919057570397854,0.10277841240167618,0.004896532278507948,0.04845550283789635,0.15284591913223267,0.08444628119468689,0.00024271319853141904,0.10448402166366577,0.41777303814888,0.02720317430794239,6.27159170107916e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,3.427232400099456e-07,0.00013024425425101072,0.0001305869809584692,0.0001305869809584692,0.0,0.00023977503587957472,0.0010785117046907544,0.10457030683755875,0.0002321216743439436,0.0034475033171474934,0.01286163367331028,0.1009829044342041,0.0003079680318478495,0.12440381944179535,0.8653263449668884,0.09785126149654388,0.00021860630658920854
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,0.00012369538308121264,0.04285266250371933,0.04297635704278946,0.04297635704278946,0.0,0.004952405113726854,0.01760248653590679,0.10273198038339615,0.000279807805782184,0.05649516358971596,0.1396288126707077,0.09966767579317093,0.00021588386152870953,4.858055591583252,87.25797271728516,0.1013277918100357,0.00037628295831382275
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,0.0004867873794864863,0.046104516834020615,0.04659130051732063,0.04659130424261093,0.0,0.020340513437986374,0.04560722038149834,0.1124122366309166,0.007811272982507944,0.05608203634619713,0.18713624775409698,0.101532943546772,0.00022630684543401003,2.654513120651245,45.607547760009766,0.10093283653259277,0.0001715230173431337
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,9.10665143294409e-09,3.5506491258274764e-06,9.107454388868064e-06,3.5597556689026533e-06,5.547698492591735e-06,0.0001777309225872159,0.0005737585015594959,0.04532429948449135,0.00011006589920725673,0.0006476481212303042,0.0017084927530959249,0.0383586585521698,0.0001085555340978317,0.0013223453424870968,0.004055559169501066,0.03816581889986992,9.644079545978457e-05
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,3.161242148053134e-06,0.0011747701792046428,0.0030049378983676434,0.0011779314372688532,0.0018270064610987902,0.0034597807098180056,0.014416034333407879,0.04535495117306709,0.0001235383388120681,0.011166589334607124,0.029170623049139977,0.03883132338523865,0.00010173544433200732,0.02780001610517502,0.06948501616716385,0.03820853680372238,0.00011697213631123304
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,2.758716800599359e-05,0.0012567886151373386,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.017220083624124527,0.027730539441108704,0.06443154811859131,0.005732627119868994,0.02211024798452854,0.04770825430750847,0.04050512611865997,0.00033354965853504837,0.027853064239025116,0.09242075681686401,0.03616459667682648,0.00013087864499539137
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,8.35511837493641e-09,3.2923273920459906e-06,8.457922376692295e-06,3.3006824651238276e-06,5.157239684194792e-06,0.0001820072066038847,0.0008277352899312973,0.046050962060689926,0.00010973220923915505,0.000583605607971549,0.0018157593440264463,0.03857624530792236,9.832347859628499e-05,0.0011248005321249366,0.004187398124486208,0.037543050944805145,7.813986303517595e-05
