seed,update,parameter_id,parameter_name,shape,quantizer,band,side,principal_angle_mean,principal_angle_max,projection_distance,projection_distance_normalized
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,top,left,0.006567502859979868,0.022685866802930832,0.07032188773155212,0.01126051414757967
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,top,right,0.0064666555263102055,0.02225344441831112,0.06877276301383972,0.011012455448508263
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,middle,left,0.09762635827064514,0.40194326639175415,1.0463470220565796,0.16754961013793945
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,middle,right,0.09489069133996964,0.39868366718292236,1.0288587808609009,0.16474926471710205
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,tail,left,0.23284637928009033,1.4840407371520996,2.3377771377563477,0.3743439316749573
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,tail,right,0.16672936081886292,1.4778566360473633,1.9987841844558716,0.3200616240501404
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,top,left,0.13721922039985657,1.0366934537887573,1.6750826835632324,0.2682279050350189
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,top,right,0.13538071513175964,1.0434681177139282,1.66786789894104,0.2670726180076599
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,middle,left,1.124704360961914,1.5510269403457642,7.779834270477295,1.2457704544067383
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,middle,right,1.1050646305084229,1.570441722869873,7.695419788360596,1.2322533130645752
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,tail,left,1.3097612857818604,1.5659881830215454,8.436599731445312,1.3509371280670166
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,tail,right,1.090882658958435,1.5522925853729248,7.623512268066406,1.2207390069961548
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,top,left,0.1395721733570099,0.4526483714580536,1.465645670890808,0.23469114303588867
