factor_precision,target_update_cosine,tensor_count,unreachable_tensor_count,total_storage_bits,total_fp32_bits,storage_ratio_vs_fp32,compression_ratio_vs_fp32,aggregate_update_cosine,mean_rank
fp32,0.9,300,120,526885984.0,3397386240.0,0.1550856884614921,6.448048236561176,0.8786534012191826,8.593333333333334
fp32,0.95,300,204,606872096.0,3397386240.0,0.17862911459840375,5.598191550398784,0.8961860626660011,14.506666666666666
fp32,0.98,300,300,627071520.0,3397386240.0,0.18457469233760126,5.417860852618534,0.8979180573037377,16.0
bf16,0.9,300,120,476631872.0,3397386240.0,0.14029369589723187,7.127904027366428,0.8786522398116412,8.593333333333334
bf16,0.95,300,204,516624928.0,3397386240.0,0.15206540896568768,6.576117519439557,0.8961847264181685,14.506666666666666
bf16,0.98,300,300,526724640.0,3397386240.0,0.15503819783528647,6.450023374642204,0.8979167921399629,16.0
fp16,0.9,300,120,476631872.0,3397386240.0,0.14029369589723187,7.127904027366428,0.8786535205112563,8.593333333333334
fp16,0.95,300,204,516624928.0,3397386240.0,0.15206540896568768,6.576117519439557,0.8961861724654834,14.506666666666666
fp16,0.98,300,300,526724640.0,3397386240.0,0.15503819783528647,6.450023374642204,0.8979181812317283,16.0
bf16_uv_fp32_sigma,0.9,300,120,476673120.0,3397386240.0,0.14030583699544272,7.127287227775714,0.8786530573610907,8.593333333333334
bf16_uv_fp32_sigma,0.95,300,204,516694560.0,3397386240.0,0.15208590472186054,6.575231293319597,0.896185609753485,14.506666666666666
bf16_uv_fp32_sigma,0.98,300,300,526801440.0,3397386240.0,0.1550608034487124,6.449083054898256,0.8979175902627132,16.0
fp16_uv_fp32_sigma,0.9,300,120,476673120.0,3397386240.0,0.14030583699544272,7.127287227775714,0.8786533844139841,8.593333333333334
fp16_uv_fp32_sigma,0.95,300,204,516694560.0,3397386240.0,0.15208590472186054,6.575231293319597,0.8961860635214381,14.506666666666666
fp16_uv_fp32_sigma,0.98,300,300,526801440.0,3397386240.0,0.1550608034487124,6.449083054898256,0.8979180680932822,16.0
