factor_precision,compression_constraint,rank_label,storage_ratio_vs_fp32,update_cosine
fp32,2,energy_90,0.409623991412881,0.9336275833900328
fp32,4,fixed_16,0.18457469233760126,0.8979180573037377
fp32,6,fixed_8,0.15503819783528647,0.8667503924281509
bf16,2,energy_90,0.2675628473729263,0.9336254799255619
bf16,4,fixed_16,0.15503819783528647,0.8979167921399629
bf16,6,fixed_16,0.15503819783528647,0.8979167921399629
fp16,2,energy_90,0.2675628473729263,0.9336277072904287
fp16,4,fixed_16,0.15503819783528647,0.8979181812317283
fp16,6,fixed_16,0.15503819783528647,0.8979181812317283
bf16_uv_fp32_sigma,2,energy_90,0.2676661644452884,0.9336265888203074
bf16_uv_fp32_sigma,4,fixed_16,0.1550608034487124,0.8979175902627132
bf16_uv_fp32_sigma,6,fixed_16,0.1550608034487124,0.8979175902627132
fp16_uv_fp32_sigma,2,energy_90,0.2676661644452884,0.9336275685716559
fp16_uv_fp32_sigma,4,fixed_16,0.1550608034487124,0.8979180680932822
fp16_uv_fp32_sigma,6,fixed_16,0.1550608034487124,0.8979180680932822
none,2,direct_int8,0.25050170333297167,0.9960620426745327
none,4,direct_int4,0.12550170333297164,0.7640175448661601
none,6,direct_int4,0.12550170333297164,0.7640175448661601
