rank_label,factor_precision,configuration,storage_idealized_bits_sum,storage_metadata_bits_sum,storage_ratio_vs_fp32,compression_ratio_vs_fp32,extra_storage_vs_int4,update_cosine_weighted,update_cosine_mean,update_cosine_median,update_relative_l2_weighted,update_relative_l2_mean,update_relative_l2_median,exact_polar_cosine_weighted,exact_polar_cosine_mean,exact_polar_cosine_median,exact_polar_relative_l2_weighted,exact_polar_relative_l2_mean,exact_polar_relative_l2_median,tensor_count,numel_total,energy_target,pareto_update_cosine_weighted,pareto_exact_polar_cosine_weighted,pareto_update_relative_l2_weighted
energy_25,fp32,energy_25_fp32,447324544.0,449029024.0,0.13216896528079186,7.566072700013263,0.05312487217907426,0.8118792386794532,0.7915498330195745,0.8728733658790588,0.5817157368141191,0.6159908561905225,0.5171100497245789,0.8084353942286086,0.782695706486702,0.8688279390335083,0.578011684699191,0.6149673008918762,0.5158332586288452,300,106168320,0.25,False,False,False
energy_25,bf16,energy_25_bf16,435998912.0,437703392.0,0.12883533430688174,7.7618458117866265,0.02656243608953713,0.8118801199175694,0.7915504638353984,0.872873067855835,0.5817135241020609,0.6159891508022944,0.517107367515564,0.8084353798655448,0.7826956922809283,0.8688271641731262,0.5780117161571979,0.6149673282106718,0.5158334374427795,300,106168320,0.25,True,False,False
energy_25,fp16,energy_25_fp16,435998912.0,437703392.0,0.12883533430688174,7.7618458117866265,0.02656243608953713,0.8118793293281837,0.7915497372547785,0.8728734850883484,0.5817153265630758,0.6159906939665476,0.5171090960502625,0.808435383921972,0.7826956956585248,0.8688279986381531,0.5780116746271098,0.6149672903617223,0.5158331990242004,300,106168320,0.25,False,True,False
energy_25,bf16_uv_fp32_sigma,energy_25_bf16_uv_fp32_sigma,436007296.0,437711776.0,0.1288378020863474,7.761697140174725,0.02658209940405897,0.8118790938898369,0.791549880305926,0.8728739023208618,0.581715942091412,0.6159908227125803,0.5171114802360535,0.8084353715043378,0.7826956871151924,0.8688270449638367,0.5780117117972285,0.6149673241376877,0.51583331823349,300,106168320,0.25,False,False,False
energy_25,fp16_uv_fp32_sigma,energy_25_fp16_uv_fp32_sigma,436007296.0,437711776.0,0.1288378020863474,7.761697140174725,0.02658209940405897,0.8118791887605632,0.7915497885147731,0.8728731274604797,0.5817158115130884,0.615990923345089,0.5171099901199341,0.8084353857294276,0.7826956973473231,0.8688279986381531,0.5780116789318898,0.6149672959248225,0.5158331394195557,300,106168320,0.25,False,True,False
energy_50,fp32,energy_50_fp32,514358816.0,516063296.0,0.151900095998505,6.583274312149492,0.2103429034384908,0.835881062955768,0.8155384021997452,0.8989404439926147,0.5326234529967662,0.569078784485658,0.452903687953949,0.8330113849016252,0.8069070419669151,0.9000100493431091,0.5278023263094602,0.567569197913011,0.45051872730255127,300,106168320,0.5,False,False,False
energy_50,bf16,energy_50_bf16,469516048.0,471220528.0,0.13870089966573834,7.209758569770967,0.1051714517192454,0.8358815683534851,0.8155387165149053,0.8989454507827759,0.532621909291656,0.5690775110324224,0.45290154218673706,0.8330113415778787,0.8069070161382357,0.9000099301338196,0.5278025089866585,0.5675693480173747,0.4505188465118408,300,106168320,0.5,False,False,False
energy_50,fp16,energy_50_fp16,469516048.0,471220528.0,0.13870089966573834,7.209758569770967,0.1051714517192454,0.8358812119397853,0.8155383684237798,0.8989408612251282,0.5326229501929548,0.5690785451730093,0.4529031217098236,0.8330114134483867,0.8069070661067963,0.9000101089477539,0.527802331800814,0.567569206058979,0.4505188465118408,300,106168320,0.5,False,False,False
energy_50,bf16_uv_fp32_sigma,energy_50_bf16_uv_fp32_sigma,469548576.0,471253056.0,0.13871047408492476,7.20926091989099,0.10524774087654103,0.8358808274622317,0.8155383614699045,0.8989405035972595,0.5326238348528191,0.5690789090593656,0.45290353894233704,0.8330113426264789,0.8069070153435072,0.9000100493431091,0.5278025164648339,0.567569355169932,0.45051881670951843,300,106168320,0.5,False,False,False
energy_50,fp16_uv_fp32_sigma,energy_50_fp16_uv_fp32_sigma,469548576.0,471253056.0,0.13871047408492476,7.20926091989099,0.10524774087654103,0.8358810398865629,0.815538383324941,0.89894038438797,0.5326234901392901,0.5690788193047047,0.4529036581516266,0.833011419960746,0.806907072464625,0.9000102281570435,0.5278023295932346,0.567569205313921,0.4505188465118408,300,106168320,0.5,False,False,False
energy_75,fp32,energy_75_fp32,789682464.0,791386944.0,0.23293993914568867,4.292952096010318,0.8560699413590428,0.8814159922577717,0.8636657790342966,0.9435350298881531,0.43746845015773067,0.47429822420080503,0.34823673963546753,0.8762960732811027,0.8513306299845378,0.9467946887016296,0.43476754843636795,0.47774863357345265,0.33640095591545105,300,106168320,0.75,False,False,False
energy_75,bf16,energy_75_bf16,607177872.0,608882352.0,0.17922082123933014,5.5797088367573515,0.4280349706795214,0.8814152818311144,0.8636656997601191,0.943530261516571,0.4374703087740474,0.4742989442249139,0.3482246994972229,0.8762958957917161,0.8513304962714513,0.9467940330505371,0.4347684323511742,0.4777493990957737,0.336402028799057,300,106168320,0.75,False,False,False
energy_75,fp16,energy_75_fp16,607177872.0,608882352.0,0.17922082123933014,5.5797088367573515,0.4280349706795214,0.8814161050374861,0.8636655702193579,0.9435349106788635,0.43746816347594614,0.4742984021703402,0.3482356667518616,0.8762960879339112,0.8513306381305059,0.9467937350273132,0.4347675574598489,0.4777486449480057,0.3364010751247406,300,106168320,0.75,False,False,False
