factor_precision,target_update_cosine,rank_label,storage_ratio_vs_fp32,update_cosine
fp32,0.8,fixed_1,0.129193765145761,0.8066711762161166
fp32,0.85,fixed_8,0.15503819783528647,0.8667503924281509
fp32,0.9,energy_90,0.409623991412881,0.9336275833900328
fp32,0.92,energy_90,0.409623991412881,0.9336275833900328
bf16,0.8,fixed_1,0.12734773423936632,0.8066720169451501
bf16,0.85,fixed_8,0.14026995058412906,0.8667497784175254
bf16,0.9,energy_90,0.2675628473729263,0.9336254799255619
bf16,0.92,energy_90,0.2675628473729263,0.9336254799255619
fp16,0.8,fixed_1,0.12734773423936632,0.8066712349929192
fp16,0.85,fixed_8,0.14026995058412906,0.8667505255175961
fp16,0.9,energy_90,0.2675628473729263,0.9336277072904287
fp16,0.92,energy_90,0.2675628473729263,0.9336277072904287
bf16_uv_fp32_sigma,0.8,fixed_1,0.12734914709020545,0.8066710396497337
bf16_uv_fp32_sigma,0.85,fixed_8,0.14028125339084202,0.866750180500525
bf16_uv_fp32_sigma,0.9,energy_90,0.2676661644452884,0.9336265888203074
bf16_uv_fp32_sigma,0.92,energy_90,0.2676661644452884,0.9336265888203074
fp16_uv_fp32_sigma,0.8,fixed_1,0.12734914709020545,0.8066711245863526
fp16_uv_fp32_sigma,0.85,fixed_8,0.14028125339084202,0.8667503856398441
fp16_uv_fp32_sigma,0.9,energy_90,0.2676661644452884,0.9336275685716559
fp16_uv_fp32_sigma,0.92,energy_90,0.2676661644452884,0.9336275685716559
none,0.8,direct_int8,0.25050170333297167,0.9960620426745327
none,0.85,direct_int8,0.25050170333297167,0.9960620426745327
none,0.9,direct_int8,0.25050170333297167,0.9960620426745327
none,0.92,direct_int8,0.25050170333297167,0.9960620426745327
