factor_precision,from_rank,to_rank,delta_update_cosine,delta_storage_bits,delta_cosine_per_bit,delta_cosine_per_storage_ratio
fp32,1,2,0.01594030100990229,12543360.0,1.2708158746860722e-09,4.317452366232049
fp32,2,4,0.019638413356410145,25086720.0,7.828210844785665e-10,2.6595455807893535
fp32,4,8,0.024500501845721834,50173440.0,4.883161657985148e-10,1.658998622453432
fp32,8,16,0.031167664875586865,100346880.0,3.1059924210485533e-10,1.0552255912814648
bf16,1,2,0.015939949452877133,6271680.0,2.5415756946905987e-09,8.634714293060261
bf16,2,4,0.01963797112305954,12543360.0,1.5656069125863835e-09,5.31897138206989
bf16,4,8,0.02449984089643864,25086720.0,9.766059850167196e-10,3.317907735397442
bf16,8,16,0.031167013722437464,50173440.0,6.211855061649643e-10,2.110407091132284
fp16,1,2,0.015940374881029173,6271680.0,2.541643527895105e-09,8.634944748655867
fp16,2,4,0.019638421414075014,12543360.0,1.565642811342018e-09,5.319093344008316
fp16,4,8,0.02450049422957279,25086720.0,9.766320280041707e-10,3.3179962134846566
fp16,8,16,0.03116765571413216,50173440.0,6.211983016140045e-10,2.1104505622147878
bf16_uv_fp32_sigma,1,2,0.01594023715566706,6276480.0,2.539677837843355e-09,8.628266540322041
bf16_uv_fp32_sigma,2,4,0.019638315560641106,12552960.0,1.5644370380086535e-09,5.314996866276964
bf16_uv_fp32_sigma,4,8,0.02450058813448308,25105920.0,9.758888793751864e-10,3.3154714505582703
bf16_uv_fp32_sigma,8,16,0.031167409762188236,50211840.0,6.207183357986529e-10,2.108819932958042
fp16_uv_fp32_sigma,1,2,0.015940303576213344,6276480.0,2.539688420295029e-09,8.628302492997745
fp16_uv_fp32_sigma,2,4,0.019638426353534078,12552960.0,1.5644458640459363e-09,5.315026851734582
fp16_uv_fp32_sigma,4,8,0.024500531123744063,25105920.0,9.758866085665876e-10,3.315463735744383
fp16_uv_fp32_sigma,8,16,0.03116768245343815,50211840.0,6.207237666143712e-10,2.1088383835366353
