seed,update,parameter_id,shape,m,n,aspect_ratio,min_dim,rank,factor_precision,side_info_bits,side_info_over_residual
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,fp32,49184,0.027795862268518517
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,bf16,24592,0.013897931134259259
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,fp16,24592,0.013897931134259259
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,bf16_uv_fp32_sigma,24608,0.01390697337962963
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,fp16_uv_fp32_sigma,24608,0.01390697337962963
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,fp32,98368,0.055591724537037035
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,bf16,49184,0.027795862268518517
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,fp16,49184,0.027795862268518517
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,bf16_uv_fp32_sigma,49216,0.02781394675925926
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,fp16_uv_fp32_sigma,49216,0.02781394675925926
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,4,fp32,196736,0.11118344907407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,4,bf16,98368,0.055591724537037035
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,4,fp16,98368,0.055591724537037035
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,4,bf16_uv_fp32_sigma,98432,0.05562789351851852
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,4,fp16_uv_fp32_sigma,98432,0.05562789351851852
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,fp32,393472,0.22236689814814814
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,bf16,196736,0.11118344907407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,fp16,196736,0.11118344907407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,bf16_uv_fp32_sigma,196864,0.11125578703703703
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,fp16_uv_fp32_sigma,196864,0.11125578703703703
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,16,fp32,786944,0.4447337962962963
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,16,bf16,393472,0.22236689814814814
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,16,fp16,393472,0.22236689814814814
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,16,bf16_uv_fp32_sigma,393728,0.22251157407407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,16,fp16_uv_fp32_sigma,393728,0.22251157407407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,fp32,49184,0.027795862268518517
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,bf16,24592,0.013897931134259259
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,fp16,24592,0.013897931134259259
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,bf16_uv_fp32_sigma,24608,0.01390697337962963
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,1,fp16_uv_fp32_sigma,24608,0.01390697337962963
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,fp32,98368,0.055591724537037035
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,bf16,49184,0.027795862268518517
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,fp16,49184,0.027795862268518517
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,bf16_uv_fp32_sigma,49216,0.02781394675925926
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,2,fp16_uv_fp32_sigma,49216,0.02781394675925926
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,fp32,393472,0.22236689814814814
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,bf16,196736,0.11118344907407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,fp16,196736,0.11118344907407407
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,bf16_uv_fp32_sigma,196864,0.11125578703703703
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,8,fp16_uv_fp32_sigma,196864,0.11125578703703703
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,26,fp32,1278784,0.7226924189814815
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,26,bf16,639392,0.36134620949074076
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,26,fp16,639392,0.36134620949074076
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,26,bf16_uv_fp32_sigma,639808,0.36158130787037035
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1152,384,3.0,384,26,fp16_uv_fp32_sigma,639808,0.36158130787037035
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,1,fp32,24608,0.04172092013888889
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,1,bf16,12304,0.020860460069444444
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,1,fp16,12304,0.020860460069444444
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,1,bf16_uv_fp32_sigma,12320,0.020887586805555556
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,1,fp16_uv_fp32_sigma,12320,0.020887586805555556
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,2,fp32,49216,0.08344184027777778
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,2,bf16,24608,0.04172092013888889
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,2,fp16,24608,0.04172092013888889
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,2,bf16_uv_fp32_sigma,24640,0.04177517361111111
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,2,fp16_uv_fp32_sigma,24640,0.04177517361111111
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,4,fp32,98432,0.16688368055555555
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,4,bf16,49216,0.08344184027777778
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,4,fp16,49216,0.08344184027777778
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,4,bf16_uv_fp32_sigma,49280,0.08355034722222222
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,4,fp16_uv_fp32_sigma,49280,0.08355034722222222
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,fp32,196864,0.3337673611111111
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,bf16,98432,0.16688368055555555
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,fp16,98432,0.16688368055555555
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,bf16_uv_fp32_sigma,98560,0.16710069444444445
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,fp16_uv_fp32_sigma,98560,0.16710069444444445
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,16,fp32,393728,0.6675347222222222
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,16,bf16,196864,0.3337673611111111
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,16,fp16,196864,0.3337673611111111
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,16,bf16_uv_fp32_sigma,197120,0.3342013888888889
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,16,fp16_uv_fp32_sigma,197120,0.3342013888888889
