/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] fp32_muon_snapshot_s0 | reference_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8634 | ppl 52230.97 | 65536 tokens
[train] 1/4096 | 8192 tok | loss 10.8941 | lr 5.000e-05 | 809.7 ms/update | 10117 tok/s
[train] 2/4096 | 16384 tok | loss 10.8833 | lr 1.000e-04 | 570.7 ms/update | 14353 tok/s
[train] 3/4096 | 24576 tok | loss 10.8878 | lr 1.500e-04 | 572.4 ms/update | 14313 tok/s
[train] 4/4096 | 32768 tok | loss 10.8699 | lr 2.000e-04 | 564.0 ms/update | 14524 tok/s
[train] 5/4096 | 40960 tok | loss 10.8209 | lr 2.500e-04 | 573.0 ms/update | 14297 tok/s
[train] 6/4096 | 49152 tok | loss 10.8198 | lr 3.000e-04 | 568.2 ms/update | 14418 tok/s
[train] 7/4096 | 57344 tok | loss 10.6638 | lr 3.500e-04 | 570.1 ms/update | 14370 tok/s
[train] 8/4096 | 65536 tok | loss 10.5562 | lr 4.000e-04 | 570.3 ms/update | 14365 tok/s
[train] 9/4096 | 73728 tok | loss 10.6411 | lr 4.500e-04 | 572.0 ms/update | 14322 tok/s
[train] 10/4096 | 81920 tok | loss 10.5573 | lr 5.000e-04 | 567.8 ms/update | 14426 tok/s
[train] 11/4096 | 90112 tok | loss 10.4104 | lr 5.500e-04 | 570.4 ms/update | 14362 tok/s
[train] 12/4096 | 98304 tok | loss 10.4586 | lr 6.000e-04 | 572.9 ms/update | 14300 tok/s
[train] 13/4096 | 106496 tok | loss 10.3011 | lr 6.500e-04 | 569.5 ms/update | 14385 tok/s
[train] 14/4096 | 114688 tok | loss 10.0790 | lr 7.000e-04 | 576.9 ms/update | 14200 tok/s
[train] 15/4096 | 122880 tok | loss 9.9247 | lr 7.500e-04 | 572.3 ms/update | 14314 tok/s
[train] 16/4096 | 131072 tok | loss 9.8858 | lr 8.000e-04 | 568.6 ms/update | 14407 tok/s
[train] 17/4096 | 139264 tok | loss 9.6109 | lr 8.500e-04 | 576.3 ms/update | 14215 tok/s
