rank,family,size,component,index,value_0,value_1
4,mse,32,0,0,0.0,0.0
4,mse,32,0,1,-0.498576819896698,0.2933425009250641
4,mse,32,0,2,0.5659513473510742,0.23734928667545319
4,mse,32,0,3,-0.01796606555581093,-0.36042681336402893
4,mse,32,0,4,0.8049942255020142,-0.5325385332107544
4,mse,32,0,5,-0.14213837683200836,0.1414496749639511
4,mse,32,0,6,0.48370546102523804,-0.2993234097957611
4,mse,32,0,7,0.056868404150009155,0.5306318402290344
4,mse,32,0,8,-0.5412188172340393,-0.40214765071868896
4,mse,32,0,9,-0.06577758491039276,-0.8479121923446655
4,mse,32,0,10,-0.5689228773117065,-0.07457150518894196
4,mse,32,0,11,0.0931030660867691,0.020008433610200882
4,mse,32,0,12,0.2590301036834717,0.8553537726402283
4,mse,32,0,13,-0.3318222165107727,0.04484644904732704
4,mse,32,0,14,0.8482729196548462,0.012975551187992096
4,mse,32,0,15,0.4124232828617096,-0.029411524534225464
4,mse,32,0,16,-0.7125377655029297,0.7254264950752258
4,mse,32,0,17,0.40800315141677856,-0.8455927968025208
4,mse,32,0,18,0.3663484454154968,0.47669723629951477
4,mse,32,0,19,-0.8710428476333618,0.20450587570667267
4,mse,32,0,20,-0.08811090886592865,-0.10526692867279053
4,mse,32,0,21,-0.23039455711841583,-0.544890820980072
4,mse,32,0,22,0.03247113898396492,0.2700824737548828
4,mse,32,0,23,-0.21150006353855133,0.8430702090263367
4,mse,32,0,24,-0.2867204248905182,-0.24075700342655182
4,mse,32,0,25,0.22835610806941986,-0.4988698959350586
4,mse,32,0,26,-0.9008952379226685,-0.3144167959690094
4,mse,32,0,27,-0.23977893590927124,0.4451873302459717
4,mse,32,0,28,0.25550007820129395,0.19035468995571136
4,mse,32,0,29,0.8090165853500366,0.6767351627349854
4,mse,32,0,30,-0.6190571188926697,-0.8389754891395569
4,mse,32,0,31,0.17697469890117645,-0.19480864703655243
4,mse,64,0,0,0.0,0.0
4,mse,64,0,1,-0.5825867056846619,0.46079954504966736
4,mse,64,0,2,0.2262960970401764,0.33717793226242065
4,mse,64,0,3,-0.073634073138237,-0.2294366955757141
4,mse,64,0,4,0.9094685912132263,-0.42191794514656067
4,mse,64,0,5,-0.16864609718322754,0.07198432832956314
4,mse,64,0,6,0.6053569316864014,-0.3178284764289856
4,mse,64,0,7,0.05886013060808182,0.3176373541355133
4,mse,64,0,8,-0.4188632667064667,-0.37870046496391296
4,mse,64,0,9,-0.09540549665689468,-0.9282753467559814
4,mse,64,0,10,-0.5868942141532898,-0.011897366493940353
4,mse,64,0,11,-0.045047711580991745,-0.039366595447063446
4,mse,64,0,12,0.42382892966270447,0.6544655561447144
4,mse,64,0,13,-0.35659241676330566,0.0353812612593174
4,mse,64,0,14,0.7206113934516907,0.05287539213895798
4,mse,64,0,15,0.527087926864624,0.09139493107795715
4,mse,64,0,16,-0.8125587701797485,0.88615483045578
4,mse,64,0,17,0.18759362399578094,-0.8871842622756958
4,mse,64,0,18,0.379893958568573,0.4322722852230072
4,mse,64,0,19,-0.8367456197738647,0.16549310088157654
4,mse,64,0,20,-0.19689829647541046,-0.10355767607688904
4,mse,64,0,21,-0.33152639865875244,-0.8457709550857544
4,mse,64,0,22,-0.11599435657262802,0.2405804842710495
4,mse,64,0,23,-0.4238942563533783,0.8163108229637146
4,mse,64,0,24,-0.3950038552284241,-0.1529204398393631
4,mse,64,0,25,0.5487529039382935,-0.5917394757270813
4,mse,64,0,26,-0.9217284917831421,-0.1001189574599266
4,mse,64,0,27,-0.3188004791736603,0.46192076802253723
4,mse,64,0,28,0.19263511896133423,0.15429112315177917
4,mse,64,0,29,0.9161252975463867,0.28609970211982727
4,mse,64,0,30,-0.8730231523513794,-0.7850661873817444
4,mse,64,0,31,0.2567605674266815,-0.1681579053401947
4,mse,64,0,32,-0.5177369713783264,0.21887899935245514
4,mse,64,0,33,-0.2395627200603485,-0.30283311009407043
4,mse,64,0,34,-0.09195012599229813,0.4397563636302948
4,mse,64,0,35,0.8508092761039734,-0.8141226768493652
4,mse,64,0,36,-0.26730644702911377,-0.5544620156288147
4,mse,64,0,37,0.5579742789268494,0.933857262134552
4,mse,64,0,38,0.12774604558944702,-0.4625779390335083
4,mse,64,0,39,-0.9263808131217957,-0.42244866490364075
4,mse,64,0,40,-0.1323811113834381,0.6526845693588257
4,mse,64,0,41,-0.3045305907726288,0.22814348340034485
4,mse,64,0,42,0.015019536018371582,0.1210901141166687
4,mse,64,0,43,0.2870515286922455,-0.5838800072669983
4,mse,64,0,44,-0.03514754772186279,-0.6494812965393066
4,mse,64,0,45,0.06727886945009232,-0.13926982879638672
4,mse,64,0,46,0.8701161742210388,0.7378469705581665
4,mse,64,0,47,0.3475596606731415,-0.3502371609210968
4,mse,64,0,48,0.38804054260253906,0.20819438993930817
4,mse,64,0,49,0.13432277739048004,-0.004158686846494675
4,mse,64,0,50,-0.5913330912590027,-0.9300518035888672
4,mse,64,0,51,0.32351192831993103,0.005672375205904245
4,mse,64,0,52,-0.5894869565963745,-0.5616890788078308
4,mse,64,0,53,0.9326425194740295,-0.09467306733131409
4,mse,64,0,54,-0.9003936052322388,0.4609664976596832
4,mse,64,0,55,0.12460830807685852,0.5653859972953796
4,mse,64,0,56,0.11232395470142365,-0.29506799578666687
4,mse,64,0,57,-0.6343029141426086,-0.2575749158859253
4,mse,64,0,58,-0.0981832966208458,0.9371663928031921
4,mse,64,0,59,0.19471299648284912,0.8787388801574707
4,mse,64,0,60,0.5017362236976624,-0.12953174114227295
4,mse,64,0,61,0.605590283870697,0.3840908408164978
4,mse,64,0,62,0.4749342203140259,-0.917414128780365
4,mse,64,0,63,-0.06362076848745346,-0.41413795948028564
4,mse,128,0,0,0.0,0.0
4,mse,128,0,1,-0.7176612019538879,0.370961993932724
4,mse,128,0,2,0.39321961998939514,0.3877645432949066
4,mse,128,0,3,-0.11406896263360977,-0.27110835909843445
4,mse,128,0,4,0.9246892929077148,-0.5885351896286011
4,mse,128,0,5,-0.10753054171800613,0.163850799202919
4,mse,128,0,6,0.3929591774940491,-0.4834994077682495
4,mse,128,0,7,0.06155278906226158,0.3786737024784088
4,mse,128,0,8,-0.43999916315078735,-0.4787716269493103
