seed,update,parameter_id,parameter_name,shape,numel,rank,method,evaluation_scope,pairing,codewords,nominal_bits_per_value,scale,paired_vectors,singleton_values,zero_pair_fraction,codebook_occupied,mean_vector_error,mean_alpha,storage_ratio_vs_fp32_unamortized,persistent_bits_unamortized,shared_codebook_bits,fp32_bits,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_mean_angular_error_deg,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine,residual_norm_ratio,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,evaluation_wall_seconds,source_seed_role,scalar_int3_update_cosine,delta_vs_scalar_int3,structural_int4_update_cosine,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,spectral_danger_diagonal_fraction_error,spectral_danger_cross_fraction_error,spectral_danger_associated_fraction_error,spectral_local_mixing_fraction_error,spectral_medium_mixing_fraction_error,spectral_distant_mixing_fraction_error,spectral_danger_diagonal_energy,spectral_danger_cross_energy,storage_ratio_amortized_global_codebook
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,221184,0,0.14670591056346893,57,6.82445170241408e-05,0.0004961544764228165,0.1014556884765625,1436184,3648,14155776,0.2860616445541382,0.831614077091217,22.76895523071289,0.3852093517780304,0.18691574037075043,0.2745679020881653,0.9615635275840759,0.9612099528312683,0.16066165268421173,0.9870111346244812,0.9865902066230774,0.8467375040054321,0.6419230699539185,1.0011252164840698,0.6763181389833335,held_out,0.6783909201622009,-0.03646785020828247,,0.8091375827789307,0.6726507544517517,1.0000003576278687,0.0013238554820418358,0.5760429501533508,0.5773667693138123,0.43277615308761597,0.41866809129714966,0.04385250434279442,2.8792860575777013e-06,0.0012528500519692898,0.1017149425688244
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,221184,0,0.1129557266831398,49,5.5961470934562385e-05,0.0004961544764228165,0.10141951949508102,1435672,3136,14155776,0.2981586456298828,0.8812713623046875,15.183135032653809,0.3796969950199127,0.21662169694900513,0.2206241339445114,0.9753656983375549,0.9735588431358337,0.12910443544387817,0.9916328191757202,0.9905188679695129,0.7686865925788879,0.7071579098701477,1.0087298154830933,0.5449660220183432,held_out,0.6783909201622009,0.028766989707946777,,,,,,,,,,,,,0.10171261742001488
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,221184,0,9.042245073942468e-05,33,0.00024756803759373724,0.0004961544764228165,0.10134718153211805,1434648,2112,14155776,0.9653441905975342,0.998231828212738,2.8574795722961426,0.9542286396026611,0.9764594435691833,0.9853096604347229,0.8747835159301758,0.01683078147470951,0.5765069723129272,0.8171188831329346,0.8106001615524292,0.8887621164321899,0.4917663633823395,0.3136357367038727,0.5282029590161983,held_out,0.6783909201622009,-0.18662455677986145,,,,,,,,,,,,,0.10170796712239584
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,221184,0,0.1438259482383728,57,5.798825804959051e-05,0.0004210578044876456,0.10840465404369214,1534552,3648,14155776,0.2817898988723755,0.8344305753707886,22.53892707824707,0.3809261918067932,0.1826554536819458,0.273587167263031,0.9618542790412903,0.9603101015090942,0.1340550184249878,0.9909759759902954,0.9903287291526794,0.7931139469146729,0.6881690621376038,1.0084844827651978,0.6055749079969246,held_out,0.7109185457229614,-0.022749483585357666,,0.7499414682388306,0.7187957763671875,1.000001311302185,0.0015669581480324268,0.5748770833015442,0.5764440894126892,0.43017929792404175,0.4213220477104187,0.04010823741555214,2.3528489236923633e-06,0.0008632004610262811,0.1091612316313244
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,221184,0,0.11156322062015533,49,4.7711906518088654e-05,0.0004210578044876456,0.10836848506221065,1534040,3136,14155776,0.29518410563468933,0.8826506733894348,15.06472396850586,0.3768358826637268,0.21353378891944885,0.22071322798728943,0.9753425717353821,0.9743685722351074,0.10815570503473282,0.9941353797912598,0.9938294887542725,0.7175371050834656,0.7467204928398132,1.0158761739730835,0.5401694960019086,held_out,0.7109185457229614,0.03580194711685181,,,,,,,,,,,,,0.10915890648251488
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,221184,0,0.00013111255248077214,33,0.0002113620430463925,0.0004210578044876456,0.10829614709924769,1533016,2112,14155776,0.9657988548278809,0.9981896877288818,2.859200954437256,0.9546968340873718,0.9769007563591003,0.9853842854499817,0.875566303730011,0.01673131436109543,0.4827985465526581,0.8757426738739014,0.8715093731880188,0.8907605409622192,0.5101079344749451,0.2784561812877655,0.512298790999921,held_out,0.7109185457229614,-0.20081061124801636,,,,,,,,,,,,,0.10915425618489584
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,73728,0,0.1048177108168602,57,0.0005542587605305016,0.0040298583917319775,0.10547383626302083,497688,3648,4718592,0.23196935653686523,0.8723463416099548,19.497676849365234,0.40445923805236816,0.05948885530233383,0.2722756266593933,0.9622199535369873,0.9621211886405945,0.16682307422161102,0.9859896302223206,0.9875073432922363,0.9062770009040833,0.6091068387031555,1.0476819276809692,0.22597333998419344,held_out,0.6370980143547058,-0.027991175651550293,,0.9179874062538147,0.5786511898040771,0.9999998211860657,0.00125554867554456,0.5572758316993713,0.5585314035415649,0.34097251296043396,0.435176819562912,0.14653915166854858,3.997243766207248e-05,0.01774178445339203,0.1017149425688244
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,73728,0,0.0804443359375,49,0.0004560464294627309,0.0040298583917319775,0.1053653293185764,497176,3136,4718592,0.2567724585533142,0.9136048555374146,12.428892135620117,0.3784390389919281,0.135112464427948,0.2193412333726883,0.9756481051445007,0.9746783971786499,0.1344025433063507,0.990929126739502,0.9917421340942383,0.8400901556015015,0.6649354696273804,1.0494979619979858,0.18473553299554624,held_out,0.6370980143547058,0.02783745527267456,,,,,,,,,,,,,0.10171261742001488
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,73728,0,4.069010537932627e-05,33,0.0020814845338463783,0.0040298583917319775,0.1051483154296875,496152,2112,4718592,0.9702114462852478,0.9983058571815491,2.8434622287750244,0.9547197818756104,0.9857022762298584,0.9853360056877136,0.8785176277160645,0.01672806590795517,0.6036484241485596,0.7972712516784668,0.7916926145553589,0.8735820055007935,0.5096485018730164,0.3583661913871765,0.1831159330031369,held_out,0.6370980143547058,-0.12744951248168945,,,,,,,,,,,,,0.10170796712239584
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,73728,0,0.1009792760014534,57,0.0004559586523100734,0.0033155602868646383,0.11590406629774305,546904,3648,4718592,0.22673241794109344,0.8761059045791626,19.18729591369629,0.3946990370750427,0.058774903416633606,0.26925984025001526,0.9630666971206665,0.9626432657241821,0.1368081122636795,0.9905997514724731,0.9915553331375122,0.8525984883308411,0.6555383205413818,1.0513306856155396,0.30289575102506205,held_out,0.6780316233634949,-0.022493302822113037,,0.8653960227966309,0.6255462169647217,1.0000007152557373,0.0012540580937638879,0.5604909062385559,0.5617449879646301,0.34502744674682617,0.4355388283729553,0.14355935156345367,2.6850733775063418e-05,0.012000713497400284,0.1091612316313244
