seed,update,parameter_id,parameter_name,shape,numel,rank,method,evaluation_scope,pairing,codewords,nominal_bits_per_value,scale,paired_vectors,singleton_values,zero_pair_fraction,codebook_occupied,mean_vector_error,mean_alpha,storage_ratio_vs_fp32_unamortized,persistent_bits_unamortized,shared_codebook_bits,fp32_bits,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_mean_angular_error_deg,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine,residual_norm_ratio,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,evaluation_wall_seconds,source_seed_role,scalar_int3_update_cosine,delta_vs_scalar_int3,structural_int4_update_cosine,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,spectral_danger_diagonal_fraction_error,spectral_danger_cross_fraction_error,spectral_danger_associated_fraction_error,spectral_local_mixing_fraction_error,spectral_medium_mixing_fraction_error,spectral_distant_mixing_fraction_error,spectral_danger_diagonal_energy,spectral_danger_cross_energy,storage_ratio_amortized_global_codebook
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0180528424680233,,,,1.434820669668692,20311000,4096,14155776,,,,,,0.9999996423721313,0.24290157854557037,1.3707806374441134e-06,0.5851014852523804,0.8109615445137024,0.8105352520942688,0.9956506490707397,0.09526902437210083,0.11518848687410355,,,,,,,,,,,,,,,,,1.5302884056454613
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01775444857776165,,,,1.4417696352358218,20409368,4096,14155776,,,,,,0.9999995231628418,0.23059198260307312,1.6367206399081624e-06,0.48995962738990784,0.8717466592788696,0.871483325958252,0.9904234409332275,0.13834168016910553,0.14712323248386383,,,,,,,,,,,,,,,,,1.5377346947079613
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.02010091207921505,,,,2.10556877983941,9935320,4096,4718592,,,,,,0.9999996423721313,0.2464042752981186,1.2216855793667492e-06,0.6126313805580139,0.7903711199760437,0.7916433811187744,0.9955217838287354,0.09795864671468735,0.12365778535604477,,,,,,,,,,,,,,,,,1.5302884056454613
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0201144739985466,,,,2.115999009874132,9984536,4096,4718592,,,,,,0.9999995827674866,0.2175375521183014,1.4365971310326131e-06,0.507973313331604,0.8613750338554382,0.8624864220619202,0.9900739789009094,0.14181876182556152,0.1607811599969864,,,,,,,,,,,,,,,,,1.5377346947079613
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01776801235973835,,,,1.476742426554362,18581720,4096,12582912,,,,,,0.9999997615814209,0.18099766969680786,1.400533392370562e-06,0.6927788853645325,0.7211570143699646,0.7211732864379883,0.9953176379203796,0.09768287092447281,0.11180954426527023,,,,,,,,,,,,,,,,,1.5302884056454613
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0180528424680233,,,,1.483908971150716,18671896,4096,12582912,,,,,,0.9999997019767761,0.17638669908046722,1.6111318927869434e-06,0.6192951202392578,0.785165548324585,0.7851790189743042,0.9912022352218628,0.13423185050487518,0.15655522048473358,,,,,,,,,,,,,,,,,1.5377346947079613
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01611328125,,,,1.476742426554362,18581720,4096,12582912,,,,,,0.9999998211860657,0.17596644163131714,1.2849338872911176e-06,0.7132841944694519,0.7008805871009827,0.7004979252815247,0.9960255026817322,0.09333942830562592,0.12130008637905121,,,,,,,,,,,,,,,,,1.5302884056454613
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.016357421875,,,,1.483908971150716,18671896,4096,12582912,,,,,,0.9999998211860657,0.15738339722156525,1.4077652394917095e-06,0.6358348727226257,0.7718309164047241,0.7716769576072693,0.9914143681526184,0.13267743587493896,0.15521258115768433,,,,,,,,,,,,,,,,,1.5377346947079613
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01875813864171505,,,,1.434820669668692,20311000,4096,14155776,,,,,,0.9999995827674866,0.259297639131546,1.6091569250420434e-06,0.5856788754463196,0.810544490814209,0.8108967542648315,0.9966291785240173,0.08383499830961227,0.10117343068122864,,,,,,,,,,,,,,,,,1.5302884056454613
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01973470114171505,,,,1.4417696352358218,20409368,4096,14155776,,,,,,0.9999995231628418,0.23904213309288025,1.9415165297687054e-06,0.48217231035232544,0.8760779500007629,0.8764182925224304,0.9920489192008972,0.1265326887369156,0.1396791785955429,,,,,,,,,,,,,,,,,1.5377346947079613
1,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01703559048473835,,,,2.10556877983941,9935320,4096,4718592,,,,,,0.9999995827674866,0.2736676037311554,1.225841742780176e-06,0.6071682572364807,0.7945747375488281,0.7936211824417114,0.9956842064857483,0.09404993802309036,0.10929642617702484,,,,,,,,,,,,,,,,,1.5302884056454613
1,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0169677734375,,,,2.115999009874132,9984536,4096,4718592,,,,,,0.9999996423721313,0.2658858001232147,1.4909260244166944e-06,0.49725496768951416,0.8676061630249023,0.8666934370994568,0.9897356629371643,0.14405831694602966,0.16223248839378357,,,,,,,,,,,,,,,,,1.5377346947079613
