update,method,alpha,instantaneous_persistence_rel_l2,current_error_buffer_norm_ratio,previous_persistence_residual_rel_l2,residual_is_persisted_buffer,injected_correction_rel_l2,error_buffer_reconstruction_rel_l2,inferred_operand_identity_rel_l2
1,alpha0,0.0,0.07062300317015441,,0.0,False,0.0,,0.0
1,alpha05,0.5,0.07062300317015441,0.07062300317015441,0.0,True,0.0,0.0,0.0
1,alpha1,1.0,0.07062300317015441,0.07062300317015441,0.0,True,0.0,0.0,0.0
8,alpha0,0.0,0.03144402674386938,,0.035702764842517505,False,0.0,,1.625689077556431e-10
8,alpha05,0.5,0.03331676408880054,0.03331676408880054,0.03761153418869387,True,0.016057815231167717,2.5207536854162917e-10,2.5207537097328353e-10
8,alpha1,1.0,0.03948400344884539,0.03948400344884539,0.043526420820074935,True,0.037178345622700656,3.459461637897954e-10,3.459461707145036e-10
32,alpha0,0.0,0.01928005755212268,,0.01851634872857281,False,0.0,,6.354405800527852e-11
32,alpha05,0.5,0.021129057093229018,0.021129057093229018,0.020446149123210678,True,0.010283482811756797,1.1504828228509515e-10,1.1504828316458661e-10
32,alpha1,1.0,0.029289213838747524,0.029289213838747524,0.02836536727967973,True,0.028506677687183197,2.2657214160883739e-10,2.2657215032840147e-10
128,alpha0,0.0,0.07948877760327715,,0.07723740765445314,False,0.0,,4.172125938333477e-10
128,alpha05,0.5,0.0847328628165901,0.0847328628165901,0.0836685573321537,True,0.04002827847467575,7.23777829123382e-10,7.237778327109232e-10
128,alpha1,1.0,0.1134426393587219,0.1134426393587219,0.11288437083163906,True,0.10771824437105115,1.4376238399351865e-09,1.4376238464825253e-09
512,alpha0,0.0,0.1006719200559946,,0.10180823348504904,False,0.0,,6.30903221059138e-10
512,alpha05,0.5,0.10622960779637994,0.10622960779637994,0.10758220673680635,True,0.050447359379590814,9.983829803610596e-10,9.983830064848825e-10
512,alpha1,1.0,0.13092796835856035,0.13092796835856035,0.13181079400748077,True,0.12398117155600868,1.5803120035850755e-09,1.580312025703127e-09
