update,method,alpha,parameter_name,numel,persistence_rel_l2,error_buffer_prev_rel_l2,recurrence_relative_error,momentum_cosine,momentum_relative_l2,gradient_cosine,gradient_relative_l2,direction_cosine,direction_relative_l2,k5_cosine,k5_relative_l2,state_only_k5_cosine,state_only_k5_relative_l2,gradient_only_k5_cosine,gradient_only_k5_relative_l2,local_previous_persistence_k5_cosine,local_previous_persistence_k5_relative_l2
1,alpha0,0.0,transformer.h.0.attn.c_attn.weight,442368,0.07159694284200668,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.0.attn.c_attn.weight,442368,0.07159694284200668,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.0.attn.c_attn.weight,442368,0.07159694284200668,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.0.attn.c_proj.weight,147456,0.06829351931810379,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.0.attn.c_proj.weight,147456,0.06829351931810379,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.0.attn.c_proj.weight,147456,0.06829351931810379,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.0.mlp.c_proj.weight,393216,0.09140940010547638,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.0.mlp.c_proj.weight,393216,0.09140940010547638,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.0.mlp.c_proj.weight,393216,0.09140940010547638,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.0.mlp.w1.weight,393216,0.12448067218065262,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.0.mlp.w1.weight,393216,0.12448067218065262,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.0.mlp.w1.weight,393216,0.12448067218065262,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.0.mlp.w2.weight,393216,0.126844584941864,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.0.mlp.w2.weight,393216,0.126844584941864,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.0.mlp.w2.weight,393216,0.126844584941864,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.1.attn.c_attn.weight,442368,0.06622901558876038,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.1.attn.c_attn.weight,442368,0.06622901558876038,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,transformer.h.1.attn.c_attn.weight,442368,0.06622901558876038,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha0,0.0,transformer.h.1.attn.c_proj.weight,147456,0.06764816492795944,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,transformer.h.1.attn.c_proj.weight,147456,0.06764816492795944,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
