update,parameter_name,numel,q_relative_l2,q_cosine,momentum_trajectory_cosine,momentum_trajectory_relative_l2,gradient_cosine,gradient_relative_l2,direction_cosine,direction_relative_l2,k5_update_cosine,k5_update_relative_l2,local_one_step_k5_cosine,local_one_step_k5_relative_l2,state_only_k5_cosine,state_only_k5_relative_l2,state_only_k5_distortion,gradient_only_k5_cosine,gradient_only_k5_relative_l2,gradient_only_k5_distortion,local_one_step_k5_distortion,k5_update_distortion
1,transformer.h.0.attn.c_attn.weight,442368,0.07159694284200668,0.9974375367164612,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.0.attn.c_proj.weight,147456,0.06829351931810379,0.9976691603660583,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.0.mlp.c_proj.weight,393216,0.09140940010547638,0.9958316087722778,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.0.mlp.w1.weight,393216,0.12448067218065262,0.9922572374343872,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.0.mlp.w2.weight,393216,0.126844584941864,0.9919635057449341,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.1.attn.c_attn.weight,442368,0.06622901558876038,0.9978108406066895,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.1.attn.c_proj.weight,147456,0.06764816492795944,0.9977120757102966,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.1.mlp.c_proj.weight,393216,0.1039201095700264,0.9946069717407227,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.1.mlp.w1.weight,393216,0.12002240121364594,0.9928051829338074,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.1.mlp.w2.weight,393216,0.11535992473363876,0.9933462738990784,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.2.attn.c_attn.weight,442368,0.06690558046102524,0.9977619051933289,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.2.attn.c_proj.weight,147456,0.06688814610242844,0.9977630376815796,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.2.mlp.c_proj.weight,393216,0.10595105588436127,0.9943936467170715,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.2.mlp.w1.weight,393216,0.11207200586795807,0.9937266707420349,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.2.mlp.w2.weight,393216,0.11166662722826004,0.9937740564346313,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.3.attn.c_attn.weight,442368,0.0649590715765953,0.9978890419006348,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.3.attn.c_proj.weight,147456,0.0668722614645958,0.9977663159370422,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.3.mlp.c_proj.weight,393216,0.1066843792796135,0.9943162798881531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.3.mlp.w1.weight,393216,0.10785944014787674,0.9941914081573486,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.3.mlp.w2.weight,393216,0.11033729463815689,0.993925154209137,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.4.attn.c_attn.weight,442368,0.06040900945663452,0.9981751441955566,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.4.attn.c_proj.weight,147456,0.06069423258304596,0.9981588125228882,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.4.mlp.c_proj.weight,393216,0.09741654247045517,0.9952656030654907,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.4.mlp.w1.weight,393216,0.10554719716310501,0.9944409728050232,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.4.mlp.w2.weight,393216,0.10632463544607162,0.9943597912788391,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.5.attn.c_attn.weight,442368,0.057395435869693756,0.9983561038970947,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.5.attn.c_proj.weight,147456,0.055246274918317795,0.9984739422798157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.5.mlp.c_proj.weight,393216,0.09704641252756119,0.9952961206436157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.5.mlp.w1.weight,393216,0.10837244987487793,0.9941286444664001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,transformer.h.5.mlp.w2.weight,393216,0.10496173799037933,0.9944992661476135,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,transformer.h.0.attn.c_attn.weight,442368,0.03184371441602707,0.9994951486587524,0.9978867769241333,0.0650906041264534,0.9999991655349731,0.002620076294988394,0.9984731674194336,0.05534357577562332,0.7341669797897339,0.7841305732727051,0.9315746426582336,0.36730068922042847,0.7341552972793579,0.7841523289680481,0.2658447027206421,0.9999911785125732,0.004680663347244263,8.821487426757812e-06,0.06842535734176636,0.2658330202102661
8,transformer.h.0.attn.c_proj.weight,147456,0.030944539234042168,0.9995234608650208,0.9980269074440002,0.06282006949186325,0.9999991059303284,0.0022398352157324553,0.9985599517822266,0.05367445573210716,0.724825382232666,0.8072313666343689,0.9294981956481934,0.3723418712615967,0.7247961759567261,0.8072795867919922,0.2752038240432739,0.9999951124191284,0.003584418911486864,4.887580871582031e-06,0.07050180435180664,0.275174617767334
8,transformer.h.0.mlp.c_proj.weight,393216,0.03609766438603401,0.9993563890457153,0.9968075752258301,0.07996901869773865,1.0,0.0023934447672218084,0.9977142810821533,0.06772805005311966,0.8353577852249146,0.5746513605117798,0.960575520992279,0.280861496925354,0.8353517055511475,0.5746626853942871,0.16464829444885254,1.0,0.003210564609616995,0.0,0.03942447900772095,0.16464221477508545
8,transformer.h.0.mlp.w1.weight,393216,0.06236730143427849,0.9980656504631042,0.9901041984558105,0.14105625450611115,1.0,0.002378597855567932,0.99297696352005,0.1189451515674591,0.8478789329528809,0.545390784740448,0.965948760509491,0.2618675231933594,0.8478581309318542,0.54542475938797,0.15214186906814575,1.0,0.0022829773370176554,0.0,0.03405123949050903,0.15212106704711914
8,transformer.h.0.mlp.w2.weight,393216,0.06750844419002533,0.9977301359176636,0.9897609949111938,0.14340612292289734,1.0,0.0023820321075618267,0.9926932454109192,0.12124565988779068,0.8475318551063538,0.5460881590843201,0.9655425548553467,0.2635112702846527,0.847512423992157,0.5461201667785645,0.15248757600784302,1.0,0.002266323659569025,0.0,0.03445744514465332,0.15246814489364624
8,transformer.h.1.attn.c_attn.weight,442368,0.029765678569674492,0.9995608329772949,0.9981745481491089,0.060623761266469955,0.9999968409538269,0.0028214710764586926,0.9986402988433838,0.052317745983600616,0.6957933902740479,0.877196729183197,0.924494206905365,0.38463371992111206,0.6957746744155884,0.877227783203125,0.3042253255844116,0.999988317489624,0.005002318881452084,1.1682510375976562e-05,0.07550579309463501,0.30420660972595215
8,transformer.h.1.attn.c_proj.weight,147456,0.03061133250594139,0.9995320439338684,0.9980669021606445,0.06215858832001686,0.999998927116394,0.002321829553693533,0.9985888600349426,0.05314504727721214,0.6778725981712341,0.9103317856788635,0.9204164147377014,0.39472511410713196,0.6778357028961182,0.9103831648826599,0.32216429710388184,0.9999932050704956,0.004032401833683252,6.794929504394531e-06,0.07958358526229858,0.32212740182876587
