Kaggle preflight (physical GPU 0 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_int4_4096_s0.json",
  "fingerprint": "d9781e9a40120a433fa25f926216d6f8845066a0e65c515d8b2223cb3f04651e",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0"
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_int4_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 513/4096 | 4202496 tok | loss 5.7716 | lr 9.679e-04 | 1635.6 ms/update | 5009 tok/s
[train] 514/4096 | 4210688 tok | loss 5.9607 | lr 9.678e-04 | 1198.7 ms/update | 6834 tok/s
[train] 515/4096 | 4218880 tok | loss 5.9668 | lr 9.676e-04 | 1203.1 ms/update | 6809 tok/s
[train] 516/4096 | 4227072 tok | loss 6.1806 | lr 9.675e-04 | 1209.2 ms/update | 6775 tok/s
[train] 517/4096 | 4235264 tok | loss 5.9812 | lr 9.674e-04 | 1211.5 ms/update | 6762 tok/s
[train] 518/4096 | 4243456 tok | loss 6.0151 | lr 9.673e-04 | 1203.8 ms/update | 6805 tok/s
[train] 519/4096 | 4251648 tok | loss 6.1098 | lr 9.671e-04 | 1224.3 ms/update | 6691 tok/s
[train] 520/4096 | 4259840 tok | loss 5.8309 | lr 9.670e-04 | 1211.2 ms/update | 6763 tok/s
[train] 521/4096 | 4268032 tok | loss 5.9652 | lr 9.669e-04 | 1216.1 ms/update | 6736 tok/s
[train] 522/4096 | 4276224 tok | loss 6.2440 | lr 9.667e-04 | 1215.3 ms/update | 6741 tok/s
[train] 523/4096 | 4284416 tok | loss 5.9340 | lr 9.666e-04 | 1217.8 ms/update | 6727 tok/s
[train] 524/4096 | 4292608 tok | loss 5.9199 | lr 9.665e-04 | 1216.5 ms/update | 6734 tok/s
[train] 525/4096 | 4300800 tok | loss 6.0403 | lr 9.663e-04 | 1224.3 ms/update | 6691 tok/s
[train] 526/4096 | 4308992 tok | loss 5.7429 | lr 9.662e-04 | 1232.6 ms/update | 6646 tok/s
[train] 527/4096 | 4317184 tok | loss 6.1570 | lr 9.661e-04 | 1227.0 ms/update | 6677 tok/s
[train] 528/4096 | 4325376 tok | loss 5.9573 | lr 9.659e-04 | 1233.0 ms/update | 6644 tok/s
[train] 529/4096 | 4333568 tok | loss 5.8349 | lr 9.658e-04 | 1230.7 ms/update | 6656 tok/s
[train] 530/4096 | 4341760 tok | loss 5.7944 | lr 9.657e-04 | 1233.7 ms/update | 6640 tok/s
[train] 531/4096 | 4349952 tok | loss 5.4606 | lr 9.655e-04 | 1229.5 ms/update | 6663 tok/s
[train] 532/4096 | 4358144 tok | loss 5.9934 | lr 9.654e-04 | 1232.6 ms/update | 6646 tok/s
[train] 533/4096 | 4366336 tok | loss 6.0959 | lr 9.653e-04 | 1232.7 ms/update | 6646 tok/s
[train] 534/4096 | 4374528 tok | loss 5.8597 | lr 9.651e-04 | 1232.8 ms/update | 6645 tok/s
[train] 535/4096 | 4382720 tok | loss 5.9478 | lr 9.650e-04 | 1235.9 ms/update | 6628 tok/s
[train] 536/4096 | 4390912 tok | loss 6.2458 | lr 9.649e-04 | 1243.7 ms/update | 6587 tok/s
[train] 537/4096 | 4399104 tok | loss 5.8949 | lr 9.647e-04 | 1237.6 ms/update | 6619 tok/s
[train] 538/4096 | 4407296 tok | loss 6.0855 | lr 9.646e-04 | 1247.8 ms/update | 6565 tok/s
[train] 539/4096 | 4415488 tok | loss 6.0162 | lr 9.645e-04 | 1248.2 ms/update | 6563 tok/s
[train] 540/4096 | 4423680 tok | loss 5.6390 | lr 9.643e-04 | 1247.8 ms/update | 6565 tok/s
[train] 541/4096 | 4431872 tok | loss 6.1104 | lr 9.642e-04 | 1251.7 ms/update | 6545 tok/s
[train] 542/4096 | 4440064 tok | loss 5.7372 | lr 9.641e-04 | 1244.9 ms/update | 6580 tok/s
[train] 543/4096 | 4448256 tok | loss 5.7948 | lr 9.639e-04 | 1259.6 ms/update | 6504 tok/s
[train] 544/4096 | 4456448 tok | loss 5.9482 | lr 9.638e-04 | 1262.9 ms/update | 6486 tok/s
[train] 545/4096 | 4464640 tok | loss 5.9316 | lr 9.637e-04 | 1261.9 ms/update | 6492 tok/s
[train] 546/4096 | 4472832 tok | loss 6.0066 | lr 9.635e-04 | 1266.5 ms/update | 6468 tok/s
[train] 547/4096 | 4481024 tok | loss 6.2258 | lr 9.634e-04 | 1268.1 ms/update | 6460 tok/s
[train] 548/4096 | 4489216 tok | loss 5.9073 | lr 9.632e-04 | 1269.0 ms/update | 6455 tok/s
[train] 549/4096 | 4497408 tok | loss 5.4687 | lr 9.631e-04 | 1273.5 ms/update | 6433 tok/s
[train] 550/4096 | 4505600 tok | loss 6.0585 | lr 9.630e-04 | 1273.2 ms/update | 6434 tok/s
[train] 551/4096 | 4513792 tok | loss 5.8402 | lr 9.628e-04 | 1287.9 ms/update | 6361 tok/s
[train] 552/4096 | 4521984 tok | loss 5.9799 | lr 9.627e-04 | 1283.0 ms/update | 6385 tok/s
[train] 553/4096 | 4530176 tok | loss 6.0436 | lr 9.626e-04 | 1282.2 ms/update | 6389 tok/s
[train] 554/4096 | 4538368 tok | loss 6.0759 | lr 9.624e-04 | 1291.9 ms/update | 6341 tok/s
[train] 555/4096 | 4546560 tok | loss 5.6525 | lr 9.623e-04 | 1298.7 ms/update | 6308 tok/s
[train] 556/4096 | 4554752 tok | loss 5.8260 | lr 9.621e-04 | 1300.4 ms/update | 6300 tok/s
