Kaggle preflight (physical GPU 0 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_int4_4096_s0.json",
  "fingerprint": "d9781e9a40120a433fa25f926216d6f8845066a0e65c515d8b2223cb3f04651e",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0"
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_int4_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8634 | ppl 52230.97 | 65536 tokens
[train] 1/4096 | 8192 tok | loss 10.8941 | lr 5.000e-05 | 1459.1 ms/update | 5614 tok/s
[train] 2/4096 | 16384 tok | loss 10.8833 | lr 1.000e-04 | 1212.1 ms/update | 6759 tok/s
[train] 3/4096 | 24576 tok | loss 10.8878 | lr 1.500e-04 | 1187.9 ms/update | 6896 tok/s
[train] 4/4096 | 32768 tok | loss 10.8700 | lr 2.000e-04 | 1188.1 ms/update | 6895 tok/s
[train] 5/4096 | 40960 tok | loss 10.8209 | lr 2.500e-04 | 1212.1 ms/update | 6759 tok/s
[train] 6/4096 | 49152 tok | loss 10.8199 | lr 3.000e-04 | 1194.0 ms/update | 6861 tok/s
[train] 7/4096 | 57344 tok | loss 10.6640 | lr 3.500e-04 | 1199.1 ms/update | 6832 tok/s
[train] 8/4096 | 65536 tok | loss 10.5567 | lr 4.000e-04 | 1189.6 ms/update | 6886 tok/s
[train] 9/4096 | 73728 tok | loss 10.6420 | lr 4.500e-04 | 1190.0 ms/update | 6884 tok/s
[train] 10/4096 | 81920 tok | loss 10.5585 | lr 5.000e-04 | 1197.0 ms/update | 6844 tok/s
[train] 11/4096 | 90112 tok | loss 10.4121 | lr 5.500e-04 | 1200.3 ms/update | 6825 tok/s
[train] 12/4096 | 98304 tok | loss 10.4613 | lr 6.000e-04 | 1196.2 ms/update | 6848 tok/s
[train] 13/4096 | 106496 tok | loss 10.3047 | lr 6.500e-04 | 1199.4 ms/update | 6830 tok/s
[train] 14/4096 | 114688 tok | loss 10.0833 | lr 7.000e-04 | 1200.7 ms/update | 6823 tok/s
[train] 15/4096 | 122880 tok | loss 9.9305 | lr 7.500e-04 | 1197.8 ms/update | 6839 tok/s
[train] 16/4096 | 131072 tok | loss 9.8924 | lr 8.000e-04 | 1205.0 ms/update | 6798 tok/s
[train] 17/4096 | 139264 tok | loss 9.6183 | lr 8.500e-04 | 1209.5 ms/update | 6773 tok/s
[train] 18/4096 | 147456 tok | loss 9.4368 | lr 9.000e-04 | 1212.4 ms/update | 6757 tok/s
[train] 19/4096 | 155648 tok | loss 9.1885 | lr 9.500e-04 | 1208.4 ms/update | 6779 tok/s
[train] 20/4096 | 163840 tok | loss 9.1082 | lr 1.000e-03 | 1209.8 ms/update | 6771 tok/s
[train] 21/4096 | 172032 tok | loss 9.0664 | lr 1.000e-03 | 1204.8 ms/update | 6799 tok/s
[train] 22/4096 | 180224 tok | loss 8.8025 | lr 1.000e-03 | 1198.3 ms/update | 6836 tok/s
[train] 23/4096 | 188416 tok | loss 8.5893 | lr 1.000e-03 | 1203.9 ms/update | 6805 tok/s
[train] 24/4096 | 196608 tok | loss 8.4919 | lr 1.000e-03 | 1208.7 ms/update | 6777 tok/s
[train] 25/4096 | 204800 tok | loss 8.3267 | lr 1.000e-03 | 1211.0 ms/update | 6764 tok/s
[train] 26/4096 | 212992 tok | loss 8.0233 | lr 1.000e-03 | 1221.6 ms/update | 6706 tok/s
[train] 27/4096 | 221184 tok | loss 8.0935 | lr 1.000e-03 | 1212.1 ms/update | 6758 tok/s
[train] 28/4096 | 229376 tok | loss 7.9366 | lr 1.000e-03 | 1207.4 ms/update | 6785 tok/s
[train] 29/4096 | 237568 tok | loss 7.7773 | lr 1.000e-03 | 1212.7 ms/update | 6755 tok/s
[train] 30/4096 | 245760 tok | loss 8.1072 | lr 1.000e-03 | 1203.9 ms/update | 6805 tok/s
[train] 31/4096 | 253952 tok | loss 7.7622 | lr 1.000e-03 | 1213.6 ms/update | 6750 tok/s
[train] 32/4096 | 262144 tok | loss 7.8449 | lr 1.000e-03 | 1214.2 ms/update | 6747 tok/s
[train] 33/4096 | 270336 tok | loss 7.7416 | lr 1.000e-03 | 1213.8 ms/update | 6749 tok/s
[train] 34/4096 | 278528 tok | loss 8.0222 | lr 1.000e-03 | 1220.8 ms/update | 6710 tok/s
[train] 35/4096 | 286720 tok | loss 7.6477 | lr 1.000e-03 | 1219.7 ms/update | 6717 tok/s
[train] 36/4096 | 294912 tok | loss 7.8091 | lr 1.000e-03 | 1223.7 ms/update | 6695 tok/s
[train] 37/4096 | 303104 tok | loss 8.1645 | lr 1.000e-03 | 1218.5 ms/update | 6723 tok/s
[train] 38/4096 | 311296 tok | loss 7.7545 | lr 1.000e-03 | 1229.2 ms/update | 6664 tok/s
[train] 39/4096 | 319488 tok | loss 7.7814 | lr 1.000e-03 | 1228.3 ms/update | 6669 tok/s
[train] 40/4096 | 327680 tok | loss 7.7177 | lr 9.999e-04 | 1228.2 ms/update | 6670 tok/s
[train] 41/4096 | 335872 tok | loss 8.0477 | lr 9.999e-04 | 1226.5 ms/update | 6679 tok/s
[train] 42/4096 | 344064 tok | loss 7.6590 | lr 9.999e-04 | 1229.2 ms/update | 6664 tok/s
[train] 43/4096 | 352256 tok | loss 7.9488 | lr 9.999e-04 | 1239.4 ms/update | 6610 tok/s
[train] 44/4096 | 360448 tok | loss 7.9063 | lr 9.999e-04 | 1239.2 ms/update | 6611 tok/s
[train] 45/4096 | 368640 tok | loss 7.8411 | lr 9.999e-04 | 1246.9 ms/update | 6570 tok/s
[train] 46/4096 | 376832 tok | loss 7.7192 | lr 9.999e-04 | 1236.7 ms/update | 6624 tok/s
[train] 47/4096 | 385024 tok | loss 7.6073 | lr 9.999e-04 | 1249.1 ms/update | 6558 tok/s
[train] 48/4096 | 393216 tok | loss 7.6710 | lr 9.999e-04 | 1247.2 ms/update | 6568 tok/s
[train] 49/4096 | 401408 tok | loss 7.4495 | lr 9.999e-04 | 1251.7 ms/update | 6545 tok/s
[train] 50/4096 | 409600 tok | loss 7.7050 | lr 9.999e-04 | 1252.9 ms/update | 6538 tok/s
[train] 51/4096 | 417792 tok | loss 7.5685 | lr 9.999e-04 | 1253.4 ms/update | 6536 tok/s
