Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s0.json",
  "fingerprint": "e8d7be69184fface68ea87dafdafb4663a4fc62ab66aec7c15aae81c94377bc2",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8634 | ppl 52230.97 | 65536 tokens
[train] 1/4096 | 8192 tok | loss 10.8941 | lr 5.000e-05 | 1611.8 ms/update | 5083 tok/s
[train] 2/4096 | 16384 tok | loss 10.8833 | lr 1.000e-04 | 1248.9 ms/update | 6559 tok/s
[train] 3/4096 | 24576 tok | loss 10.8878 | lr 1.500e-04 | 1210.8 ms/update | 6766 tok/s
[train] 4/4096 | 32768 tok | loss 10.8700 | lr 2.000e-04 | 1228.6 ms/update | 6668 tok/s
[train] 5/4096 | 40960 tok | loss 10.8210 | lr 2.500e-04 | 1225.5 ms/update | 6685 tok/s
[train] 6/4096 | 49152 tok | loss 10.8200 | lr 3.000e-04 | 1221.2 ms/update | 6708 tok/s
[train] 7/4096 | 57344 tok | loss 10.6641 | lr 3.500e-04 | 1227.4 ms/update | 6674 tok/s
[train] 8/4096 | 65536 tok | loss 10.5568 | lr 4.000e-04 | 1228.2 ms/update | 6670 tok/s
[train] 9/4096 | 73728 tok | loss 10.6420 | lr 4.500e-04 | 1242.7 ms/update | 6592 tok/s
[train] 10/4096 | 81920 tok | loss 10.5586 | lr 5.000e-04 | 1232.4 ms/update | 6647 tok/s
[train] 11/4096 | 90112 tok | loss 10.4119 | lr 5.500e-04 | 1230.3 ms/update | 6659 tok/s
[train] 12/4096 | 98304 tok | loss 10.4605 | lr 6.000e-04 | 1229.0 ms/update | 6666 tok/s
[train] 13/4096 | 106496 tok | loss 10.3037 | lr 6.500e-04 | 1237.8 ms/update | 6618 tok/s
[train] 14/4096 | 114688 tok | loss 10.0817 | lr 7.000e-04 | 1223.5 ms/update | 6696 tok/s
[train] 15/4096 | 122880 tok | loss 9.9281 | lr 7.500e-04 | 1231.0 ms/update | 6655 tok/s
[train] 16/4096 | 131072 tok | loss 9.8894 | lr 8.000e-04 | 1226.9 ms/update | 6677 tok/s
[train] 17/4096 | 139264 tok | loss 9.6155 | lr 8.500e-04 | 1234.6 ms/update | 6635 tok/s
[train] 18/4096 | 147456 tok | loss 9.4327 | lr 9.000e-04 | 1239.0 ms/update | 6612 tok/s
[train] 19/4096 | 155648 tok | loss 9.1834 | lr 9.500e-04 | 1233.5 ms/update | 6641 tok/s
[train] 20/4096 | 163840 tok | loss 9.1030 | lr 1.000e-03 | 1232.4 ms/update | 6647 tok/s
[train] 21/4096 | 172032 tok | loss 9.0597 | lr 1.000e-03 | 1224.0 ms/update | 6693 tok/s
[train] 22/4096 | 180224 tok | loss 8.7957 | lr 1.000e-03 | 1240.6 ms/update | 6603 tok/s
[train] 23/4096 | 188416 tok | loss 8.5828 | lr 1.000e-03 | 1234.4 ms/update | 6636 tok/s
[train] 24/4096 | 196608 tok | loss 8.4848 | lr 1.000e-03 | 1241.2 ms/update | 6600 tok/s
[train] 25/4096 | 204800 tok | loss 8.3199 | lr 1.000e-03 | 1236.6 ms/update | 6625 tok/s
[train] 26/4096 | 212992 tok | loss 8.0157 | lr 1.000e-03 | 1242.6 ms/update | 6592 tok/s
[train] 27/4096 | 221184 tok | loss 8.0870 | lr 1.000e-03 | 1240.2 ms/update | 6605 tok/s
[train] 28/4096 | 229376 tok | loss 7.9312 | lr 1.000e-03 | 1240.6 ms/update | 6603 tok/s
[train] 29/4096 | 237568 tok | loss 7.7713 | lr 1.000e-03 | 1242.4 ms/update | 6594 tok/s
[train] 30/4096 | 245760 tok | loss 8.1051 | lr 1.000e-03 | 1249.7 ms/update | 6555 tok/s
[train] 31/4096 | 253952 tok | loss 7.7593 | lr 1.000e-03 | 1247.5 ms/update | 6566 tok/s
[train] 32/4096 | 262144 tok | loss 7.8430 | lr 1.000e-03 | 1247.6 ms/update | 6566 tok/s
[train] 33/4096 | 270336 tok | loss 7.7393 | lr 1.000e-03 | 1238.9 ms/update | 6612 tok/s
[train] 34/4096 | 278528 tok | loss 8.0195 | lr 1.000e-03 | 1250.2 ms/update | 6552 tok/s
[train] 35/4096 | 286720 tok | loss 7.6418 | lr 1.000e-03 | 1245.6 ms/update | 6577 tok/s
