Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s0.json",
  "fingerprint": "e8d7be69184fface68ea87dafdafb4663a4fc62ab66aec7c15aae81c94377bc2",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 2049/4096 | 16785408 tok | loss 4.9414 | lr 5.531e-04 | 1817.1 ms/update | 4508 tok/s
[train] 2050/4096 | 16793600 tok | loss 5.3265 | lr 5.528e-04 | 1217.4 ms/update | 6729 tok/s
[train] 2051/4096 | 16801792 tok | loss 5.3033 | lr 5.524e-04 | 1217.3 ms/update | 6729 tok/s
[train] 2052/4096 | 16809984 tok | loss 5.3071 | lr 5.521e-04 | 1225.3 ms/update | 6685 tok/s
[train] 2053/4096 | 16818176 tok | loss 5.1495 | lr 5.517e-04 | 1239.0 ms/update | 6612 tok/s
[train] 2054/4096 | 16826368 tok | loss 5.1479 | lr 5.514e-04 | 1224.0 ms/update | 6693 tok/s
[train] 2055/4096 | 16834560 tok | loss 5.3056 | lr 5.510e-04 | 1228.4 ms/update | 6669 tok/s
[train] 2056/4096 | 16842752 tok | loss 4.8587 | lr 5.507e-04 | 1229.2 ms/update | 6665 tok/s
[train] 2057/4096 | 16850944 tok | loss 5.3601 | lr 5.503e-04 | 1230.3 ms/update | 6658 tok/s
[train] 2058/4096 | 16859136 tok | loss 5.1107 | lr 5.500e-04 | 1234.3 ms/update | 6637 tok/s
[train] 2059/4096 | 16867328 tok | loss 5.1763 | lr 5.497e-04 | 1231.3 ms/update | 6653 tok/s
[train] 2060/4096 | 16875520 tok | loss 4.7367 | lr 5.493e-04 | 1226.3 ms/update | 6680 tok/s
[train] 2061/4096 | 16883712 tok | loss 4.5505 | lr 5.490e-04 | 1237.1 ms/update | 6622 tok/s
[train] 2062/4096 | 16891904 tok | loss 5.3775 | lr 5.486e-04 | 1235.4 ms/update | 6631 tok/s
[train] 2063/4096 | 16900096 tok | loss 5.2520 | lr 5.483e-04 | 1232.0 ms/update | 6650 tok/s
[train] 2064/4096 | 16908288 tok | loss 5.1492 | lr 5.479e-04 | 1235.6 ms/update | 6630 tok/s
[train] 2065/4096 | 16916480 tok | loss 5.2490 | lr 5.476e-04 | 1233.2 ms/update | 6643 tok/s
[train] 2066/4096 | 16924672 tok | loss 5.3223 | lr 5.472e-04 | 1233.7 ms/update | 6640 tok/s
[train] 2067/4096 | 16932864 tok | loss 5.1831 | lr 5.469e-04 | 1239.7 ms/update | 6608 tok/s
