Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s1.json",
  "fingerprint": "c2b89e71ac438904e6cb8cf51605ea3308055a089c3db14072a05bd354e7fab1",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s1 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8639 | ppl 52255.50 | 65536 tokens
[train] 1/4096 | 8192 tok | loss 10.8866 | lr 5.000e-05 | 1799.2 ms/update | 4553 tok/s
[train] 2/4096 | 16384 tok | loss 10.8524 | lr 1.000e-04 | 1282.4 ms/update | 6388 tok/s
[train] 3/4096 | 24576 tok | loss 10.8646 | lr 1.500e-04 | 1254.6 ms/update | 6530 tok/s
[train] 4/4096 | 32768 tok | loss 10.8523 | lr 2.000e-04 | 1257.1 ms/update | 6517 tok/s
[train] 5/4096 | 40960 tok | loss 10.7866 | lr 2.500e-04 | 1253.4 ms/update | 6536 tok/s
[train] 6/4096 | 49152 tok | loss 10.7679 | lr 3.000e-04 | 1246.9 ms/update | 6570 tok/s
[train] 7/4096 | 57344 tok | loss 10.6275 | lr 3.500e-04 | 1247.6 ms/update | 6566 tok/s
[train] 8/4096 | 65536 tok | loss 10.5461 | lr 4.000e-04 | 1241.4 ms/update | 6599 tok/s
[train] 9/4096 | 73728 tok | loss 10.6105 | lr 4.500e-04 | 1228.0 ms/update | 6671 tok/s
[train] 10/4096 | 81920 tok | loss 10.4824 | lr 5.000e-04 | 1240.6 ms/update | 6603 tok/s
[train] 11/4096 | 90112 tok | loss 10.3682 | lr 5.500e-04 | 1243.4 ms/update | 6589 tok/s
[train] 12/4096 | 98304 tok | loss 10.3612 | lr 6.000e-04 | 1240.2 ms/update | 6605 tok/s
[train] 13/4096 | 106496 tok | loss 10.2199 | lr 6.500e-04 | 1252.3 ms/update | 6542 tok/s
[train] 14/4096 | 114688 tok | loss 9.9953 | lr 7.000e-04 | 1245.3 ms/update | 6578 tok/s
