seed,update,parameter_id,shape,error_norm,energy_r1,energy_r2,energy_r4,energy_r8
1,128,0,"(1152, 384)",0.15189839899539948,0.24850492179393768,0.3583182394504547,0.4344501197338104,0.5279373526573181
1,128,1,"(384, 384)",0.46293821930885315,0.21625502407550812,0.3104358911514282,0.3966728746891022,0.4906088411808014
1,128,2,"(1024, 384)",0.12152616679668427,0.11078061163425446,0.15688620507717133,0.21958795189857483,0.2979494035243988
1,128,3,"(1024, 384)",0.11841064691543579,0.11069221794605255,0.16278281807899475,0.22270376980304718,0.3022160530090332
1,128,4,"(384, 1024)",0.43763384222984314,0.10682269185781479,0.14241759479045868,0.20823416113853455,0.30489078164100647
1,128,5,"(1152, 384)",0.1377263367176056,0.24290697276592255,0.33265942335128784,0.4374943673610687,0.535512387752533
1,128,6,"(384, 384)",0.4272299110889435,0.26207518577575684,0.3255976438522339,0.4236902892589569,0.5259302854537964
1,128,7,"(1024, 384)",0.09244425594806671,0.12569580972194672,0.17437951266765594,0.2555430829524994,0.3459692895412445
1,128,8,"(1024, 384)",0.09212745726108551,0.1273358166217804,0.17572921514511108,0.2450159788131714,0.3446204662322998
1,128,9,"(384, 1024)",0.33606478571891785,0.07725585252046585,0.125240758061409,0.20033909380435944,0.30264946818351746
1,128,10,"(1152, 384)",0.12200146913528442,0.30805179476737976,0.3854268193244934,0.47934168577194214,0.5824475288391113
1,128,11,"(384, 384)",0.36585068702697754,0.2622276246547699,0.3369511365890503,0.4484366476535797,0.5539518594741821
1,128,12,"(1024, 384)",0.07908908277750015,0.1536891758441925,0.2055308222770691,0.2818063497543335,0.3819529414176941
1,128,13,"(1024, 384)",0.07727325707674026,0.1582731306552887,0.20709143579006195,0.2800149619579315,0.37696215510368347
1,128,14,"(384, 1024)",0.2790820300579071,0.08396373689174652,0.12959524989128113,0.2083597332239151,0.3171458840370178
1,128,15,"(1152, 384)",0.10688825696706772,0.3319209814071655,0.41175514459609985,0.5126309394836426,0.6092502474784851
1,128,16,"(384, 384)",0.3086346685886383,0.2373812347650528,0.3455519676208496,0.4452962279319763,0.5476158857345581
1,128,17,"(1024, 384)",0.06722106039524078,0.14815376698970795,0.19761712849140167,0.2768864035606384,0.38024428486824036
1,128,18,"(1024, 384)",0.0663871318101883,0.16093702614307404,0.21011757850646973,0.29672563076019287,0.39732906222343445
1,128,19,"(384, 1024)",0.2314300835132599,0.07546471059322357,0.13457971811294556,0.21583841741085052,0.32057473063468933
1,128,20,"(1152, 384)",0.09527544677257538,0.35092228651046753,0.4494185447692871,0.5566316843032837,0.6394349336624146
1,128,21,"(384, 384)",0.26847079396247864,0.22947674989700317,0.3517349362373352,0.4632541537284851,0.5554265975952148
1,128,22,"(1024, 384)",0.061350852251052856,0.15190598368644714,0.21829791367053986,0.2996792793273926,0.39446067810058594
1,128,23,"(1024, 384)",0.06051212549209595,0.15065929293632507,0.21424303948879242,0.30588066577911377,0.40730252861976624
1,128,24,"(384, 1024)",0.20810116827487946,0.09459146857261658,0.14675989747047424,0.21943554282188416,0.3219263255596161
1,128,25,"(1152, 384)",0.0860431119799614,0.3597598075866699,0.45906367897987366,0.568215548992157,0.6506299376487732
1,128,26,"(384, 384)",0.24421338737010956,0.2992386817932129,0.4075891673564911,0.5107967257499695,0.5912150740623474
1,128,27,"(1024, 384)",0.05421020835638046,0.1473180502653122,0.2187921553850174,0.2940850853919983,0.3920755684375763
1,128,28,"(1024, 384)",0.05257652327418327,0.157161146402359,0.22036296129226685,0.2943704426288605,0.3924967348575592
1,128,29,"(384, 1024)",0.17991308867931366,0.10889655351638794,0.15242727100849152,0.22555683553218842,0.32783377170562744
1,512,0,"(1152, 384)",0.23989874124526978,0.2821170389652252,0.4644283354282379,0.5676606893539429,0.6743826866149902
1,512,1,"(384, 384)",0.6183052062988281,0.2502172291278839,0.38042381405830383,0.4924295246601105,0.6074746251106262
1,512,2,"(1024, 384)",0.2076607346534729,0.2734944820404053,0.3181360960006714,0.37602734565734863,0.43335920572280884
1,512,3,"(1024, 384)",0.19887691736221313,0.2442517727613449,0.2911869287490845,0.3539343774318695,0.4156274199485779
1,512,4,"(384, 1024)",0.6681106686592102,0.19908744096755981,0.23529186844825745,0.2859853208065033,0.350812703371048
1,512,5,"(1152, 384)",0.2303236722946167,0.3246020972728729,0.44425588846206665,0.5579609274864197,0.6712355017662048
1,512,6,"(384, 384)",0.54381263256073,0.2923942804336548,0.3704172670841217,0.4684741795063019,0.5808140635490417
1,512,7,"(1024, 384)",0.15522384643554688,0.13683229684829712,0.21908962726593018,0.2835470139980316,0.3581511080265045
1,512,8,"(1024, 384)",0.15544793009757996,0.14121265709400177,0.218588188290596,0.28690457344055176,0.366890013217926
1,512,9,"(384, 1024)",0.4833647310733795,0.08998483419418335,0.1397736370563507,0.19206862151622772,0.27172160148620605
1,512,10,"(1152, 384)",0.1981317698955536,0.35720208287239075,0.46582818031311035,0.5696238875389099,0.6697661280632019
1,512,11,"(384, 384)",0.45428383350372314,0.28598934412002563,0.3577688932418823,0.45327794551849365,0.5642307996749878
1,512,12,"(1024, 384)",0.13148534297943115,0.1517547070980072,0.2020852118730545,0.276039719581604,0.3558703660964966
