objective,target_bits,parameter_id,rank,increment_bytes,gain,gain_per_byte
frobenius,0.1,11,1,1536,0.04206024665848496,2.7382973084951145e-05
frobenius,0.1,6,1,1536,0.02587256093129986,1.6844115189648347e-05
frobenius,0.1,10,1,3072,0.0285386708382962,9.289931913507877e-06
frobenius,0.1,1,1,1536,0.014094604817955547,9.176175011689809e-06
frobenius,0.1,11,2,1536,0.011305341540725489,7.360248398909823e-06
frobenius,0.1,4,1,2816,0.01842552183431756,6.543154060482088e-06
frobenius,0.1,29,1,2816,0.015745617934658118,5.591483641568934e-06
frobenius,0.1,16,1,1536,0.0076847298677391596,5.003079340976015e-06
frobenius,0.1,1,2,1536,0.007347762518490009,4.7836995563086e-06
frobenius,0.1,6,2,1536,0.004811506933957599,3.1324914934619786e-06
frobenius,0.1,1,4,3072,0.009356047878647633,3.045588502163943e-06
frobenius,0.1,15,1,3072,0.007537793218899247,2.453708730110432e-06
frobenius,0.1,9,1,2816,0.006704869275923286,2.38099050991594e-06
frobenius,0.1,21,1,1536,0.003722679317958222,2.4236193476290507e-06
frobenius,0.1,21,2,1536,0.004809962877528329,3.131486248390839e-06
frobenius,0.1,20,1,3072,0.007451304898454025,2.425554979965503e-06
frobenius,0.1,5,1,3072,0.006325846012684155,2.05919466558729e-06
frobenius,0.1,4,2,2816,0.005670875480349724,2.0138052131923737e-06
frobenius,0.1,9,2,2816,0.005196770362380421,1.8454440207316835e-06
frobenius,0.1,24,1,2816,0.003944099185705152,1.4006034040146137e-06
frobenius,0.1,16,2,1536,0.0019401384658992438,1.2631109804031534e-06
frobenius,0.1,2,1,2816,0.003401609625324875,1.207957963538663e-06
frobenius,0.1,3,1,2816,0.003379520062875563,1.2001136586916062e-06
frobenius,0.1,7,1,2816,0.0031066569543157785,1.1032162479814554e-06
frobenius,0.1,6,4,3072,0.003352910836831091,1.0914423296976207e-06
frobenius,0.1,0,1,3072,0.0032749162509050356,1.0660534670914829e-06
frobenius,0.1,8,1,2816,0.002962590501147666,1.0520562859189155e-06
frobenius,0.1,11,4,3072,0.003136868490281164,1.0211160450133998e-06
frobenius,0.1,4,4,5632,0.005324529776164821,9.454065653701742e-07
frobenius,0.1,29,2,2816,0.0025827781073972655,9.171797256382335e-07
frobenius,0.1,1,8,6144,0.005563099444303665,9.054523835129663e-07
frobenius,0.1,0,2,3072,0.002651677342006664,8.631762181011277e-07
frobenius,0.1,14,1,2816,0.002157948600327142,7.663169745479907e-07
frobenius,0.1,9,4,5632,0.003994818116435428,7.093071939693587e-07
frobenius,0.1,11,8,6144,0.003794478454479,6.175908942836914e-07
frobenius,0.1,24,2,2816,0.0016656307846877327,5.914882047896779e-07
frobenius,0.1,4,8,11264,0.006090731359423729,5.407254402897486e-07
frobenius,0.1,10,2,3072,0.0016017036488227276,5.21387906517815e-07
frobenius,0.1,6,8,6144,0.002994477390125483,4.873823877157361e-07
frobenius,0.1,16,4,3072,0.0014627077652483722,4.7614185066678784e-07
frobenius,0.1,19,1,2816,0.0012993443877222788,4.61414910412741e-07
frobenius,0.1,13,1,2816,0.0012838430799076983,4.559101846263133e-07
k5_aware,0.1,21,1,1536,6.906567722911316e-05,4.496463361270388e-08
k5_aware,0.1,20,1,3072,0.00012302790916202122,4.004814751367878e-08
k5_aware,0.1,1,1,1536,6.0759175221025696e-05,3.9556754701188607e-08
k5_aware,0.1,1,2,1536,7.255190047802951e-05,4.723431020705046e-08
k5_aware,0.1,1,4,3072,0.00013957747593340564,4.543537628040548e-08
k5_aware,0.1,1,8,6144,0.0002419703632277892,3.9383197139939646e-08
k5_aware,0.1,1,16,12288,0.0005206499617345095,4.237060235469641e-08
k5_aware,0.1,1,32,24576,0.0011579666483836626,4.71177835442571e-08
k5_aware,0.1,5,1,3072,0.0001186361430110805,3.8618536136419435e-08
k5_aware,0.1,5,2,3072,0.00011982168260302184,3.900445397233784e-08
k5_aware,0.1,26,1,1536,5.560525284661888e-05,3.6201336488684167e-08
k5_aware,0.1,26,2,1536,6.890086750521718e-05,4.485733561537577e-08
k5_aware,0.1,26,4,3072,0.00013335190008040287,4.3408821640756146e-08
k5_aware,0.1,26,8,6144,0.00025256722585825786,4.1107946917034155e-08
k5_aware,0.1,26,16,12288,0.0004907033141955952,3.993353793909466e-08
k5_aware,0.1,26,32,24576,0.0010247014870063964,4.16952102460285e-08
k5_aware,0.1,9,1,2816,9.921524504319379e-05,3.5232686449997795e-08
k5_aware,0.1,21,2,1536,5.267657529789416e-05,3.4294645376233175e-08
k5_aware,0.1,21,4,3072,0.00013223933545691846,4.304665867738231e-08
k5_aware,0.1,21,8,6144,0.00024716554871254126,4.022876769409851e-08
k5_aware,0.1,9,2,2816,8.730044755561606e-05,3.100157938764775e-08
k5_aware,0.1,14,1,2816,8.657218922819565e-05,3.0742964924785385e-08
k5_aware,0.1,6,1,1536,4.111156189878784e-05,2.6765339777856667e-08
k5_aware,0.1,6,2,1536,6.124494252907065e-05,3.987300945903037e-08
frobenius,0.25,11,1,1536,0.04206024665848496,2.7382973084951145e-05
frobenius,0.25,6,1,1536,0.02587256093129986,1.6844115189648347e-05
frobenius,0.25,10,1,3072,0.0285386708382962,9.289931913507877e-06
frobenius,0.25,1,1,1536,0.014094604817955547,9.176175011689809e-06
frobenius,0.25,11,2,1536,0.011305341540725489,7.360248398909823e-06
frobenius,0.25,4,1,2816,0.01842552183431756,6.543154060482088e-06
frobenius,0.25,29,1,2816,0.015745617934658118,5.591483641568934e-06
frobenius,0.25,16,1,1536,0.0076847298677391596,5.003079340976015e-06
frobenius,0.25,1,2,1536,0.007347762518490009,4.7836995563086e-06
frobenius,0.25,6,2,1536,0.004811506933957599,3.1324914934619786e-06
frobenius,0.25,1,4,3072,0.009356047878647633,3.045588502163943e-06
frobenius,0.25,15,1,3072,0.007537793218899247,2.453708730110432e-06
frobenius,0.25,9,1,2816,0.006704869275923286,2.38099050991594e-06
frobenius,0.25,21,1,1536,0.003722679317958222,2.4236193476290507e-06
frobenius,0.25,21,2,1536,0.004809962877528329,3.131486248390839e-06
frobenius,0.25,20,1,3072,0.007451304898454025,2.425554979965503e-06
frobenius,0.25,5,1,3072,0.006325846012684155,2.05919466558729e-06
frobenius,0.25,4,2,2816,0.005670875480349724,2.0138052131923737e-06
frobenius,0.25,9,2,2816,0.005196770362380421,1.8454440207316835e-06
frobenius,0.25,24,1,2816,0.003944099185705152,1.4006034040146137e-06
