parameter_id,shape,rank,bytes,frobenius_gain,k5_cosine_gain,frobenius_gain_per_byte,k5_gain_per_byte,error_energy
0,"(1152, 384)",1,3072,0.038641177117824554,0.001964618938676388,1.257850817637518e-05,6.395243941003867e-07,0.03864140436053276
0,"(1152, 384)",2,6144,0.0649990439414978,0.0037159595679555624,1.0579271474853158e-05,6.04811127596934e-07,0.06499941647052765
0,"(1152, 384)",4,12288,0.08237522281706333,0.008776428862353913,6.703712794357368e-06,7.142276092410411e-07,0.08237568289041519
0,"(1152, 384)",8,24576,0.08997642248868942,0.01738584808813612,3.661150003608782e-06,7.074319697321012e-07,0.08997692912817001
0,"(1152, 384)",16,49152,0.0951509103178978,0.03548142518979777,1.93585022619421e-06,7.21871443477331e-07,0.09515144675970078
0,"(1152, 384)",32,98304,0.10012881457805634,0.07659257950420617,1.018562973816491e-06,7.791400096049619e-07,0.1001293808221817
1,"(384, 384)",1,1536,0.22541627287864685,0.001892046782827339,0.00014675538598870239,1.2318012909032156e-06,0.2254175990819931
1,"(384, 384)",2,3072,0.33076152205467224,0.004183435833921917,0.00010766976629383862,1.3617955188547906e-06,0.33076345920562744
1,"(384, 384)",4,6144,0.4395934045314789,0.00864934829676503,7.154840568546206e-05,1.4077715326766e-06,0.439596027135849
1,"(384, 384)",8,12288,0.4963711276650429,0.016451001107887053,4.0394785780032784e-05,1.338785897451746e-06,0.4963740408420563
1,"(384, 384)",16,24576,0.5302445963025093,0.03311796503444464,2.157570785736122e-05,1.347573447039577e-06,0.5302477478981018
1,"(384, 384)",32,49152,0.5606014579534531,0.07035394755165653,1.1405465860055605e-05,1.4313547272065536e-06,0.5606047511100769
2,"(1024, 384)",1,2816,0.032788731157779694,0.0021283760153453235,1.1643725553188812e-05,7.558153463584245e-07,0.03278890997171402
2,"(1024, 384)",2,5632,0.04373195767402649,0.004346607220589771,7.76490725746209e-06,7.71769747974036e-07,0.04373219609260559
2,"(1024, 384)",4,11264,0.051092684268951416,0.008474258833555737,4.5359272255816245e-06,7.523312174676613e-07,0.051092956215143204
2,"(1024, 384)",8,22528,0.05667654424905777,0.01495478080797552,2.5158267156009306e-06,6.638308242176633e-07,0.05667685717344284
2,"(1024, 384)",16,45056,0.06323396787047386,0.02930130338089232,1.4034527670115826e-06,6.503307746114239e-07,0.06323432177305222
2,"(1024, 384)",32,90112,0.07117163389921188,0.07050791255140137,7.898130537465807e-07,7.824475380792943e-07,0.07117202877998352
3,"(1024, 384)",1,2816,0.03398773819208145,0.0017482491419244517,1.2069509301165288e-05,6.20827110058399e-07,0.03398796170949936
3,"(1024, 384)",2,5632,0.046671487390995026,0.004025183048501968,8.286840800957924e-06,7.146986946914005e-07,0.0466717854142189
3,"(1024, 384)",4,11264,0.05354922264814377,0.007974400459104747,4.754014794757082e-06,7.079545862131345e-07,0.05354956164956093
3,"(1024, 384)",8,22528,0.058965280652046204,0.014853452298955183,2.6174219039438125e-06,6.593329323044737e-07,0.05896564573049545
3,"(1024, 384)",16,45056,0.06501998752355576,0.029091468880569404,1.4430927628630095e-06,6.456735813336605e-07,0.06502038985490799
3,"(1024, 384)",32,90112,0.0726061463356018,0.07010340519621683,8.057322702370584e-07,7.779585981469374e-07,0.07260659337043762
4,"(384, 1024)",1,2816,0.2880861163139343,0.0013164619462193716,0.00010230330835011873,4.6749358885631093e-07,0.28808778524398804
4,"(384, 1024)",2,5632,0.3625389337539673,0.004069124135347546,6.437125954438339e-05,7.225007342591524e-07,0.3625410795211792
4,"(384, 1024)",4,11264,0.42836469411849976,0.008830791644871605,3.802953605455431e-05,7.839836332449933e-07,0.4283671975135803
4,"(384, 1024)",8,22528,0.49362078309059143,0.017467554853359768,2.1911433908495713e-05,7.75370865294734e-07,0.49362364411354065
4,"(384, 1024)",16,45056,0.5581074059009552,0.03320753896354911,1.2386971899435263e-05,7.370281197520665e-07,0.5581105947494507
4,"(384, 1024)",32,90112,0.6327688992023468,0.07004112343358415,7.02202702417377e-06,7.772674386716991e-07,0.6327725052833557
5,"(1152, 384)",1,3072,0.08173695206642151,0.0037398671438134967,2.6607080750788253e-05,1.2174046692101227e-06,0.08173741400241852
5,"(1152, 384)",2,6144,0.09328232705593109,0.007406780797718282,1.5182670419259617e-05,1.2055307287952932e-06,0.09328286349773407
5,"(1152, 384)",4,12288,0.1023048684000969,0.011974189233038293,8.325591503914135e-06,9.744620144074131e-07,0.10230546444654465
5,"(1152, 384)",8,24576,0.11055486276745796,0.02116010789588489,4.4984888821394025e-06,8.61006994461462e-07,0.1105554923415184
5,"(1152, 384)",16,49152,0.11729585565626621,0.039094216674892504,2.386390292485885e-06,7.953738744078065e-07,0.11729652434587479
5,"(1152, 384)",32,98304,0.1235445998609066,0.08108656713028121,1.2567606593923604e-06,8.24855215762138e-07,0.12354529649019241
6,"(384, 384)",1,1536,0.3270716816186905,0.001440982101332644,0.00021293729272050163,9.381393888884402e-07,0.3270735740661621
6,"(384, 384)",2,3072,0.38883280754089355,0.003433982568076338,0.00012657317953805128,1.1178328672123497e-06,0.38883504271507263
6,"(384, 384)",4,6144,0.4200420081615448,0.00699043113827405,6.836621226587643e-05,1.1377654847451254e-06,0.4200443923473358
6,"(384, 384)",8,12288,0.44970861077308655,0.015973844227649664,3.6597380434007697e-05,1.2999547711303437e-06,0.4497111439704895
6,"(384, 384)",16,24576,0.4784088581800461,0.03397157122600333,1.9466506273602135e-05,1.3823067718914117e-06,0.47841158509254456
6,"(384, 384)",32,49152,0.5052435621619225,0.0758893464939989,1.0279206586953174e-05,1.5439727069905373e-06,0.5052464604377747
7,"(1024, 384)",1,2816,0.03025899827480316,0.0018393249447202775,1.074538291008635e-05,6.531693695739622e-07,0.030259162187576294
7,"(1024, 384)",2,5632,0.04130341112613678,0.004326504765026606,7.3337022596123544e-06,7.682004199265991e-07,0.041303642094135284
7,"(1024, 384)",4,11264,0.046106331050395966,0.009023838850083565,4.093246719672937e-06,8.011220570031574e-07,0.046106595546007156
7,"(1024, 384)",8,22528,0.052064552903175354,0.0174608041220482,2.3111040883866902e-06,7.750712057017135e-07,0.05206484720110893
7,"(1024, 384)",16,45056,0.05776773765683174,0.03119038496964499,1.2821319614886306e-06,6.922581891345213e-07,0.05776806175708771
7,"(1024, 384)",32,90112,0.06443680822849274,0.07179571409729263,7.150746651776981e-07,7.967386596379242e-07,0.06443717330694199
8,"(1024, 384)",1,2816,0.029685191810131073,0.0015623032403168646,1.0541616409847682e-05,5.547951847716138e-07,0.029685337096452713
8,"(1024, 384)",2,5632,0.03948946297168732,0.0038538341348084426,7.011623396961526e-06,6.842745267770673e-07,0.03948967158794403
8,"(1024, 384)",4,11264,0.04395511373877525,0.008321788960059084,3.902265069138428e-06,7.387951846643363e-07,0.04395534470677376
8,"(1024, 384)",8,22528,0.04994931444525719,0.01697536218275625,2.2172103358157487e-06,7.535228241635408e-07,0.04994957149028778
8,"(1024, 384)",16,45056,0.05529316887259483,0.0317611288727121,1.2272098915259861e-06,7.049256230626797e-07,0.05529346317052841
8,"(1024, 384)",32,90112,0.06152823567390442,0.0751596544570673,6.827973596624691e-07,8.340693188151111e-07,0.06152856722474098
9,"(384, 1024)",1,2816,0.12438744306564331,0.0023914358257378088,4.417167722501538e-05,8.492314722080287e-07,0.12438799440860748
9,"(384, 1024)",2,5632,0.19142889976501465,0.0049084645246757486,3.39895063503222e-05,8.715313431597565e-07,0.19142991304397583
9,"(384, 1024)",4,11264,0.2324593961238861,0.008134947215510668,2.063737536611205e-05,7.222076718315579e-07,0.232460618019104
9,"(384, 1024)",8,22528,0.27872705459594727,0.017116963029110144,1.237247223881158e-05,7.598083730961534e-07,0.2787284851074219
9,"(384, 1024)",16,45056,0.32590189576148987,0.032484807135487515,7.23326295635409e-06,7.209873742783983e-07,0.32590359449386597
9,"(384, 1024)",32,90112,0.3797711133956909,0.06796978435082834,4.2144344082440845e-06,7.542811651148387e-07,0.3797730803489685
10,"(1152, 384)",1,3072,0.3621259033679962,0.001571628537119396,0.00011787952583593626,5.115978310935534e-07,0.36212795972824097
10,"(1152, 384)",2,6144,0.37866444885730743,0.003329909136816883,6.163158347286905e-05,5.419773985704563e-07,0.37866657972335815
10,"(1152, 384)",4,12288,0.39384938031435013,0.008363193497737342,3.2051544621936046e-05,6.805984291778436e-07,0.3938516080379486
10,"(1152, 384)",8,24576,0.4107314199209213,0.016498491212894872,1.6712704261105198e-05,6.713253260455271e-07,0.41073372960090637
10,"(1152, 384)",16,49152,0.4281151406466961,0.03696142852324119,8.710024834120608e-06,7.519821883797443e-07,0.4281175434589386
10,"(1152, 384)",32,98304,0.4451564624905586,0.07496497433444443,4.528365707301418e-06,7.625831536300093e-07,0.4451589584350586
11,"(384, 384)",1,1536,0.5963779091835022,0.0009180604052383967,0.00038826686795800924,5.976955763270812e-07,0.5963813662528992
11,"(384, 384)",2,3072,0.7449073195457458,0.003737558080639247,0.0002424828514146308,1.2166530210414217e-06,0.7449116110801697
11,"(384, 384)",4,6144,0.772771492600441,0.008118881599917721,0.0001257766101237697,1.3214325520699415e-06,0.7727759480476379
11,"(384, 384)",8,12288,0.8078893721103668,0.01711865096358897,6.57462054126275e-05,1.3931193818024879e-06,0.8078939914703369
11,"(384, 384)",16,24576,0.8509387671947479,0.03321744602141799,3.462478707660921e-05,1.3516213387621253e-06,0.8509436249732971
11,"(384, 384)",32,49152,0.8966087698936462,0.07381443010563579,1.8241552121859666e-05,1.5017584250007283e-06,0.8966138362884521
12,"(1024, 384)",1,2816,0.012085169553756714,0.0013110309390608754,4.291608506305651e-06,4.6556496415514044e-07,0.01208523754030466
12,"(1024, 384)",2,5632,0.016040265560150146,0.003004005776473695,2.8480585156516596e-06,5.333817074704714e-07,0.01604035310447216
12,"(1024, 384)",4,11264,0.02074120193719864,0.006514850025948649,1.841370910617777e-06,5.783780207695889e-07,0.02074131742119789
12,"(1024, 384)",8,22528,0.027159005403518677,0.014368924026295249,1.2055666461078958e-06,6.37825107701316e-07,0.027159150689840317
12,"(1024, 384)",16,45056,0.0346396304666996,0.028863306613898188,7.688128210826438e-07,6.406096105712488e-07,0.03463981673121452
12,"(1024, 384)",32,90112,0.04274393245577812,0.05997275998343188,4.743422902141571e-07,6.655357775150022e-07,0.04274415969848633
13,"(1024, 384)",1,2816,0.011707242578268051,0.0016189514951166772,4.157401483759961e-06,5.749117525272292e-07,0.011707308702170849
13,"(1024, 384)",2,5632,0.015609070658683777,0.003296724654239108,2.7714969209310683e-06,5.853559400282508e-07,0.015609157271683216
13,"(1024, 384)",4,11264,0.01996397227048874,0.006991434153586745,1.7723696973090144e-06,6.206884014192778e-07,0.019964084029197693
13,"(1024, 384)",8,22528,0.025989841669797897,0.014879913670131778,1.1536683979846367e-06,6.605075315221848e-07,0.025989988818764687
13,"(1024, 384)",16,45056,0.0330086424946785,0.029384604189098246,7.326136917320334e-07,6.521796029185512e-07,0.03300882875919342
13,"(1024, 384)",32,90112,0.04093715734779835,0.06038220605741049,4.542919627552196e-07,6.700795238970446e-07,0.0409373864531517
14,"(384, 1024)",1,2816,0.027335822582244873,0.002402973867023095,9.707323360172184e-06,8.533287880053604e-07,0.02733594737946987
14,"(384, 1024)",2,5632,0.04051885008811951,0.004095807900040049,7.194398098032583e-06,7.272386186150656e-07,0.04051904380321503
14,"(384, 1024)",4,11264,0.05919182300567627,0.0076103023025508865,5.254955877634612e-06,6.7563053112135e-07,0.059192121028900146
14,"(384, 1024)",8,22528,0.08529916405677795,0.015651657367525385,3.786362040872601e-06,6.947646203624549e-07,0.08529961109161377
14,"(384, 1024)",16,45056,0.120218425989151,0.03229990459211035,2.668200150682506e-06,7.168835358689265e-07,0.12021905183792114
14,"(384, 1024)",32,90112,0.1657165288925171,0.06374336420073184,1.8390062243931673e-06,7.073793079804226e-07,0.16571743786334991
15,"(1152, 384)",1,3072,0.0781184583902359,0.001962062926060132,2.5429185673904915e-05,6.386923587435325e-07,0.0781189352273941
15,"(1152, 384)",2,6144,0.08668657764792442,0.004170707160572787,1.4109143497383533e-05,6.78826035249477e-07,0.0866871029138565
15,"(1152, 384)",4,12288,0.09844259917736053,0.007821929750633005,8.011279229928428e-06,6.36550272675212e-07,0.0984431803226471
15,"(1152, 384)",8,24576,0.11091731861233711,0.01859288834835532,4.513237248223352e-06,7.565465636537809e-07,0.11091797798871994
15,"(1152, 384)",16,49152,0.12259351089596748,0.03312514756370201,2.494171364257151e-06,6.739328524516196e-07,0.12259423732757568
15,"(1152, 384)",32,98304,0.13265504594892263,0.07878955658280538,1.3494369094739038e-06,8.014888161499571e-07,0.13265582919120789
16,"(384, 384)",1,1536,0.06781315803527832,0.001184966903338941,4.414919142921766e-05,7.71462827694623e-07,0.06781361997127533
16,"(384, 384)",2,3072,0.09847374260425568,0.004370693445256937,3.205525475398948e-05,1.422751772544576e-06,0.09847437590360641
16,"(384, 384)",4,6144,0.11140910536050797,0.008021904040639502,1.8132992408936843e-05,1.3056484441145024e-06,0.11140980571508408
16,"(384, 384)",8,12288,0.12876126170158386,0.01614074041736728,1.0478618302537749e-05,1.3135368178196029e-06,0.12876205146312714
16,"(384, 384)",16,24576,0.15000426769256592,0.034200450004441094,6.103689277855058e-06,1.3916198732275835e-06,0.15000517666339874
16,"(384, 384)",32,49152,0.17403468489646912,0.07375208172584287,3.540744728525169e-06,1.5004899439665297e-06,0.17403572797775269
17,"(1024, 384)",1,2816,0.009924251586198807,0.0013620403522832114,3.5242370689626443e-06,4.836791023732995e-07,0.009924313984811306
17,"(1024, 384)",2,5632,0.012946717441082,0.002787895134297169,2.298777954737571e-06,4.95009789470378e-07,0.012946801260113716
17,"(1024, 384)",4,11264,0.016510337591171265,0.006791996630916897,1.465761504898017e-06,6.029826554436165e-07,0.01651044189929962
17,"(1024, 384)",8,22528,0.02108186110854149,0.014761535279025517,9.358070449459113e-07,6.552528089056071e-07,0.021081991493701935
17,"(1024, 384)",16,45056,0.027129363268613815,0.029536293875649045,6.0212542765922e-07,6.555462951804209e-07,0.027129527181386948
17,"(1024, 384)",32,90112,0.03414115682244301,0.05857215263946969,3.788746984024659e-07,6.499928160452514e-07,0.03414136543869972
18,"(1024, 384)",1,2816,0.009681027382612228,0.0014868909752224213,3.4378648375753653e-06,5.280152610875076e-07,0.009681076742708683
18,"(1024, 384)",2,5632,0.012362826615571976,0.003041814493266015,2.195104157594456e-06,5.400949029236533e-07,0.012362891808152199
18,"(1024, 384)",4,11264,0.015726696699857712,0.00667011517124716,1.3961911132686178e-06,5.921622133564595e-07,0.015726782381534576
18,"(1024, 384)",8,22528,0.020325765013694763,0.014782481887121446,9.022445407357406e-07,6.561826121769108e-07,0.020325876772403717
18,"(1024, 384)",16,45056,0.026142410933971405,0.028914629186297225,5.802204131296921e-07,6.417486946532588e-07,0.026142554357647896
18,"(1024, 384)",32,90112,0.03287143632769585,0.05784132484887511,3.6478422771324404e-07,6.418825999741999e-07,0.03287161886692047
19,"(384, 1024)",1,2816,0.02039504051208496,0.001776358090871677,7.242557000030171e-06,6.30808981133408e-07,0.020395182073116302
19,"(384, 1024)",2,5632,0.03389519453048706,0.0032255691969838574,6.018322892487049e-06,5.727218034417361e-07,0.03389538824558258
19,"(384, 1024)",4,11264,0.048516660928726196,0.007000602978886605,4.30723197165538e-06,6.215023951426319e-07,0.04851693660020828
19,"(384, 1024)",8,22528,0.06852516531944275,0.01472075314792537,3.0417775798758324e-06,6.534425225464031e-07,0.06852554529905319
19,"(384, 1024)",16,45056,0.09635244309902191,0.029837919607741792,2.138504152588377e-06,6.622407583394396e-07,0.09635298699140549
19,"(384, 1024)",32,90112,0.13410529494285583,0.06072385052309898,1.4882068419617347e-06,6.738708554143619e-07,0.13410599529743195
20,"(1152, 384)",1,3072,0.09302523732185364,0.0033440350544483854,3.0281652774040897e-05,1.0885530776199171e-06,0.09302572906017303
20,"(1152, 384)",2,6144,0.09974443912506104,0.005075474549476988,1.6234446472177904e-05,8.260863524539369e-07,0.09974497556686401
20,"(1152, 384)",4,12288,0.10901790112257004,0.00897876178045115,8.871899505417483e-06,7.306935042684855e-07,0.1090184822678566
20,"(1152, 384)",8,24576,0.11988581717014313,0.01860121278410448,4.878166388759079e-06,7.56885285811543e-07,0.11988645792007446
20,"(1152, 384)",16,49152,0.13243205100297928,0.035171026763910346,2.69433697515827e-06,7.155563713360666e-07,0.132432758808136
20,"(1152, 384)",32,98304,0.14475511014461517,0.0736264798066695,1.4725251276104245e-06,7.489672831895905e-07,0.14475589990615845
21,"(384, 384)",1,1536,0.1053730696439743,0.0022979296553382877,6.860225888279577e-05,1.4960479526941978e-06,0.10537364333868027
21,"(384, 384)",2,3072,0.14087417721748352,0.00388175515512984,4.585747956298292e-05,1.2635921728938282e-06,0.1408749371767044
21,"(384, 384)",4,6144,0.1552795022726059,0.008129542040753973,2.5273356489681948e-05,1.3231676498623002e-06,0.15528032183647156
21,"(384, 384)",8,12288,0.17347627878189087,0.016026684416496406,1.4117535708161691e-05,1.3042549167070642e-06,0.1734771877527237
21,"(384, 384)",16,24576,0.1947859823703766,0.031038287986832197,7.92586191285712e-06,1.2629511713392007e-06,0.19478701055049896
21,"(384, 384)",32,49152,0.21953003108501434,0.06939563253657755,4.466349916280403e-06,1.4118577583125315e-06,0.21953120827674866
22,"(1024, 384)",1,2816,0.0029844343662261963,0.001354407850148065,1.059813340279189e-06,4.809686967855344e-07,0.0029844522941857576
22,"(1024, 384)",2,5632,0.005465835332870483,0.0036570157982481755,9.70496330410242e-07,6.49328089177588e-07,0.005465866066515446
22,"(1024, 384)",4,11264,0.009449511766433716,0.006517684160204318,8.389126213098114e-07,5.786296306999572e-07,0.00944956112653017
22,"(1024, 384)",8,22528,0.014088619500398636,0.013812943195897598,6.253826127662747e-07,6.13145560897443e-07,0.014088697731494904
22,"(1024, 384)",16,45056,0.01955350488424301,0.02634154630543628,4.339822639436038e-07,5.846401434977868e-07,0.019553612917661667
22,"(1024, 384)",32,90112,0.026100503280758858,0.052691431602949534,2.896451447172281e-07,5.847326838040387e-07,0.026100650429725647
23,"(1024, 384)",1,2816,0.0033587180078029633,0.0016828877822377963,1.1927265652709387e-06,5.976163999423993e-07,0.003358728950843215
23,"(1024, 384)",2,5632,0.005766104906797409,0.0028882618325752896,1.0238112405535171e-06,5.128305810680557e-07,0.005766130983829498
23,"(1024, 384)",4,11264,0.009426403790712357,0.0067310318586730755,8.368611319879578e-07,5.975702999532204e-07,0.009426447562873363
23,"(1024, 384)",8,22528,0.01418691873550415,0.014141731296883453,6.297460376200351e-07,6.277402031642157e-07,0.014186983928084373
23,"(1024, 384)",16,45056,0.019787278026342392,0.027531996176020923,4.391707658545453e-07,6.110617049010325e-07,0.019787373021245003
23,"(1024, 384)",32,90112,0.026369336992502213,0.052837310513723756,2.926284733720505e-07,5.863515460063449e-07,0.026369474828243256
24,"(384, 1024)",1,2816,0.04334831237792969,0.0014969475097033058,1.539357683875344e-05,5.315864736162307e-07,0.04334854707121849
24,"(384, 1024)",2,5632,0.060377225279808044,0.0036940163444512675,1.0720388011329554e-05,6.558977884323983e-07,0.06037752702832222
