method,additional_bits_per_value,total_bits_per_value,additional_bytes,momentum_cosine,momentum_rel_l2,k5_cosine,k5_rel_l2,momentum_gap_closure,k5_gap_closure,target_budget
raw_vq,0.0,3.488594714506173,0,0.49133638575298544,1.0389352395441256,0.23449550689150947,1.2213082997296623,0.0,0.0,0.0
k5_aware,0.0,3.488594714506173,0,0.49133638575298544,1.0389352395441256,0.23449550689150947,1.2213082997296623,0.0,0.0,0.0
k5_aware,0.09895833333333333,3.5875530478395063,131328,0.5918432273041461,0.9386902315283294,0.23995288972170783,1.2165395332678248,0.19758999609190253,0.007129132329501456,0.1
k5_aware,0.2490354938271605,3.7376302083333335,330496,0.6247716271927936,0.8976970549474502,0.24707470759190614,1.2109052475031876,0.26232511566083827,0.016432562857098595,0.25
k5_aware,0.5,3.988594714506173,663552,0.692256773093665,0.8100303860765032,0.25620941061630187,1.203843382116111,0.3949965787077304,0.028365481744749226,0.5
k5_aware,1.0,4.488594714506172,1327104,0.7740945278722955,0.6915529269995718,0.27293368177464744,1.191261372877278,0.555884349105416,0.050212866454972395,1.0
structural_int4,0.0,4.488208912037037,0,0.4207966600496909,1.0788740950086153,0.1601500840093339,1.2756482762634649,0.0,0.0,0.0
frobenius,0.09953703703703703,3.58813175154321,132096,0.7495084831523303,0.7355029871567205,0.23836334541658064,1.2182553754170184,0.507549764064651,0.005052665999862393,0.1
frobenius,0.2490354938271605,3.7376302083333335,330496,0.7910642774970256,0.669692115679882,0.2442902923394008,1.2136734553148063,0.5892457870959251,0.012795203079889926,0.25
frobenius,0.4998070987654321,3.988401813271605,663296,0.8261657792246907,0.6060726503463671,0.2541276657537966,1.20628205033236,0.6582530853270491,0.025646040015476122,0.5
frobenius,0.9996141975308642,4.488208912037037,1326592,0.8655198969311123,0.5281933299170376,0.27426771410902967,1.1904780589134718,0.7356207534758282,0.05195555032736237,1.0
